geography_code,accommodation_type_3a-001,accommodation_type_3a-002,accommodation_type_3a-003
E00071239,99.1,0.9,0
E00071240,100,0,0
E00071241,100,0,0
E00071242,98.4,1.6,0
E00071243,62.3,37.7,0
E00071244,100,0,0
E00071245,96.2,3.8,0
E00071246,99.2,0.8,0
E00071247,52.3,47.7,0
E00071248,100,0,0
E00071249,93.8,5.4,0.8
E00071250,74.8,25.2,0
E00071251,100,0,0
E00071252,99.3,0.7,0
E00071253,98.3,1.7,0
E00071254,96.1,3.9,0
E00071255,99.2,0,0.8
E00071256,99.1,0.9,0
E00071257,100,0,0
E00071258,61.7,38.3,0
E00071259,96.2,3.8,0
E00071260,17.7,82.3,0
E00071281,89.9,10.1,0
E00071282,100,0,0
E00071283,96.8,3.2,0
E00071284,94.5,5.5,0
E00071285,83.5,16.5,0
E00071286,78.3,21.7,0
E00071287,97.2,2.8,0
E00071288,100,0,0
E00071289,97.6,2.4,0
E00071290,99.2,0.8,0
E00071292,41.1,58.9,0
E00071293,79.8,20.2,0
E00071294,85.8,6.7,7.5
E00071295,86.4,13.6,0
E00071296,79,21,0
E00071297,97.4,2.6,0
E00071298,89.7,10.3,0
E00071299,100,0,0
E00071300,83.3,15.7,0.9
E00071301,98.3,1.7,0
E00071305,85,15,0
E00071306,89.1,10.1,0.8
E00071307,82,18,0
E00071309,98.6,1.4,0
E00071310,61.8,38.2,0
E00071312,74.6,25.4,0
E00071315,100,0,0
E00071324,100,0,0
E00071329,100,0,0
E00071449,78,22,0
E00071467,99.2,0.8,0
E00071468,99.2,0.8,0
E00071469,91.1,8.9,0
E00071471,55.7,43.7,0.6
E00071472,90.2,9,0.8
E00071473,93.9,6.1,0
E00071474,99.2,0.8,0
E00071475,99.2,0.8,0
E00071476,94,6,0
E00071478,99.1,0.9,0
E00071479,91.2,8.8,0
E00071480,76.9,23.1,0
E00071486,100,0,0
E00071503,100,0,0
E00071504,96.7,3.3,0
E00071505,49.3,50.7,0
E00071506,27.9,72.1,0
E00071507,73.6,26.4,0
E00071508,80.2,19.8,0
E00071509,98.2,1.8,0
E00071510,85.6,14.4,0
E00071511,46.6,53.4,0
E00071513,64.2,35.8,0
E00071516,100,0,0
E00071517,98.5,1.5,0
