geography_code,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E00082123,92.8,0.4,5.1,1.7
E00082124,94,0,5.4,0.6
E00082125,93.9,0,6.1,0
E00082126,95.4,0.3,4.3,0
E00082127,90.1,1.8,6.9,1.1
E00082130,92.5,0.6,5.5,1.4
E00082188,93.2,0.3,5.8,0.7
E00082189,89.8,0,10.2,0
E00082190,89.3,0.8,9.9,0
E00082191,91.1,0,8.9,0
E00082192,92.3,0.6,6.8,0.3
E00082281,87.2,0,12.8,0
E00082282,95.7,0.6,3.4,0.3
E00082283,90.6,0,9.4,0
E00082284,90,0.3,9,0.6
E00082285,91.2,0,8.2,0.6
E00082286,97.1,0,1.3,1.6
E00082287,94.3,0.3,5.1,0.3
E00082288,90.1,0.4,7.4,2.1
E00082289,95.5,0,4.2,0.3
E00082290,91,0.7,8.3,0
E00082291,92.9,0,7.1,0
E00082292,91.8,0.9,6.4,0.9
E00082293,90.8,0,9.2,0
E00082294,97.3,0,2.4,0.3
E00082295,87.8,0,10.8,1.4
E00082296,91.2,0,8.6,0.3
E00082297,90,0.8,8.1,1
E00082298,92.5,0.3,6.4,0.9
E00082299,92.2,0,6.8,1
E00082302,89.5,0,8.9,1.6
E00082303,89.8,0.2,10,0
E00082306,94.4,0,4.7,0.9
E00082307,95.1,1,3.9,0
E00082308,93.7,0,6.3,0
E00082309,94.6,0,5.1,0.4
E00082310,85.4,0,14.6,0
E00082311,94.4,0,5.6,0
E00082312,92.2,0,6.9,0.9
E00082313,93.7,0.3,6,0
E00082314,91,0.7,8.3,0
E00082336,92.1,0,7.5,0.4
E00082371,80.5,1.2,12.2,6.1
E00082372,89.9,0.4,7.6,2.2
E00082373,82.7,0,17,0.3
E00082374,94.2,0,4.7,1
E00082376,96.2,0.3,3.6,0
E00082378,91.3,0,8.7,0
E00082379,89.9,0.4,7.8,1.8
E00082380,86.9,0.3,11.3,1.5
E00082381,90.1,1.1,8.8,0
E00082382,96.1,0,3.5,0.4
E00082383,93.1,0,6.5,0.4
E00082384,94.6,0.7,4.7,0
E00082392,92.4,1,6.3,0.3
E00082401,92.8,0.8,4.9,1.5
E00082402,81.8,0,15.5,2.7
E00082403,94.1,0,5.9,0
E00082404,82.1,0.5,14.8,2.7
E00082435,81.6,1.1,13.1,4.3
E00082436,95.4,0,4.3,0.3
E00082438,92.1,0.7,7.2,0
E00082439,91.3,0.6,7,1.1
E00082440,88,0,12,0
E00082441,84.3,0,14.8,0.9
E00082442,86.8,0.9,10.8,1.5
E00082444,88.2,0.3,10.8,0.6
E00082445,91.3,0,8,0.7
E00082446,90.7,0.3,8.4,0.5
E00082447,93.7,0.3,6,0
E00082448,88.6,0,10.9,0.5
E00082449,86.2,0.9,11.4,1.6
E00082450,94.3,0,5.3,0.4
E00082451,87.2,0.3,10.9,1.7
E00082452,92.7,0,7.3,0
E00082479,90.3,0.7,9,0
E00082482,92.3,0,7.2,0.6
E00082485,97.5,0,2.2,0.3
E00082496,90.9,0,8.7,0.4
E00082497,91.1,0,8.9,0
E00082498,92.2,0.3,6.8,0.7
E00082499,85.7,0.8,13.5,0
E00082500,95.3,0.3,4.4,0
E00082501,89.2,0.4,10,0.4
E00082502,94.9,0,5.1,0
E00082519,95.1,0.3,4.6,0
E00082520,98.1,0.3,1.6,0
E00082524,90.8,0,8.8,0.4
E00082527,91.7,0.7,7.5,0.2
E00082529,93.2,0.4,4.6,1.8
E00082530,91.2,0.7,8.1,0
E00082564,82.6,0,17.4,0
E00082565,86.6,0,12.8,0.7
E00082573,89.5,0,10.5,0
E00082577,90,0,9.3,0.7
E00082578,85.7,0.4,12.6,1.3
E00082579,85.9,0.3,13.5,0.3
E00082580,85.1,0.7,13.5,0.7
E00114244,92.5,1.2,5.5,0.8
E00114253,85.1,0.4,14,0.4
E00114254,99.2,0,0.8,0
E00114255,91.5,0.4,8.1,0
E00114256,87.1,0.4,12.2,0.4
E00114258,93,0.3,6,0.6
E00114259,90.8,0,7.9,1.3
E00114266,89.4,0,10.6,0
E00114267,93.2,0,6.3,0.5
E00114268,89.9,0.4,9.3,0.4
E00114269,85.4,0.8,11.5,2.3
E00114270,93,1.1,4.9,1.1
E00114271,95.2,0.6,3.6,0.6
E00114272,93.1,0.3,6.2,0.3
E00114273,94.1,0.3,5.5,0
E00114274,91.8,0,6.8,1.4
E00114275,91.8,0,8.2,0
E00114276,88.9,0.6,10.5,0
E00114277,88.5,0,9.7,1.8
E00114278,91.8,0,8.2,0
E00114279,91.6,0.6,7.7,0
E00114280,92.4,0,6.4,1.2
E00114281,92,0.6,7.1,0.3
E00114282,91.1,0,8.9,0
E00114283,92,0,6.9,1.1
E00114284,93.2,0.7,6.2,0
E00114285,91.7,0,6.4,1.9
