geography_code,heating_type_3a-001,heating_type_3a-002
E00035073,0,100
E00035074,0,100
E00035075,1.1,98.9
E00035076,1.5,98.5
E00035077,0.7,99.3
E00035078,0.6,99.4
E00035079,0,100
E00035080,0,100
E00035081,2.6,97.4
E00035082,0,100
E00035083,0.5,99.5
E00035084,1.6,98.4
E00035085,2.8,97.2
E00035086,0,100
E00035087,0.7,99.3
E00035088,0,100
E00035089,0.7,99.3
E00035090,0.6,99.4
E00035091,1.4,98.6
E00035092,0,100
E00035093,0,100
E00035094,0.6,99.4
E00035095,3.7,96.3
E00035096,1.7,98.3
E00035097,0,100
E00035098,0,100
E00035099,0,100
E00035100,0.7,99.3
E00035101,0,100
E00035102,0,100
E00035103,0.8,99.2
E00035104,0,100
E00035105,1,99
E00035106,0.9,99.1
E00035107,0,100
E00035108,0,100
E00035109,0,100
E00035110,0,100
E00035111,1.6,98.4
E00035112,0,100
E00035113,0,100
E00035114,2.5,97.5
E00035115,0.8,99.2
E00035116,0,100
E00035117,0.7,99.3
E00035118,0,100
E00035119,1.6,98.4
E00035120,2.5,97.5
E00035121,2.2,97.8
E00035122,0,100
E00035123,3.1,96.9
E00035124,0,100
E00035125,0,100
E00035126,0,100
E00035127,1.6,98.4
E00035128,0.9,99.1
E00035129,1.9,98.1
E00035130,1.7,98.3
E00035131,0.8,99.2
E00035132,2.2,97.8
E00035133,0.7,99.3
E00035134,1.7,98.3
E00035135,2.9,97.1
E00035136,2.6,97.4
E00035137,0,100
E00035138,1.4,98.6
E00035139,1.8,98.2
E00035140,0.7,99.3
E00035141,1.4,98.6
E00035142,0,100
E00035143,1.4,98.6
E00035144,0,100
E00035145,0.8,99.2
E00035146,1.5,98.5
E00035147,0,100
E00035148,0,100
E00035149,1.2,98.8
E00035150,1.4,98.6
E00035151,0,100
E00035152,3.1,96.9
E00035153,1.5,98.5
E00035154,0,100
E00035155,0.8,99.2
E00035194,0,100
E00035195,1.2,98.8
E00035196,5.6,94.4
E00035197,1.3,98.8
E00035198,0.6,99.4
E00035199,0,100
E00035200,2.4,97.6
E00035201,0.6,99.4
E00035202,1.8,98.2
E00035203,0,100
E00035204,0,100
E00035205,0,100
E00035206,0.8,99.2
E00035207,3.4,96.6
E00035208,0.9,99.1
E00035209,0,100
E00035210,0,100
E00035211,0.9,99.1
E00035212,1,99
E00035213,0.8,99.2
E00035214,3.8,96.2
E00035215,4.7,95.3
E00035216,0,100
E00035217,1.6,98.4
E00035218,1.4,98.6
E00035219,0,100
E00035220,3.5,96.5
E00035221,1.4,98.6
E00035222,0,100
E00035223,2.3,97.7
E00035224,7.3,92.7
E00035225,0,100
E00035226,0.8,99.2
E00035227,0.9,99.1
E00035228,3.7,96.3
E00035229,3.2,96.8
E00035230,0.8,99.2
E00035231,4.2,95.8
E00035232,3.1,96.9
E00035233,3.3,96.7
E00035234,0.6,99.4
E00035235,0,100
E00035236,1,99
E00035237,0.9,99.1
E00035238,0.8,99.2
E00035239,0.7,99.3
E00035240,1.2,98.8
E00035325,4.2,95.8
E00035326,4.4,95.6
E00035327,7.4,92.6
E00035328,1.4,98.6
E00035329,4.2,95.8
E00035330,5.7,94.3
E00035331,2.4,97.6
E00035332,0,100
E00035333,0,100
E00035334,0,100
E00035335,0,100
E00035336,0.9,99.1
E00035337,0.9,99.1
E00035338,2.2,97.8
E00035339,0,100
E00035341,5.2,94.8
E00035342,4.4,95.6
E00035343,7,93
E00035344,14,86
E00035345,6.7,93.3
E00035346,3.9,96.1
E00035347,0.9,99.1
E00035348,3.8,96.2
E00035349,2,98
E00035350,5.1,94.9
E00035351,1.2,98.8
E00035352,4.3,95.7
E00035353,4.1,95.9
E00035354,2.5,97.5
E00035355,7.3,92.7
E00035357,1.9,98.1
E00035358,2.3,97.7
E00035359,1.1,98.9
E00035360,0,100
E00035361,0,100
E00035362,0.7,99.3
E00035363,0.6,99.4
E00035364,0.9,99.1
E00035365,1.3,98.7
E00035366,2.3,97.7
E00035367,0.8,99.2
E00035368,0,100
E00035369,0,100
E00035370,0.8,99.2
E00035371,3.1,96.9
E00035372,1,99
E00035415,0,100
E00035416,0,100
E00035417,0,100
E00035418,0,100
E00035419,0,100
E00035420,0.6,99.4
E00035421,1.2,98.8
E00035422,0,100
E00035423,0,100
E00035424,2.8,97.2
E00035425,2.7,97.3
E00035426,0,100
E00035427,0,100
E00035428,0,100
E00035429,0,100
E00035430,0,100
E00035431,0,100
E00035432,1,99
E00035433,1.6,98.4
E00035434,0,100
E00035435,0.8,99.2
E00035436,3.1,96.9
E00035437,0,100
E00035438,0,100
E00035439,1.7,98.3
E00035440,0,100
E00035441,0,100
E00035442,0,100
E00035443,0.8,99.2
E00035444,0,100
E00035445,0,100
E00035446,0.8,99.2
E00035447,0,100
E00035448,1.1,98.9
E00035449,0.9,99.1
E00035450,0,100
E00035451,0.8,99.2
E00035452,0.9,99.1
E00035453,0,100
E00035454,0,100
E00035455,0,100
E00035456,2.3,97.7
E00035457,4.3,95.7
E00035458,2.3,97.7
E00035459,0,100
E00035460,1.7,98.3
E00035461,1.1,98.9
E00035462,0.6,99.4
E00035463,2.1,97.9
E00035464,0.9,99.1
E00035466,0,100
E00035467,0.7,99.3
E00035468,0,100
E00035469,0.4,99.6
E00035470,3.1,96.9
E00035471,1.3,98.8
E00035472,0.9,99.1
E00035473,5.5,94.5
E00035474,2.9,97.1
E00035475,4.4,95.6
E00035476,3.7,96.3
E00035477,4.9,95.1
E00035478,0.8,99.2
E00035479,2,98
E00035480,2.4,97.6
E00035481,0.8,99.2
E00035482,0,100
E00035483,5.2,94.8
E00035484,2.2,97.8
E00035485,1.9,98.1
E00035486,0,100
E00035487,2.8,97.2
E00035488,0,100
E00035489,2.3,97.7
E00035490,5.4,94.6
E00035491,1.4,98.6
E00035492,0.9,99.1
E00035493,3.9,96.1
E00035494,0,100
E00035495,2.8,97.2
E00035496,1.1,98.9
E00035497,1.7,98.3
E00035498,5.5,94.5
E00035622,1.7,98.3
E00035623,0.8,99.2
E00035624,0,100
E00035625,0,100
E00035626,2.2,97.8
E00035627,0.8,99.2
E00035628,2.4,97.6
E00035629,0.8,99.2
E00035630,0.7,99.3
E00035631,0,100
E00035632,1.7,98.3
E00035633,0,100
E00035634,0,100
E00035635,2.4,97.6
E00035636,0,100
E00035637,1.6,98.4
E00035638,1.7,98.3
E00035639,0,100
E00035640,0.9,99.1
E00035641,0,100
E00035642,1.5,98.5
E00035643,1.5,98.5
E00035644,1.7,98.3
E00035645,3.2,96.8
E00035646,3.9,96.1
E00035647,0.7,99.3
E00035648,2.5,97.5
E00035649,0,100
E00035650,4.7,95.3
E00035651,0,100
E00035652,0,100
E00035653,2.1,97.9
E00035654,0.6,99.4
E00035655,2.8,97.2
E00035656,0,100
E00035657,1.4,98.6
E00035658,0.8,99.2
E00035659,0,100
E00035660,0.8,99.2
E00035661,0.8,99.2
E00035662,1.6,98.4
E00035663,0,100
E00035664,0,100
E00035748,2.4,97.6
E00035749,1.5,98.5
E00035750,3.1,96.9
E00035751,3.1,96.9
E00035752,0.7,99.3
E00035753,0.7,99.3
E00035754,2.6,97.4
E00035755,3.3,96.7
E00035756,0,100
E00035757,0,100
E00035758,4.5,95.5
E00035759,2.7,97.3
E00035760,2.5,97.5
E00035761,0.9,99.1
E00035762,3.1,96.9
E00035763,1.5,98.5
E00035764,1.4,98.6
E00035765,1.9,98.1
E00035766,6.4,93.6
E00035767,0,100
E00035768,0,100
E00035769,0.8,99.2
E00035770,0,100
E00035771,0,100
E00035772,0,100
E00035773,3.6,96.4
E00035774,5,95
E00035775,1.7,98.3
E00035776,4.3,95.7
E00035777,1.6,98.4
E00035778,0.8,99.2
E00035779,0,100
E00035780,1.4,98.6
E00035781,1.3,98.7
E00035782,1.4,98.6
E00035783,3.6,96.4
E00035784,1.7,98.3
E00035785,3,97
E00035786,0.6,99.4
E00035787,1.6,98.4
E00035788,0,100
E00035789,0.8,99.2
E00035790,0.8,99.2
E00035791,1.6,98.4
E00035792,1.6,98.4
E00035793,0.9,99.1
E00035794,0,100
E00035841,1.7,98.3
E00035842,0,100
E00035843,0,100
E00035844,0.8,99.2
E00035845,2.5,97.5
E00035846,0.8,99.2
E00035847,0.9,99.1
E00035848,0,100
E00035849,0.8,99.2
E00035850,0,100
E00035851,0,100
E00035852,0.9,99.1
E00035853,1.9,98.1
E00035854,2.7,97.3
E00035855,1.5,98.5
E00035856,1.6,98.4
E00035857,2.6,97.4
E00035858,4.3,95.7
E00035859,0.7,99.3
E00035860,0,100
E00035861,1.6,98.4
E00035862,0.8,99.2
E00035863,0,100
E00035864,1.4,98.6
E00035865,0,100
E00035866,2.8,97.2
E00035867,0,100
E00035868,0.6,99.4
E00035869,0.8,99.2
E00035870,0.9,99.1
E00035871,0.8,99.2
E00035872,0.5,99.5
E00035873,2,98
E00035874,0,100
E00035875,0,100
E00035878,2.5,97.5
E00035879,1.1,98.9
E00035880,0,100
E00126791,0,100
E00126792,0.8,99.2
E00126793,0,100
E00126794,1.3,98.7
E00126795,0.8,99.2
E00126796,0.8,99.2
E00126797,0,100
E00126798,1.7,98.3
E00126799,0,100
E00126800,0.7,99.3
E00126801,3.9,96.1
E00126802,0.9,99.1
E00126803,2.4,97.6
E00126804,1.7,98.3
E00126805,3.4,96.6
E00126826,1.7,98.3
E00126827,0.7,99.3
E00126835,1.6,98.4
E00126836,3.3,96.7
E00126840,0.8,99.2
E00126841,1.4,98.6
E00126842,2,98
E00126843,0.7,99.3
E00126844,1.9,98.1
E00126845,1.7,98.3
E00126846,1,99
E00126847,0,100
E00126848,0,100
E00126849,1.4,98.6
E00126850,0,100
E00126851,1.4,98.6
E00126852,1.6,98.4
E00126853,0,100
E00126854,2.2,97.8
E00126855,0.7,99.3
E00126860,6.3,93.7
E00126861,0,100
E00126862,4.9,95.1
E00126863,0,100
E00126864,0.8,99.2
E00126865,3.4,96.6
E00126866,2.1,97.9
E00126867,0.7,99.3
E00126868,0,100
E00126869,0,100
E00126870,1.3,98.7
E00126871,1.6,98.4
E00126872,0,100
E00126873,3.8,96.2
E00126874,0,100
E00126976,0,100
E00126991,1.6,98.4
E00126992,0,100
E00126993,0.8,99.2
E00126994,0,100
E00126995,1.6,98.4
E00126996,0,100
E00126997,0,100
E00126999,0,100
E00127000,0.7,99.3
E00127001,0.7,99.3
E00127002,0.8,99.2
E00127003,3.2,96.8
E00127033,0,100
E00127038,3.4,96.6
E00129271,0.7,99.3
E00129272,0,100
E00129274,1.4,98.6
E00129275,0.7,99.3
E00129276,1.6,98.4
E00129278,0,100
E00129279,0,100
E00129280,1.8,98.2
E00129281,0,100
E00129282,0.8,99.2
E00129283,0,100
E00129284,2.4,97.6
E00129285,0,100
E00129286,2.4,97.6
E00129287,1.1,98.9
E00129288,0.7,99.3
E00129289,0,100
E00129290,0,100
E00129291,1.2,98.8
E00129292,0,100
E00129293,0,100
E00129294,1.5,98.5
E00129295,0.8,99.2
E00129296,0,100
E00129297,0,100
E00129298,0,100
E00129299,0.5,99.5
E00129301,1.8,98.2
E00129321,0,100
E00129322,0,100
E00129323,4.5,95.5
E00129324,0,100
E00129325,2.7,97.3
E00129326,1.5,98.5
E00129328,0.9,99.1
E00129329,0.7,99.3
E00129330,0,100
E00129331,0,100
E00129332,0.9,99.1
E00129333,0,100
E00129334,0,100
E00129335,4,96
E00129336,0,100
E00129337,0.6,99.4
E00129338,0.7,99.3
E00129339,1.7,98.3
E00129340,0,100
E00129341,0,100
E00129342,1.6,98.4
E00129343,0,100
E00129344,0,100
E00129345,1.5,98.5
E00129346,0.8,99.2
E00129347,1.3,98.7
E00129348,1.1,98.9
E00129349,0.9,99.1
E00129350,0.8,99.2
E00129351,1.5,98.5
E00129352,0.7,99.3
E00129354,2.4,97.6
E00129355,0.4,99.6
E00129356,0,100
E00129357,0.8,99.2
E00129360,2.1,97.9
E00129362,0,100
E00129363,0,100
E00129364,2.5,97.5
E00129365,0,100
E00129366,1.3,98.7
E00129381,2.4,97.6
E00129382,0,100
E00129383,2.1,97.9
E00129384,1.3,98.8
E00129385,1.1,98.9
E00129386,0.9,99.1
E00129387,0,100
E00129388,0,100
E00129389,1.7,98.3
E00129390,0,100
E00129391,0,100
E00129392,0,100
E00129393,0,100
E00129394,0,100
E00129395,0.8,99.2
E00129396,0,100
E00129397,2.4,97.6
E00129398,2,98
E00129399,0.8,99.2
E00129400,1.6,98.4
E00129401,0.9,99.1
E00129402,0.7,99.3
E00129403,0.8,99.2
E00129404,0,100
E00129405,1,99
E00129406,0.8,99.2
E00129407,0.8,99.2
E00129408,1.6,98.4
E00129409,0,100
E00129410,0.8,99.2
E00129411,2.7,97.3
E00129412,2.5,97.5
E00129413,0,100
E00129414,0.8,99.2
E00129415,2.6,97.4
E00129416,0.8,99.2
E00129417,0.8,99.2
E00129418,1.9,98.1
E00129419,0,100
E00129433,1.2,98.8
E00129434,1.6,98.4
E00129439,1.6,98.4
E00129440,2.3,97.7
E00129441,5,95
E00129442,0.7,99.3
E00129443,0.7,99.3
E00129444,1.2,98.8
E00129445,2.4,97.6
E00129446,0.6,99.4
E00129447,1.8,98.2
E00129448,1.2,98.8
E00129450,0.7,99.3
E00129464,0.7,99.3
E00129465,1.5,98.5
E00129466,0.6,99.4
E00129467,0.6,99.4
E00129468,0.7,99.3
E00129469,0.9,99.1
E00129470,1.4,98.6
E00129471,0.5,99.5
E00129472,3.3,96.7
E00129473,1.5,98.5
E00129474,1.2,98.8
E00129475,0.8,99.2
E00129476,2,98
E00129477,0,100
E00129478,1.9,98.1
E00129479,0.7,99.3
E00129480,1.5,98.5
E00129481,1,99
E00129482,0.7,99.3
E00129483,0,100
E00129484,1.7,98.3
E00129485,0.9,99.1
E00129486,1.6,98.4
E00129487,0.8,99.2
E00129488,0,100
E00129489,0.7,99.3
E00129490,1.7,98.3
E00129491,0,100
E00129492,0,100
E00129493,0,100
E00129495,0,100
E00129496,2.3,97.7
E00129497,0.9,99.1
E00129498,0,100
E00129499,2.8,97.2
E00129500,0,100
E00129525,4.6,95.4
E00129550,0.6,99.4
E00129551,0.4,99.6
E00129552,0,100
E00129553,3.3,96.7
E00129554,0,100
E00129555,0,100
E00129556,0,100
E00129557,1.4,98.6
E00129558,0,100
E00129559,0,100
E00129560,0,100
E00129561,0,100
E00129562,1.4,98.6
E00129563,0,100
E00129564,2.5,97.5
E00129565,0,100
E00129566,0,100
E00129567,1.4,98.6
E00168817,2,98
E00168823,0,100
E00170480,0.8,99.2
E00170481,6.5,93.5
E00174066,0,100
E00174072,0,100
E00174073,0,100
E00176992,0.7,99.3
E00177008,3.2,96.8
E00177013,0,100
E00177016,0,100
E00177025,1.3,98.7
E00181947,0,100
E00181958,0,100
E00181974,0,100
E00181975,0,100
E00181984,1.5,98.5
E00181998,0,100
E00182007,1.1,98.9
E00182009,0.5,99.5
E00182013,0,100
E00182016,0.8,99.2
E00182018,0,100
E00182022,0,100
E00182027,0,100
E00182035,0,100
E00182036,1.6,98.4
E00185632,0,100
E00185663,0.5,99.5
