geography_code,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E00051582,15.2,38.9,5.6,37.8,2.6
E00051583,12.4,41.9,4.8,36.8,4.1
E00051584,14.2,42.9,5,35.2,2.7
E00051585,11.9,31.7,3.7,51.1,1.5
E00051586,16.8,32.5,4.3,44.3,2.1
E00051587,11.3,35.3,3.2,48.8,1.4
E00051588,10.9,39.3,5.5,42.2,2.2
E00051589,9.5,39.6,3.7,45.1,2.2
E00051590,9.2,40.8,5.7,43.1,1.1
E00051591,11.5,35.8,2.5,47.7,2.5
E00051592,25.2,40.1,6.1,24,4.6
E00051593,12.5,36,3.7,45.6,2.2
E00051594,11.8,39.3,2.8,43.1,2.8
E00051595,19.1,36.6,3.8,38.5,1.9
E00051596,6.2,35.4,4.5,51.3,2.6
E00051597,6.8,43.6,2.6,44.9,2.1
E00051598,11.4,34.2,6.8,45.6,2.1
E00051599,13.7,32.2,3.1,49.3,1.8
E00051600,13.3,41.9,4.8,34.4,5.6
E00051601,18.8,34,4.7,37.5,5.1
E00051602,14.5,33.8,5.7,39.5,6.6
E00051603,16.6,43.5,0.5,36.3,3.1
E00051604,10.4,35.8,2.5,48.8,2.5
E00051605,10.7,44.5,4,39.5,1.3
E00051606,16.6,41.7,7.2,30,4.5
E00051607,9.6,35.8,5.8,45.4,3.5
E00051608,12.1,37.5,4.2,45.8,0.4
E00051609,13.4,42.4,3.4,37.4,3.4
E00051610,20.2,35.6,6.1,34,4
E00051611,13.4,38.3,6.5,37.5,4.2
E00051612,11,40.7,4.6,40.3,3.4
E00051613,14.5,46.7,5.5,31.4,2
E00051614,19.6,31.2,6,37.6,5.6
E00051615,14.9,33.1,3.2,48,0.7
E00051616,14.7,45.1,2.8,33.9,3.5
E00051617,17.4,36.8,5.4,35.1,5.4
E00051618,19,48.8,5.6,26.6,0
E00051619,11.7,45.6,4.8,35.9,2
E00051620,16.8,44.3,3.8,31.7,3.4
E00051621,18.5,36.2,5.9,36.9,2.4
E00051622,9,35.1,3.6,50,2.3
E00051623,35.8,36.3,3.6,20.7,3.6
E00051624,14,39.9,6.1,37.4,2.5
E00051625,22.4,42.5,6.7,25,3.4
E00051626,9.4,38.9,4.9,46.7,0
E00051627,41.6,35,6.1,14,3.3
E00051628,8,35.9,3.4,48.5,4.2
E00051629,20.1,50.5,2.5,25.4,1.4
E00051630,9.1,26.6,3.8,58.6,1.9
E00051631,19.9,36.1,5.1,34.9,4
E00051632,27.1,42.5,5.4,22.2,2.7
E00051633,7.6,36,3.2,50.4,2.8
E00051634,16.1,42.2,4.3,33.9,3.5
E00051635,25.8,36.5,5.2,30.4,2.1
E00051636,18.1,35.2,4.8,40.6,1.4
E00051637,23.2,36.7,3.1,29.7,7.3
E00051638,11.1,36.4,7.8,44.7,0
E00051639,8.9,36.5,2.6,49.8,2.2
E00051640,9.4,44.5,4.9,38.1,3
E00051641,12.4,30.7,5.6,49.8,1.6
E00051642,15.8,41,3.4,37.2,2.6
E00051643,12.4,38.9,3.7,43.6,1.3
E00051645,17.9,41.2,3,36.5,1.4
E00051647,28.7,40.7,4.2,25,1.4
E00051649,16.2,41.5,3.7,37.3,1.2
