areacd,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E00094882,95.7,1.7,2.7
E00094883,96.4,1,2.6
E00094884,99.3,0.4,0.4
E00094885,97.4,0.4,2.2
E00094886,96.6,0.7,2.8
E00094887,98.1,1,1
E00094888,98.1,1.3,0.6
E00094889,99.2,0,0.8
E00094905,98.2,0.7,1.1
E00094910,100,0,0
E00095555,96.2,1,2.9
E00095556,97.1,1,1.8
E00095557,96.7,0.8,2.6
E00095558,97.2,0.7,2.1
E00095559,95.6,3,1.4
E00095560,96,0.7,3.3
E00095561,97.1,1,2
E00095562,97.9,0.7,1.4
E00095563,95.3,2.1,2.7
E00095564,98.5,0.4,1.1
E00095565,98.8,0.3,0.9
E00095566,93.7,2.7,3.5
E00095567,96.2,1,2.7
E00095568,96.3,0.6,3.1
E00095569,98.1,0.6,1.2
E00095570,99.4,0,0.6
E00095571,93.7,0,6.3
E00095572,98.3,0.3,1.4
E00095573,97,0.4,2.6
E00095574,97.7,1.5,0.9
E00095575,99.7,0,0.3
E00095576,98.7,0,1.3
E00095577,94.9,0.3,4.7
E00095578,97.9,0,2.1
E00095579,95,1.4,3.6
E00095580,98.3,0.3,1.4
E00095581,99,0,1
E00095582,90.8,1.5,7.8
E00095583,86,0,14
E00095584,99.3,0,0.7
E00095585,98.5,0,1.5
E00095586,97,0.7,2.3
E00095588,93.1,0.5,6.4
E00095589,91.8,1.1,7.1
E00095590,94,0,6
E00095591,84.9,1.8,13.3
E00095592,90.1,0.4,9.5
E00095593,96.6,0,3.4
E00095594,89.4,1.8,8.8
E00095595,97.2,0.5,2.3
E00095596,96.2,0.3,3.6
E00095597,93,2.2,4.8
E00095598,92.8,0.3,6.9
E00095599,95.5,0.7,3.7
E00095600,98.3,0,1.7
E00095601,85,0.4,14.5
E00095602,93.5,0.5,6
E00095604,91.8,0.7,7.4
E00095605,91.4,0.8,7.8
E00095606,97.4,0.3,2.3
E00095607,97,0.9,2.1
E00095608,95.8,0.6,3.5
E00095609,67.1,0.3,32.5
E00095611,99.3,0,0.7
E00095612,90.8,0.7,8.6
E00095613,89.5,0,10.5
E00095614,96,1.3,2.7
E00095615,96,1.2,2.8
E00095616,95.4,1.1,3.5
E00095617,94,1.4,4.7
E00095618,96.1,0,3.9
E00095619,92.4,1.7,5.9
E00095620,90.3,1.3,8.4
E00095638,97.7,0.3,2
E00095640,95.4,1.4,3.2
E00095641,95.3,1.6,3.2
E00095643,98.9,0.4,0.7
E00095644,97.5,0.3,2.3
E00095645,94.8,2.1,3
E00095646,96.6,1.7,1.7
E00095647,96.2,1.2,2.6
E00095648,99.1,0,0.9
E00095649,98.5,0.2,1.3
E00095650,97.7,1,1.3
E00095651,98.1,0.8,1.1
E00095652,96,2.2,1.9
E00095653,97.8,0.7,1.5
E00095654,98.2,0,1.8
E00095655,97.6,0.7,1.7
E00095656,96.6,1.5,1.9
E00095657,97.1,1.6,1.2
E00095658,95.1,0.4,4.5
E00095659,96.2,1.9,1.9
E00095660,99,0,1
E00095668,97.3,1.6,1.1
E00095669,98.9,0.6,0.6
E00095670,98.3,1.4,0.3
E00095671,98.6,0,1.4
E00095672,97.8,0.8,1.4
E00095673,97.6,0.3,2.1
E00095674,99.6,0.4,0
E00095675,96.8,1.6,1.6
E00095676,97.6,2,0.3
E00095678,96.3,1.9,1.9
E00095679,95.2,0,4.8
E00095680,97,0.5,2.4
E00095681,95.7,0.3,4
E00095682,88.6,0.3,11.1
E00095683,92.7,1.6,5.6
E00095684,80.5,0.9,18.6
E00095685,87.9,4,8.1
E00095686,79,1.1,19.9
E00095687,83.7,1.6,14.7
E00095688,88.7,1.8,9.6
E00095689,95.8,1.9,2.3
E00095690,93.1,0.4,6.5
E00095692,98.5,0.3,1.2
E00095693,96.5,0,3.5
E00095694,92.6,0.3,7.1
E00095695,96.4,0.4,3.3
E00095696,96.5,0.6,2.8
E00095697,96.1,0.8,3.1
E00095698,97.5,0.6,1.9
E00095699,96.5,0.5,3
E00095708,97.6,0.5,1.9
E00095709,97.4,0.2,2.4
E00095710,97.7,1.1,1.1
E00095711,98,0.7,1.4
E00095712,97.5,0.5,1.9
E00095713,98.7,0.9,0.4
E00095714,95.7,3.1,1.2
E00095715,95.8,2.1,2.1
E00095732,97.4,0.7,1.9
E00095760,96.2,0.8,3
E00095761,96.6,1.3,2.1
E00095762,98.8,0.6,0.6
E00095763,98.3,0.3,1.4
E00095764,97.7,0.3,2.1
E00095767,98,1.2,0.8
E00095768,97.4,1,1.6
E00095769,98.2,0.9,0.9
E00095770,95.3,3.1,1.6
E00095773,97.4,0.5,2.1
E00095774,97.6,0.8,1.6
E00095775,98,0.5,1.5
E00095776,97.4,0.7,2
E00095777,98.6,0.2,1.2
E00095778,98.4,0.4,1.2
E00095779,99.4,0,0.6
E00095780,97.7,1,1.3
E00095781,98.5,0,1.5
E00095782,97.3,0,2.7
E00095783,96.5,0.7,2.8
E00095784,95.2,0.4,4.4
E00095785,95.7,1.3,3
E00095786,97.6,1.6,0.8
E00095787,96.7,0.3,3
E00095788,94.6,0.3,5.1
E00095789,98.2,1.2,0.6
E00095790,94.2,1.9,3.9
E00095791,97.3,0.5,2.2
E00095792,97.4,0,2.6
E00095793,95.6,2,2.5
E00095794,95.9,1.7,2.5
E00095795,97.4,0,2.6
E00095796,93.2,2.5,4.2
E00095797,95.2,2.9,1.8
E00095798,96.9,0.4,2.7
E00095799,97.3,0.9,1.8
E00095800,97,0.8,2.3
E00095801,96.6,1.3,2.1
E00095802,95.1,0.8,4.1
E00095803,96.2,0.7,3.1
E00095804,96.6,0,3.4
E00095805,95,0.7,4.3
E00095806,93.1,2.5,4.4
E00095807,97,0,3
E00095808,97.7,0.5,1.9
E00095809,96.3,0.9,2.9
E00095810,95.6,1.2,3.1
E00095811,98.6,0,1.4
E00095812,98.4,0,1.6
E00095813,98,0,2
E00095814,96,1.2,2.8
E00095815,94.8,2.6,2.6
E00095816,96.7,1.5,1.8
E00095817,96.4,2,1.6
E00095818,96.3,2.8,0.9
E00095819,97.2,0.4,2.4
E00095820,98.3,0.6,1.1
E00095821,97.2,0.7,2.1
E00095822,99.2,0,0.8
E00095823,96.1,0,3.9
E00095824,90.9,0,9.1
E00095825,96.2,0,3.8
E00095826,97.5,0.9,1.6
E00095827,94.6,1.9,3.5
E00095828,98.4,0,1.6
E00095829,98.9,0.4,0.7
E00095830,98,0.3,1.7
E00095831,97.2,1.2,1.5
E00095832,95.5,1.6,2.8
E00095833,99,0.4,0.6
E00095834,98,0.3,1.7
E00095835,97.6,0.6,1.8
E00096071,94.4,0.3,5.3
E00096072,99.4,0,0.6
E00096073,99.2,0,0.8
E00096075,97.4,1.2,1.5
E00096076,99.5,0.5,0
E00096077,96.6,0.3,3.1
E00096078,97.6,1.6,0.8
E00096079,98.1,0.4,1.5
E00096080,99.6,0,0.4
E00096081,96.4,1.1,2.5
E00096082,98.6,0,1.4
E00096083,98.4,0,1.6
E00096084,99.7,0,0.3
E00096085,99.4,0,0.6
E00096087,99.4,0.3,0.3
E00096089,95.6,1.5,3
E00096090,96.3,0.6,3.2
E00096091,98.5,0.4,1.1
E00096092,95.9,1.3,2.8
E00096093,97.9,0.4,1.7
E00096129,97.9,1.1,1.1
E00096130,95.9,1.8,2.3
E00096131,95.1,0.8,4.1
E00096132,95.8,0.9,3.2
E00096133,98.3,0.4,1.3
E00096134,94.9,0.6,4.5
E00096135,93.4,2.5,4.1
E00096136,96.2,0,3.8
E00096137,95.7,0.7,3.6
E00096138,96.8,1.1,2.1
E00096139,97.8,0.3,1.9
E00096140,95.8,1.3,2.9
E00096141,98,0.5,1.5
E00096142,99.7,0,0.3
E00096143,98.6,0,1.4
E00096144,97.6,0.4,2
E00096145,96.3,0.7,3
E00096146,98,0.9,1.1
E00096168,98.4,0,1.6
E00096169,95.6,0,4.4
E00096170,94.3,0.7,5.1
E00096171,98.8,0.3,0.9
E00096172,97.1,0.3,2.7
E00096173,95.9,0.3,3.7
E00096174,98,0.3,1.7
E00096175,98,0,2
E00096176,93.7,2.2,4.1
E00096178,92.9,0.5,6.6
E00096179,99.4,0.3,0.3
E00096180,98.7,0,1.3
E00096181,93.3,2.1,4.6
E00096182,98.3,0,1.7
E00096183,98.3,1.3,0.4
E00096184,97.6,0.9,1.5
