geography_code,is_carer_5a-001,is_carer_5a-002,is_carer_5a-003,is_carer_5a-004
E00038827,87.8,5.3,2.5,4.4
E00038828,90.1,5.4,1.2,3.3
E00038829,90.5,2.3,1.5,5.7
E00038830,90.3,6.4,1.3,1.9
E00038831,92.1,4.4,0.9,2.6
E00038832,85.2,7.7,3.3,3.7
E00038834,87.6,6.2,2.4,3.9
E00038835,89.5,3.9,3,3.6
E00038836,91,1.2,3.1,4.7
E00038837,88.6,6,1.2,4.2
E00038838,87.4,5.6,1.9,5.1
E00038839,85.5,8.4,1.4,4.7
E00038840,83.7,4.5,6.6,5.2
E00038841,89.8,5.1,2.8,2.3
E00038842,89.6,6.6,3,0.9
E00038843,89.8,5.5,1.5,3.3
E00038844,87.2,3.4,3.8,5.5
E00038845,94.6,3.9,0,1.5
E00038846,90.6,5.1,2,2.3
E00038847,92.7,3.9,0.9,2.4
E00038848,97.7,0.6,0,1.7
E00038849,86,7.5,2.6,3.9
E00038850,90,4.8,2.4,2.8
E00038851,90.8,3.8,2.2,3.2
E00038852,89.6,3.4,1.8,5.2
E00038853,89.3,5,5,0.8
E00038855,92.3,4.1,1.4,2.2
E00038856,87.6,1.7,2.9,7.9
E00038858,90.6,5.8,1.6,1.9
E00038859,86.5,4.7,2.1,6.7
E00038860,91.5,4.3,0.8,3.5
E00038861,90,2.2,4.4,3.3
E00038862,88.8,5.3,3.7,2.1
E00038863,92.8,3.8,1.7,1.7
E00038864,93.3,3.8,1.4,1.4
E00038865,91.2,4.2,3.2,1.4
E00038866,92.2,5.6,0.9,1.3
E00038867,84.4,6.5,3.5,5.5
E00038868,91.5,4.6,1.1,2.8
E00038869,83.5,5,2.3,9.2
E00038870,82.2,5,4.4,8.3
E00038871,90.8,2.8,1.4,5
E00038872,88.6,5.1,1.8,4.4
E00038873,86.8,2.7,3.2,7.3
E00038876,87.4,7.2,3.6,1.8
E00038877,89.6,4.5,1.5,4.5
E00038878,88.3,6.1,3.2,2.3
E00038879,90.5,3.3,2.4,3.8
E00038880,91.4,3.9,1.4,3.2
E00038881,93.1,1.2,2.4,3.3
E00038882,90.8,2.2,3.1,4
E00038883,87.1,4.4,3.8,4.7
E00038884,92.7,4.2,2.1,1
E00038885,90.4,5.5,2.5,1.6
E00038886,90.7,4.5,3,1.9
E00038887,92.3,1.2,1.2,5.4
E00038888,88.9,3.7,3.4,4.1
E00038889,89.5,3.9,2.6,3.9
E00038890,86.6,3.9,5.2,4.4
E00038891,91.4,3.4,2.4,2.8
E00038892,90.1,4.6,1.1,4.2
E00038893,92,1.7,3,3.4
E00038894,91.3,3.5,1.7,3.5
E00038895,82.3,6,3,8.6
E00038896,88.3,7.5,0,4.2
E00038897,83.4,8.7,4.3,3.6
E00038898,90.9,4.2,2.3,2.6
E00038899,83.8,7.1,3,6.1
E00038900,91.3,2.6,4.2,1.9
E00038901,91.9,2.8,2,3.3
E00038902,95.1,2.4,0.7,1.7
E00038903,91,5.4,2.3,1.4
E00038904,89.7,3.4,2.6,4.2
E00038905,90.5,3.1,2.4,4
E00038906,92.6,3.8,2.4,1.2
E00038907,87.4,3.2,5.2,4.3
E00038908,89.9,1.4,4.5,4.2
E00038909,89.3,5.2,2.2,3.3
E00038910,87.5,6.8,1.5,4.2
E00038911,90,6.1,1.1,2.9
E00038912,87.4,6.7,3.4,2.5
E00038913,88.8,6.2,1.7,3.3
E00038915,91.9,2.3,3.4,2.3
E00038916,92,7.1,0.9,0
E00038917,89.2,3.7,2,5.1
E00038918,94.1,3.1,1.6,1.2
E00038919,89.1,5,1.6,4.3
E00038920,89,5.1,2.7,3.1
E00038921,87.2,9.2,2.3,1.3
E00038922,84.6,6.2,1.9,7.3
