geography_code,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E00038827,0,17.4,71.8,10.7
E00038828,3.6,22.8,51.3,22.3
E00038829,0.6,1.9,94.4,3.1
E00038830,1.2,2.9,80.8,15.1
E00038831,2.5,43.2,44.1,10.2
E00038832,2.2,37.5,40.4,19.9
E00038834,2,25.5,42.2,30.4
E00038835,1.8,12.3,71.3,14.6
E00038836,5.5,17.3,74.8,2.4
E00038837,14.7,43.2,32.6,9.5
E00038838,0.9,25.2,66.4,7.5
E00038839,1.1,13.4,33.7,51.9
E00038840,9.9,43.3,43.3,3.5
E00038841,6.9,37.9,49.4,5.7
E00038842,2.7,9.3,74,14
E00038843,4.8,19.4,67.7,8.1
E00038844,8.5,11.1,71.8,8.5
E00038845,0,6.5,79.6,14
E00038846,6.3,26.9,52.6,14.3
E00038847,7.9,37.1,38.4,16.6
E00038848,1.3,32,33.3,33.3
E00038849,1,37.3,48,13.7
E00038850,2.3,34.1,48.1,15.5
E00038851,3.9,38.8,46.7,10.5
E00038852,0.6,10.9,72.1,16.4
E00038853,4.4,11.1,53.3,31.1
E00038855,0,5.7,65.5,28.7
E00038856,26.1,16.8,52.9,4.2
E00038858,0.8,29.5,53,16.7
E00038859,8.2,21.6,50.5,19.6
E00038860,6,6,68.4,19.7
E00038861,7.1,38.8,44.9,9.2
E00038862,10.2,38.6,43.2,8
E00038863,0.8,14.8,75.4,9
E00038864,1,43.6,49.5,5.9
E00038865,0,4.1,79.7,16.3
E00038866,0,21.5,49.5,29
E00038867,1.9,44.3,40.6,13.2
E00038868,2.1,22.7,46.8,28.4
E00038869,16.5,36.5,34.8,12.2
E00038870,40.6,13.9,41.6,4
E00038871,6.5,0,83.9,9.7
E00038872,0,16.8,62.8,20.4
E00038873,11.9,2.4,78.6,7.1
E00038876,3.9,14.5,43.4,38.2
E00038877,0,27.1,48.8,24
E00038878,0,6,31.6,62.4
E00038879,2.5,8.2,55.7,33.6
E00038880,3.2,22.6,51,23.2
E00038881,1.6,26.2,58.7,13.5
E00038882,0.6,16.7,47,35.7
E00038883,7.5,31.3,34,27.2
E00038884,2.3,27.3,22,48.5
E00038885,5.4,23,43.9,27.7
E00038886,13.4,37.3,26.1,23.1
E00038887,0,30,60,10
E00038888,18,29.3,45.1,7.5
E00038889,9.6,20.2,48.9,21.3
E00038890,9,28.3,40.7,22.1
E00038891,20,20.9,45.2,13.9
E00038892,14.3,42.9,34.3,8.6
E00038893,0,88.7,9.7,1.6
E00038894,0,1.5,33.8,64.7
E00038895,44.2,16.3,34.1,5.4
E00038896,7.4,46.7,40.2,5.7
E00038897,9.4,42.8,38.4,9.4
E00038898,0,4.8,40.8,54.4
E00038899,1.5,27.1,30.8,40.6
E00038900,31.8,28.8,18.2,21.2
E00038901,0.8,6.3,66.7,26.2
E00038902,64.8,20,10.5,4.8
E00038903,31.3,28,11,29.7
E00038904,2.3,6.1,71,20.6
E00038905,7.2,2.4,60.8,29.6
E00038906,24.3,27.8,30.2,17.8
E00038907,2.8,12,82.4,2.8
E00038908,1.7,35.7,55.7,7
E00038909,2.3,23.7,58.4,15.6
E00038910,0.7,47.1,30.9,21.3
E00038911,1.2,32.5,46.4,19.9
E00038912,0,48,44.1,7.9
E00038913,0.8,47.5,42.6,9
E00038915,2.4,4.9,61.8,30.9
E00038916,1.9,13.5,67.3,17.3
E00038917,6.8,37.4,45.6,10.2
