areacd,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E00045717,1.9,28.1,51.9,18.1
E00047678,11.5,31.7,37.4,19.4
E00047683,1,19.8,14.9,64.4
E00047706,0,0,22.2,77.8
E00047712,16.4,61.9,8.2,13.4
E00047714,21.6,69.4,2.7,6.3
E00047715,2.4,28.3,50.4,18.9
E00047716,22.3,8,54.5,15.2
E00047718,2.4,23.5,35.5,38.6
E00047719,1.8,22.5,37.8,37.8
E00047720,21.8,14.3,28.6,35.3
E00047721,2.3,9.8,61.4,26.5
E00047722,27,36.9,30.3,5.7
E00047723,0,10,30.8,59.2
E00047724,5.7,36.6,38.2,19.5
E00047725,1.1,18.8,39.8,40.3
E00047726,13.9,38.4,23.8,23.8
E00047727,0,3.5,37.2,59.3
E00047728,0,0,38.4,61.6
E00047729,0,7.1,64.6,28.3
E00047730,3.7,14.8,28.7,52.8
E00047731,8,35,7.3,49.6
E00047732,0.9,5.3,47.8,46
E00047733,0,3.5,43.4,53.1
E00047734,0.7,10.9,46,42.3
E00047735,0,2.9,16.9,80.1
E00047736,0.9,13.9,67.8,17.4
E00047737,0,1.7,21,77.3
E00047738,4,48.9,27.3,19.9
E00047739,0,8.7,4.7,86.6
E00047740,0,2.5,61,36.4
E00047741,28.6,50.5,16.2,4.8
E00047742,20.2,52.5,6.1,21.2
E00047743,0,5.8,14,80.2
E00047744,0,5,29.4,65.5
E00047745,2.8,41.3,6.4,49.5
E00047746,0,7.9,16.5,75.5
E00047747,1.4,19.4,32.4,46.8
E00047748,0,1.6,33.9,64.6
E00047749,0.9,67.6,10.2,21.3
E00047750,1.5,1.5,51.5,45.5
E00047751,0,3.1,10.8,86.2
E00047752,0,1.7,42.7,55.6
E00047753,7.4,16.3,14.8,61.5
E00047754,15.9,35.2,15.3,33.5
E00047755,0.9,20.7,40.5,37.8
E00047756,14.9,12.6,14.9,57.7
E00047757,0.8,14.8,76.6,7.8
E00047758,47.3,14,32.6,6.2
E00047759,20.4,20.4,30.9,28.3
E00047760,0,64.4,28.1,7.4
E00047761,29.2,41.5,27.7,1.5
E00047762,9.7,9,33.1,48.3
E00047777,3.9,6.2,58.9,31
E00047778,0,16.4,28.1,55.5
E00047779,0,24.4,39.4,36.2
E00047780,12.8,34.6,12,40.6
E00047782,0,17,58.8,24.2
E00047783,0.5,17.6,48.1,33.8
E00047784,3,12,72.2,12.8
E00047785,5.7,6.5,68.3,19.5
E00047786,4.5,18,32.3,45.1
E00047787,44.4,55,0.6,0
E00047788,10.4,24.8,49.6,15.2
E00047789,13.3,12.4,27.6,46.7
E00047790,0.6,16.1,18.7,64.5
E00047791,23.8,26.6,42.7,7
E00047792,0,9.9,77.7,12.4
E00047793,26.7,42.7,20.7,10
E00047794,0,9.4,70.1,20.5
E00047795,0.8,3.4,41.2,54.6
E00047796,0,9.7,61.9,28.4
E00047797,46.1,25.5,17,11.3
E00047798,1,30.5,52.4,16.2
E00047799,66.2,23.8,8.5,1.5
E00047800,3.6,53.6,38.4,4.5
E00047801,10.2,32.3,52,5.5
E00047802,2.5,50,42.6,4.9
E00047803,11.9,13.2,30.2,44.7
E00047804,4.5,6,81.3,8.2
E00047805,65.5,13.7,13.7,7.2
E00047806,0.9,14.5,62.7,21.8
E00047807,7.4,11.5,39.3,41.8
E00047808,1.5,12.6,66.7,19.3
E00047809,0,0,59.2,40.8
E00047810,18.2,32.7,12.7,36.4
E00047811,11.7,40,37.5,10.8
E00047812,0,4.6,24.4,71
E00047813,43.4,33,15.1,8.5
E00047814,72.7,25.5,1.8,0
E00047815,0,3.1,71,26
E00047816,0,2.1,61.7,36.2
E00047817,0,14.4,22.7,62.9
E00047818,6.9,26.7,32.8,33.6
E00047819,1.5,16.2,42.3,40
E00047820,5.6,30.8,55.9,7.7
E00047821,0,11.2,59.7,29.1
E00047823,0.6,18.5,26.4,54.5
E00047824,0,7.1,53.6,39.3
E00047825,44.4,6.1,22.2,27.3
E00047826,0,3.1,22.8,74
E00047827,0.8,21,24.2,54
E00047828,36.6,21.1,21.8,20.4
E00047829,7.9,14.3,18.3,59.5
E00047830,12.5,35,23.3,29.2
E00047831,3.7,39.3,22.4,34.6
E00047832,4.3,12.1,50.9,32.8
E00047833,0.7,3.6,12.4,83.2
E00047834,23.5,19.1,40.4,16.9
E00047835,10.5,26.8,14.4,48.4
E00047836,0,18.7,43.9,37.4
E00047837,1.8,15.3,38.7,44.1
E00047838,3.3,52.9,23.1,20.7
E00047840,0.8,14.2,40.2,44.9
E00047858,0,19.5,47.4,33.1
E00047859,26.4,7.3,43.6,22.7
E00047860,0,8,67.2,24.8
E00047861,1.8,31.3,51.8,15.2
E00047863,0,4.2,46.6,49.2
E00047864,43.1,20.6,30.4,5.9
E00047865,0,9.2,63,27.7
E00047866,3.8,22.6,39.8,33.8
E00047867,0,35,42.7,22.3
E00047868,2.5,8.3,47.1,42.1
E00047869,34.5,49,13.1,3.4
E00047870,33.8,12.9,7.9,45.3
E00047871,9.6,24.2,53.5,12.7
E00047872,0.8,30,60,9.2
E00047873,0,14.1,57,28.9
E00047874,0,13.7,82.1,4.3
E00047875,2,33.6,57.7,6.7
E00047876,2.3,12.4,79.1,6.2
E00047877,14.1,53.9,29.7,2.3
E00047878,18.8,15.4,58.1,7.7
E00047880,15.3,51.5,27.2,5.9
E00047881,21.2,29.5,33.7,15.5
E00047882,4.9,37.4,46.3,11.4
E00047883,11.8,17.6,61.3,9.2
E00047884,2.3,13.3,78.9,5.5
E00047885,13.4,22.7,57.1,6.7
E00047886,2.5,28.9,61.2,7.4
E00047890,0,6.5,22,71.5
E00047894,4,11.2,21.6,63.2
E00047897,1.8,25.7,22.1,50.4
E00047898,30.8,37.8,8.4,23.1
E00047900,0.8,6.8,46.6,45.8
E00047901,1.7,15.1,12.6,70.6
E00047902,0.8,7.9,53.2,38.1
E00047908,13.3,7.8,48.4,30.5
E00047913,3.9,54.7,18.8,22.7
E00047914,24,6.4,50.4,19.2
E00047915,21.9,24.9,6.5,46.8
E00047916,0,18.3,40,41.7
E00047917,6.3,41,10.4,42.4
E00047918,2.9,29.8,30.8,36.5
E00047921,5.9,12.5,43.4,38.2
E00047923,33.3,36.8,27.4,2.6
E00047924,0,14.6,28.5,56.9
E00047925,4.7,27.6,51.2,16.5
E00047927,4.3,10.9,29.7,55.1
E00047928,1.5,3,30.3,65.2
E00047929,0.8,0.8,45.2,53.2
