geography_code,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E02002722,47.3,52.7
E02003742,51.6,48.4
E02003743,36.9,63.1
E02003744,38.7,61.3
E02003745,49.2,50.8
E02003746,43.8,56.2
E02003748,43.4,56.6
E02003750,47.3,52.7
E02003751,53.1,46.9
E02005417,52.6,47.4
E02005425,56.7,43.3
E02005426,45.6,54.4
E02005428,48.3,51.7
E02005429,56.8,43.2
E02005431,52,48
E02005432,58.1,41.9
E02005433,50.7,49.3
E02005435,45.2,54.8
E02005436,51,49
E02005437,35.1,64.9
E02005438,42.7,57.3
E02005440,50.7,49.3
E02005466,53.8,46.2
E02005467,45.6,54.4
E02005472,47.5,52.5
E02005474,53.3,46.7
E02005503,54.1,45.9
E02005504,56,44
E02005505,49.3,50.7
E02005506,53.7,46.3
E02005507,43.6,56.4
E02005508,55.2,44.8
E02005509,48.4,51.6
E02005510,54.5,45.5
E02005511,49.3,50.7
E02005512,47.6,52.4
E02005513,46.1,53.9
E02005514,54.7,45.3
E02005515,54.1,45.9
E02005520,51.5,48.5
E02005521,51.6,48.4
E02005522,53.6,46.4
E02005523,51.6,48.4
E02005524,54.3,45.7
E02005525,53.1,46.9
E02005526,51.4,48.6
E02005527,54.6,45.4
E02005528,50.8,49.2
E02005529,51.4,48.6
E02005530,51.1,48.9
E02005531,48.6,51.4
E02005532,48.9,51.1
E02005533,55.2,44.8
E02005534,51.3,48.7
E02005535,47.3,52.7
E02005536,54.2,45.8
E02005537,49.8,50.2
E02005538,52,48
E02005539,53.4,46.6
E02005540,48.2,51.8
E02005541,40.4,59.6
E02005542,28.1,71.9
E02005543,24.3,75.7
E02005544,32,68
E02005545,54.4,45.6
E02005546,34.4,65.6
E02005547,44.5,55.5
E02005548,42,58
E02005549,51,49
E02005550,47.2,52.8
E02005551,48.8,51.2
E02005552,52.8,47.2
E02005553,53.7,46.3
E02005554,52.4,47.6
E02005555,58.8,41.2
E02005556,48.2,51.8
E02005557,34.5,65.5
E02005558,52.4,47.6
E02005559,41.6,58.4
E02005560,43.1,56.9
E02005561,30.9,69.1
E02005562,52.4,47.6
E02005563,50.4,49.6
E02005564,54,46
E02005565,49.9,50.1
E02005566,51,49
E02005567,47.4,52.6
E02005568,55.4,44.6
E02005569,53.3,46.7
E02005570,52.6,47.4
E02005571,51.9,48.1
E02005572,44,56
E02005573,51.5,48.5
E02005574,55,45
E02005575,55.3,44.7
E02005576,52.8,47.2
E02005577,51.9,48.1
E02005578,48.8,51.2
E02005580,45.9,54.1
E02005581,49.9,50.1
E02005582,47.3,52.7
E02005583,55.4,44.6
E02005584,36.2,63.8
E02005585,31.2,68.8
E02005586,27.9,72.1
E02005587,36.5,63.5
E02005588,31.9,68.1
E02005589,30.1,69.9
E02005592,31.5,68.5
E02005593,17.9,82.1
E02005594,30.3,69.7
E02005595,49.4,50.6
E02005596,33.2,66.8
E02005598,55,45
E02005599,51.9,48.1
E02005600,53.1,46.9
E02005601,47.5,52.5
E02005602,53.5,46.5
E02005603,50,50
E02005604,52.7,47.3
E02005605,56,44
E02005606,54.2,45.8
E02005607,54.1,45.9
E02006302,56.1,43.9
E02006303,37.7,62.3
E02006304,51.9,48.1
E02006907,23.2,76.8
E02006908,27.8,72.2
E02007032,45.7,54.3
E02007033,43.7,56.3
E02007052,21.4,78.6
E02007053,16.6,83.4
E02007054,47.7,52.3
E02007055,48.2,51.8
