geography_code,country_of_birth_3a-001,country_of_birth_3a-002
E02002722,97,3
E02003742,93.3,6.7
E02003743,70.5,29.5
E02003744,73.1,26.9
E02003745,94.4,5.6
E02003746,90.4,9.6
E02003748,90.7,9.3
E02003750,92.7,7.3
E02003751,94.4,5.6
E02005417,93.1,6.9
E02005425,97.2,2.8
E02005426,96.7,3.3
E02005428,97.2,2.8
E02005429,97.1,2.9
E02005431,96.4,3.6
E02005432,95.8,4.2
E02005433,96.3,3.7
E02005435,94.4,5.6
E02005436,96.8,3.2
E02005437,90,10
E02005438,95.5,4.5
E02005440,97.4,2.6
E02005466,95.1,4.9
E02005467,88.3,11.7
E02005472,93.4,6.6
E02005474,94,6
E02005503,94.5,5.5
E02005504,95.2,4.8
E02005505,93.3,6.7
E02005506,94.9,5.1
E02005507,92.5,7.5
E02005508,96.3,3.7
E02005509,91.9,8.1
E02005510,95.1,4.9
E02005511,82.6,17.4
E02005512,90.8,9.2
E02005513,89.9,10.1
E02005514,92.1,7.9
E02005515,94.8,5.2
E02005520,95.9,4.1
E02005521,95.9,4.1
E02005522,96.4,3.6
E02005523,95.9,4.1
E02005524,96.6,3.4
E02005525,93.6,6.4
E02005526,94,6
E02005527,94.6,5.4
E02005528,93.7,6.3
E02005529,93.6,6.4
E02005530,90,10
E02005531,93.7,6.3
E02005532,92.8,7.2
E02005533,95.5,4.5
E02005534,94.4,5.6
E02005535,90.4,9.6
E02005536,94.4,5.6
E02005537,96.6,3.4
E02005538,96.5,3.5
E02005539,96.8,3.2
E02005540,96,4
E02005541,89.5,10.5
E02005542,75.5,24.5
E02005543,71.2,28.8
E02005544,85.2,14.8
E02005545,96.2,3.8
E02005546,94.1,5.9
E02005547,90.9,9.1
E02005548,90.8,9.2
E02005549,96.9,3.1
E02005550,95.7,4.3
E02005551,94.9,5.1
E02005552,95,5
E02005553,96.4,3.6
E02005554,96.5,3.5
E02005555,92.5,7.5
E02005556,92.2,7.8
E02005557,71.9,28.1
E02005558,95.7,4.3
E02005559,82,18
E02005560,73.6,26.4
E02005561,76,24
E02005562,95.6,4.4
E02005563,94.7,5.3
E02005564,93.5,6.5
E02005565,95.6,4.4
E02005566,95,5
E02005567,90.5,9.5
E02005568,94.3,5.7
E02005569,84.7,15.3
E02005570,95.6,4.4
E02005571,94.3,5.7
E02005572,94.2,5.8
E02005573,94,6
E02005574,96.2,3.8
E02005575,96.1,3.9
E02005576,96.5,3.5
E02005577,95.3,4.7
E02005578,95.5,4.5
E02005580,93.7,6.3
E02005581,95.2,4.8
E02005582,96.4,3.6
E02005583,96.3,3.7
E02005584,82.2,17.8
E02005585,82.6,17.4
E02005586,83,17
E02005587,89.8,10.2
E02005588,80.5,19.5
E02005589,84,16
E02005592,85.3,14.7
E02005593,79.6,20.4
E02005594,80.1,19.9
E02005595,86.4,13.6
E02005596,86.8,13.2
E02005598,86.9,13.1
E02005599,91.2,8.8
E02005600,93.8,6.2
E02005601,93.9,6.1
E02005602,93.9,6.1
E02005603,93.5,6.5
E02005604,95.2,4.8
E02005605,95.1,4.9
E02005606,96.4,3.6
E02005607,95.5,4.5
E02006302,95.8,4.2
E02006303,96.6,3.4
E02006304,97,3
E02006907,71.6,28.4
E02006908,81.7,18.3
E02007032,96.5,3.5
E02007033,95.7,4.3
E02007052,79.4,20.6
E02007053,77.4,22.6
E02007054,85.5,14.5
E02007055,92.2,7.8
