geography_code,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E02002722,0.8,0.1,0.6,98.3,0.2
E02003742,0.7,0.4,1.1,97.4,0.4
E02003743,1,1.1,1.2,95.3,1.5
E02003744,1.8,0.7,1.5,94.7,1.3
E02003745,0.6,0.4,0.9,97.7,0.4
E02003746,1.7,2.3,2.2,93.1,0.7
E02003748,1.3,0.5,1.3,96.1,0.7
E02003750,1.1,0.6,1.4,96.7,0.3
E02003751,0.9,0.2,1.1,97.5,0.3
E02005417,0.7,0.6,1.1,97.2,0.4
E02005425,0.7,0.1,1.1,97.9,0.2
E02005426,0.7,0.2,1.2,97.8,0.1
E02005428,0.7,0.1,0.7,98.4,0.2
E02005429,0.5,0.3,0.4,98.5,0.3
E02005431,0.5,0.2,1.1,98,0.1
E02005432,0.5,0.2,0.9,98.2,0.2
E02005433,0.9,0.2,0.9,98,0.1
E02005435,1.1,0.1,0.8,97.6,0.3
E02005436,0.6,0.2,1,98.1,0.2
E02005437,2.2,0.4,1.7,95.2,0.5
E02005438,1,0.3,1.6,97,0.2
E02005440,0.5,0.1,1.1,98.1,0.1
E02005466,0.3,0.3,0.9,98,0.5
E02005467,1.1,0.4,1,97.3,0.3
E02005472,0.9,0.3,0.9,97.8,0.2
E02005474,0.8,0.4,0.9,97.8,0.2
E02005503,0.8,0.5,0.8,97.6,0.2
E02005504,0.5,0.2,0.9,98.3,0.2
E02005505,1.4,0.4,1.2,96.8,0.1
E02005506,0.4,0.4,0.8,98.2,0.2
E02005507,1,0.5,1.4,96.6,0.4
E02005508,0.4,0.1,0.9,98.4,0.2
E02005509,1.3,0.3,1.1,96.5,0.7
E02005510,0.4,0.2,0.7,98.3,0.4
E02005511,0.9,0.5,1.1,96.9,0.5
E02005512,1.1,1.8,1.8,94.9,0.4
E02005513,1.5,0.6,1.5,95.9,0.6
E02005514,0.4,0.6,1.4,97.3,0.4
E02005515,1.1,0.2,1.4,97,0.2
E02005520,0.6,0.3,1,97.9,0.2
E02005521,0.5,0.2,1.1,98,0.2
E02005522,0.5,0.2,1.2,97.9,0.3
E02005523,0.7,0.6,1.4,97.1,0.2
E02005524,0.7,0.3,0.6,98.2,0.2
E02005525,1.7,0.8,1.5,95.6,0.4
E02005526,1.3,0.8,1.3,96.1,0.6
E02005527,1.2,0.3,1.4,96.6,0.5
E02005528,1.6,0.7,1.6,95.7,0.4
E02005529,2.4,0.4,1.1,95.8,0.3
E02005530,2.4,1.1,1.8,94.1,0.6
E02005531,1.9,0.4,1.5,95.9,0.3
E02005532,2.2,1.1,1.9,94.4,0.4
E02005533,1,0.3,1.4,97,0.3
E02005534,1,0.6,1.3,96.5,0.6
E02005535,3.4,0.8,2.2,92.9,0.7
E02005536,1.5,0.4,1.4,96.4,0.4
E02005537,0.7,0.2,1,97.8,0.2
E02005538,0.5,0.2,0.7,98.2,0.3
E02005539,0.5,0.2,1.1,97.9,0.2
E02005540,0.9,0.3,0.8,97.7,0.3
E02005541,1.7,1.3,1.8,94.3,0.9
E02005542,2.6,2.9,3.1,89.3,2.1
