geography_code,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E02002722,41.6,20.5,15.9,22
E02003742,50,28.7,8.6,12.7
E02003743,27.4,22,21,29.6
E02003744,32.3,22,18.2,27.6
E02003745,43.2,31.5,11.8,13.5
E02003746,40.4,32.9,7.1,19.6
E02003748,35.9,23.7,16.1,24.4
E02003750,43.1,27.7,11.2,17.9
E02003751,42.6,35.7,8.1,13.6
E02005417,47.1,27.3,15.6,10
E02005425,54,27.4,6.6,12
E02005426,34.3,27.5,23.5,14.8
E02005428,51.1,16.4,14.7,17.9
E02005429,64.6,13.1,5.9,16.4
E02005431,50.8,20.6,10.4,18.2
E02005432,50.5,24.1,5.1,20.3
E02005433,56.2,13.3,8.6,21.8
E02005435,41.5,21.1,9.4,27.9
E02005436,47.4,22.3,11.6,18.7
E02005437,25.1,14.7,7.6,52.5
E02005438,31.6,18.4,33.6,16.4
E02005440,47.2,19.1,15.8,17.9
E02005466,49.5,27.7,11.1,11.6
E02005467,39.8,26.2,13.7,20.3
E02005472,41.8,25.4,14.8,18
E02005474,50.7,30.5,7,11.8
E02005503,45.8,27.2,9.9,17.1
E02005504,47.7,25.4,12.2,14.7
E02005505,39.1,30.3,15.8,14.9
E02005506,46.1,28.7,9.5,15.7
E02005507,36.1,25.4,16.2,22.4
E02005508,47.8,31.2,10.1,11
E02005509,43.3,21.4,19,16.3
E02005510,49,25,13,13
E02005511,43.7,26.6,10.1,19.5
E02005512,39.8,32.6,10,17.7
E02005513,35.9,32.2,12.7,19.3
E02005514,44.7,27.6,11.5,16.2
E02005515,43.2,32.5,7.2,17.1
E02005520,46,26.2,14,13.8
E02005521,45,26.2,10.8,18
E02005522,44.5,29.6,10.3,15.6
E02005523,41.8,35.8,9.6,12.8
E02005524,50.4,32.9,7.8,8.9
E02005525,44.8,35.8,6.4,13
E02005526,42,32.5,8.3,17.2
E02005527,45,36.4,9.9,8.7
E02005528,46.6,32.6,9.4,11.5
E02005529,53.5,26.9,10.9,8.6
E02005530,49.7,35.5,3.6,11.2
E02005531,43.4,31.6,13.7,11.3
E02005532,44.4,37.5,7.6,10.4
E02005533,45.5,32.1,12.5,9.9
E02005534,49.1,30.9,11.3,8.7
E02005535,40.4,34.9,7.9,16.8
E02005536,48.8,32.2,7.3,11.8
E02005537,46.6,26.8,12.4,14.2
E02005538,55,26.9,6.1,12
E02005539,50.8,28.6,8.2,12.4
E02005540,53.2,24.3,7,15.5
E02005541,35,22.4,21.2,21.4
E02005542,19.6,12.8,22,45.5
E02005543,16.7,9.6,30.3,43.4
E02005544,23.3,22.4,20.8,33.5
E02005545,51.7,32,5.1,11.2
E02005546,28.5,22.5,30,19
E02005547,40.5,25.9,7.3,26.3
E02005548,27.3,23.3,36.2,13.3
E02005549,52.5,29.9,4.4,13.1
E02005550,41.9,35.4,11.6,11.2
E02005551,54.4,14.2,11.5,19.9
E02005552,47.2,18.9,15.6,18.4
E02005553,57.5,18.4,9.5,14.6
E02005554,48.6,20,10.5,20.9
E02005555,54.6,32.1,3.8,9.5
E02005556,41.4,36.9,7.5,14.1
E02005557,16.1,20.9,39.6,23.3
E02005558,48.3,29.6,11.5,10.5
E02005559,31.4,28.9,17.8,21.9
E02005560,22.4,27.8,23.2,26.6
E02005561,20.9,19,27,33.1
E02005562,45.5,26.2,12.3,16.1
E02005563,47.3,33.1,8.8,10.7
E02005564,45.1,28,7,19.8
E02005565,42.4,32.9,9.5,15.2
E02005566,45.5,30,10,14.5
E02005567,43,24,11.3,21.7
E02005568,46.1,27.8,10.4,15.8
E02005569,39.8,27.2,10.3,22.7
E02005570,55.2,16.7,8.6,19.5
E02005571,48.3,13.6,19.8,18.3
E02005572,45.7,15.3,12.8,26.2
E02005573,55.7,14.6,17.1,12.5
E02005574,56.3,21.7,7.7,14.2
E02005575,52.2,20.7,11.1,15.9
E02005576,53.8,18.9,12.8,14.4
E02005577,46.1,25.9,11,17
E02005578,38.9,23.7,11.7,25.6
E02005580,43.2,22.3,17.2,17.3
E02005581,44.6,27.4,8.8,19.2
E02005582,45.4,22,11.3,21.3
E02005583,55.2,20.7,12.4,11.7
E02005584,21.4,25.4,33.1,20.1
E02005585,15.1,20,46.4,18.5
E02005586,20.1,28.8,15.5,35.6
E02005587,28.3,24.7,35.3,11.7
E02005588,16.7,17.7,39.7,25.9
E02005589,18.8,19,39,23.2
E02005592,29,25.3,5.5,40.1
E02005593,21.6,13.8,40.2,24.5
E02005594,25.3,18.7,23.3,32.7
E02005595,47.4,24.8,11.4,16.4
E02005596,22.3,21.9,38.6,17.2
E02005598,40.1,36.6,8.8,14.5
E02005599,39.2,35.9,12.1,12.8
E02005600,48.4,28.6,11.1,11.8
E02005601,44,23.2,14.5,18.2
E02005602,43.3,33.7,11.2,11.9
E02005603,33,42.1,12,13
E02005604,46.4,28.9,12,12.7
E02005605,44.5,35.2,9.3,11
E02005606,47.5,31.2,7.7,13.6
E02005607,43.3,34,10.2,12.5
E02006302,55.2,26.1,5.1,13.6
E02006303,25.4,23.9,36.7,13.9
E02006304,48.8,28,12.7,10.5
E02006907,15.7,15.4,20.1,48.8
E02006908,21.5,19.4,29.4,29.6
E02007032,45.9,21.3,18.6,14.2
E02007033,39.7,27.8,13.8,18.7
E02007052,11,12.7,49.7,26.6
E02007053,19,11.3,30.2,39.4
E02007054,23.8,48.7,11.8,15.7
E02007055,44.3,29.4,15.1,11.2
