geography_code,passports_all_4a-001,passports_all_4a-002,passports_all_4a-003
E02002722,71.3,1.2,27.5
E02003742,72.3,5.1,22.6
E02003743,44.9,30.5,24.6
E02003744,51.6,26,22.4
E02003745,72.4,3.7,23.9
E02003746,71.1,6.4,22.5
E02003748,68,7.4,24.6
E02003750,72,5.4,22.5
E02003751,76,3.3,20.7
E02005417,67.9,5.2,26.8
E02005425,76,1,22.9
E02005426,71.8,1.3,26.9
E02005428,64.6,1.1,34.3
E02005429,68,1,31
E02005431,70.7,1.6,27.7
E02005432,77.6,1.9,20.5
E02005433,68.2,2.2,29.6
E02005435,70.4,3.9,25.7
E02005436,71.1,1.5,27.4
E02005437,64.1,7.9,28
E02005438,66.7,2.9,30.4
E02005440,67.9,1.1,31
E02005466,69.1,3.3,27.5
E02005467,64.7,9.5,25.8
E02005472,66.2,5.1,28.8
E02005474,73,3.7,23.4
E02005503,77.6,2.5,19.9
E02005504,76,2.2,21.9
E02005505,73.2,4,22.8
E02005506,75.2,2.9,21.9
E02005507,70.2,5.5,24.3
E02005508,78.9,1.5,19.7
E02005509,69.2,5.1,25.7
E02005510,74.4,2.8,22.8
E02005511,62.8,14.7,22.6
E02005512,71.9,6.4,21.7
E02005513,73,7.3,19.7
E02005514,73.9,5.5,20.7
E02005515,79.8,2.9,17.3
E02005520,79.4,1.8,18.8
E02005521,80.2,1.4,18.4
E02005522,82.3,1.6,16.1
E02005523,82.1,1.8,16
E02005524,82,1.5,16.5
E02005525,83.8,2.9,13.3
E02005526,80.7,3.2,16.1
E02005527,83,2.2,14.8
E02005528,81.6,3.2,15.2
E02005529,77.8,2.9,19.3
E02005530,79.2,6.2,14.6
E02005531,80.7,3,16.3
E02005532,79.2,4.3,16.5
E02005533,82.3,1.7,15.9
E02005534,81.5,3,15.5
E02005535,84,4.4,11.6
E02005536,82.6,2.3,15.2
E02005537,77.1,1.5,21.4
E02005538,78.3,1.7,20.1
E02005539,75.6,1.5,22.9
E02005540,75.8,2,22.2
E02005541,63.5,8.3,28.2
E02005542,48.5,21.9,29.6
E02005543,41.1,26.3,32.6
E02005544,56.5,13.7,29.8
E02005545,79.2,2,18.8
E02005546,65.9,4.4,29.6
E02005547,72.1,5.9,22
E02005548,62.6,6.9,30.5
E02005549,77.5,1.3,21.1
E02005550,78.6,2,19.4
E02005551,73.9,2.6,23.6
E02005552,75.3,2.6,22.2
E02005553,76,1.4,22.6
E02005554,76.1,1.7,22.3
E02005555,84.6,3.4,12
E02005556,76.5,5.6,17.9
E02005557,43.1,28.9,28
E02005558,73,3.1,23.9
E02005559,62,17.1,20.9
E02005560,55.5,22.6,21.9
E02005561,52.5,22.5,25
E02005562,75.8,2.2,22
E02005563,74.9,3.4,21.7
E02005564,79.7,3.4,16.9
E02005565,75.7,2.8,21.5
E02005566,73.8,3.4,22.8
E02005567,70.8,6.9,22.3
E02005568,74.4,3.6,22
E02005569,65.2,13.3,21.5
E02005570,78.3,2,19.7
E02005571,74.2,2.7,23.2
E02005572,71.6,3.5,25
E02005573,74.2,2.9,22.9
E02005574,78.2,1.7,20.1
E02005575,77.9,1.3,20.8
E02005576,73.7,1.4,24.8
E02005577,75.5,2.1,22.5
E02005578,71.1,2.1,26.8
E02005580,68.6,4.4,27
E02005581,73.1,2.2,24.7
E02005582,70.1,1.7,28.3
E02005583,77.1,1.5,21.4
E02005584,65.6,13.4,21.1
E02005585,59.5,13.8,26.7
E02005586,70.5,12.4,17.1
E02005587,67,7.2,25.8
E02005588,64.6,13.7,21.7
E02005589,65.4,11,23.6
E02005592,83,9.4,7.6
E02005593,72.8,14.2,13
E02005594,73.5,13.9,12.5
E02005595,81.4,7.5,11.1
E02005596,66.3,9.4,24.3
E02005598,81.1,7.1,11.9
E02005599,81,4.7,14.3
E02005600,81,2.7,16.3
E02005601,76.8,3.2,20
E02005602,84.3,2.7,12.9
E02005603,81,3.4,15.6
E02005604,80.4,2.4,17.2
E02005605,83.1,2.2,14.8
E02005606,79.2,1.7,19
E02005607,79.6,2.1,18.3
E02006302,81.9,1.8,16.2
E02006303,66.4,2,31.6
E02006304,77.6,1.6,20.8
E02006907,66.8,21.5,11.7
E02006908,70.3,13.8,15.9
E02007032,69.9,1.3,28.8
E02007033,71.4,1.8,26.8
E02007052,62.4,15.9,21.8
E02007053,72,16.2,11.8
E02007054,78.2,8.5,13.3
E02007055,77.6,4.6,17.9
