geography_code,accommodation_type_3a-001,accommodation_type_3a-002,accommodation_type_3a-003
E02002722,89.3,8.1,2.6
E02003742,97.3,1.1,1.6
E02003743,83.7,14.3,2
E02003744,77.5,21.4,1.2
E02003745,96,0.6,3.4
E02003746,94.2,5.1,0.7
E02003748,85.4,14.5,0.1
E02003750,91.4,8.2,0.5
E02003751,97.2,2.2,0.6
E02005417,97.8,2.1,0.1
E02005425,97.8,1.2,1
E02005426,92.4,7.5,0
E02005428,90.2,8.1,1.7
E02005429,87.8,8.2,4
E02005431,93.4,4.7,2
E02005432,97.9,1.6,0.5
E02005433,80.7,10.2,9.1
E02005435,83.3,10.4,6.3
E02005436,92.3,6.1,1.7
E02005437,49,50.9,0.1
E02005438,82.8,17.1,0.1
E02005440,92.9,5.5,1.6
E02005466,98.7,0.3,1
E02005467,93.8,5.9,0.3
E02005472,94.7,4.7,0.6
E02005474,97,1.1,1.9
E02005503,98.3,1.5,0.2
E02005504,98.9,0.7,0.4
E02005505,93.9,6,0
E02005506,97.6,2.1,0.3
E02005507,84.5,15.5,0.1
E02005508,96.4,2.7,0.8
E02005509,88.4,10.8,0.8
E02005510,97.7,2,0.3
E02005511,89.3,9,1.7
E02005512,96.2,3.1,0.6
E02005513,90.6,9.1,0.3
E02005514,96.8,2.9,0.3
E02005515,96.8,1.7,1.5
E02005520,91.4,8.4,0.2
E02005521,93.8,3.6,2.6
E02005522,95.7,3.9,0.4
E02005523,94.7,1.8,3.4
E02005524,94.9,2.6,2.5
E02005525,96.3,3.6,0.1
E02005526,95.7,2.6,1.7
E02005527,96.5,3.4,0.2
E02005528,94.1,5.9,0.1
E02005529,92.5,7.4,0.1
E02005530,94.3,5.7,0
E02005531,92.4,7.5,0.1
E02005532,90,10,0
E02005533,98.1,1.8,0.1
E02005534,91.3,8.5,0.1
E02005535,91.4,8.5,0
E02005536,96.3,2.7,1
E02005537,96.4,3.4,0.2
E02005538,96.5,1.9,1.6
E02005539,96.6,2.7,0.6
E02005540,97.3,2.6,0.1
E02005541,86.7,13.3,0
E02005542,59.6,39.9,0.5
E02005543,50.4,49.4,0.1
E02005544,79,18.8,2.2
E02005545,91.7,2.8,5.5
E02005546,69.3,30.7,0.1
E02005547,88.3,11.7,0.1
E02005548,83,17,0.1
E02005549,87.6,2,10.4
E02005550,97.8,2.1,0.1
E02005551,74.6,25.2,0.2
E02005552,97.3,2.4,0.3
E02005553,92.6,5,2.4
E02005554,96.2,3.6,0.1
E02005555,98.8,1.2,0
E02005556,95,5,0
E02005557,79.4,20.5,0.1
E02005558,96.9,2.4,0.7
E02005559,83.7,16.2,0
E02005560,82.5,17.4,0.1
E02005561,57.4,41,1.6
E02005562,95.4,2.2,2.4
E02005563,96.7,2.2,1
E02005564,96.9,1,2
E02005565,98,1.4,0.5
E02005566,97.1,2.2,0.7
E02005567,88.6,11,0.4
E02005568,98.3,1.2,0.5
E02005569,97,2.3,0.6
E02005570,78.4,21.4,0.1
E02005571,93.2,6.6,0.2
E02005572,64.8,34.9,0.3
E02005573,90.6,9.1,0.3
E02005574,93.1,4.3,2.6
E02005575,98,1.6,0.5
E02005576,92.6,6.4,1
E02005577,98,1.7,0.3
E02005578,95.7,2.9,1.4
E02005580,89.9,9.9,0.2
E02005581,96.8,2,1.2
E02005582,86.5,13.1,0.4
E02005583,95.6,3.8,0.6
E02005584,66.4,32.8,0.8
E02005585,69.6,30.1,0.3
E02005586,75,25,0
E02005587,77.7,22.3,0
E02005588,81.5,18.5,0
E02005589,79.4,20.5,0.1
E02005592,80,19.9,0.1
E02005593,76.5,23.5,0
E02005594,53.6,46.4,0
E02005595,87.4,12.5,0.1
E02005596,66.5,33.4,0
E02005598,93.4,6.2,0.3
E02005599,96,3.9,0.1
E02005600,95.7,4.2,0.2
E02005601,86.3,13.6,0.1
E02005602,93.8,6.1,0.1
E02005603,93.3,6.6,0.1
E02005604,94.6,5.1,0.3
E02005605,94.9,4.8,0.3
E02005606,97.4,2.2,0.4
E02005607,98.2,1.7,0.1
E02006302,95.1,4.4,0.5
E02006303,85.5,14.5,0
E02006304,95.5,4.5,0
E02006907,22.9,76.8,0.3
E02006908,46.8,53.2,0
E02007032,87.5,11.7,0.8
E02007033,84.3,15.6,0.1
E02007052,31.5,68.5,0
E02007053,22,78,0
E02007054,85.1,14.2,0.6
E02007055,89.4,10.2,0.4
