geography_code,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E02002722,97,2.1,0.3,0.2,0.3
E02003742,93.3,4.4,1.6,0.6,0.1
E02003743,70.5,13.9,9.4,4.1,2.1
E02003744,73.1,12.9,7.3,4.2,2.5
E02003745,94.4,3.9,1.1,0.4,0.3
E02003746,90.5,6.2,1.6,1,0.7
E02003748,90.7,5.5,2.2,1,0.5
E02003750,92.7,4.8,1.2,0.9,0.4
E02003751,94.4,4.1,0.8,0.3,0.5
E02005417,93.1,4.4,1.3,0.6,0.6
E02005425,97.2,2.2,0.2,0.3,0.2
E02005426,96.7,2.7,0.3,0.2,0.1
E02005428,97.2,2.1,0.3,0.2,0.2
E02005429,97.2,2.3,0.2,0.2,0.1
E02005431,96.4,2.4,0.6,0.3,0.2
E02005432,95.8,3.2,0.3,0.4,0.3
E02005433,96.3,2.2,0.6,0.7,0.2
E02005435,94.4,3.7,1,0.6,0.4
E02005436,96.8,2.4,0.4,0.3,0.2
E02005437,90,5.5,2.2,1.4,0.9
E02005438,95.5,3.2,0.8,0.3,0.2
E02005440,97.4,2.1,0.3,0.1,0.1
E02005466,95.1,3.6,0.7,0.3,0.3
E02005467,88.3,5.9,3.5,1.5,0.8
E02005472,93.3,4.2,1.3,0.8,0.4
E02005474,94,4.4,0.9,0.4,0.3
E02005503,94.5,3.8,0.8,0.4,0.5
E02005504,95.1,3.9,0.5,0.3,0.2
E02005505,93.3,4.8,1.2,0.5,0.3
E02005506,94.9,3.7,0.8,0.4,0.2
E02005507,92.4,4.7,1.1,0.9,0.7
E02005508,96.4,2.7,0.5,0.2,0.2
E02005509,91.8,5.7,1.3,0.8,0.4
E02005510,95.1,3.3,0.7,0.5,0.3
E02005511,82.6,7.2,4.3,3.2,2.7
E02005512,90.8,5.5,2,1,0.8
E02005513,89.9,5.9,2.2,1.2,0.9
E02005514,92.1,4.5,1,0.9,1.5
E02005515,94.8,3.5,0.8,0.4,0.4
E02005520,95.9,3.1,0.4,0.3,0.3
E02005521,95.9,3.5,0.3,0.3,0.1
E02005522,96.3,2.8,0.4,0.3,0.2
E02005523,95.9,2.9,0.7,0.5,0.1
E02005524,96.5,2.7,0.4,0.3,0.1
E02005525,93.6,4.7,1,0.4,0.4
E02005526,94,4.1,0.9,0.5,0.3
E02005527,94.6,4,0.5,0.4,0.4
E02005528,93.7,4.1,1.2,0.6,0.4
E02005529,93.6,4.8,0.8,0.3,0.5
E02005530,90.1,6.1,2.2,1.2,0.5
E02005531,93.7,4.6,0.6,0.8,0.3
E02005532,92.8,4.3,1.6,0.9,0.5
E02005533,95.5,3.4,0.5,0.4,0.1
E02005534,94.3,4,0.8,0.6,0.2
E02005535,90.4,6.2,1.7,0.9,0.7
E02005536,94.5,4.3,0.5,0.4,0.4
E02005537,96.6,2.8,0.2,0.2,0.1
E02005538,96.5,2.8,0.3,0.2,0.2
E02005539,96.8,2.4,0.4,0.2,0.1
E02005540,96,3,0.4,0.4,0.2
E02005541,89.5,5.9,2.6,1.1,0.9
E02005542,75.5,8.8,7.6,4.8,3.3
E02005543,71.2,11.2,8,5.5,4.2
E02005544,85.2,7.4,3.9,2.3,1.2
E02005545,96.2,2.7,0.6,0.4,0.1
E02005546,94.2,3.1,1,0.6,1.1
E02005547,90.9,5.3,1.2,1.2,1.5
E02005548,90.8,4.4,1.2,1,2.5
E02005549,96.9,2.2,0.5,0.3,0.2
E02005550,95.7,3.1,0.6,0.4,0.2
E02005551,94.9,3.7,0.6,0.5,0.3
E02005552,95,4,0.6,0.2,0.2
E02005553,96.4,2.8,0.4,0.2,0.2
E02005554,96.5,2.9,0.3,0.2,0.1
E02005555,92.5,6.1,0.7,0.4,0.4
E02005556,92.1,4.5,2,0.8,0.6
E02005557,71.9,14.7,7.9,3.5,1.9
E02005558,95.7,2.8,0.7,0.4,0.4
E02005559,82.1,10.2,3.7,2.1,1.9
E02005560,73.6,13.3,4,3.5,5.6
E02005561,76,11.8,6,4,2.2
E02005562,95.6,3.4,0.5,0.3,0.2
E02005563,94.7,3.9,0.6,0.5,0.3
