geography_code,disability_3a-001,disability_3a-002
E02002722,25.9,74.1
E02003742,21.6,78.4
E02003743,19.3,80.7
E02003744,19.9,80.1
E02003745,20.8,79.2
E02003746,20.6,79.4
E02003748,22.9,77.1
E02003750,22,78
E02003751,20.2,79.8
E02005417,22.1,77.9
E02005425,22.9,77.1
E02005426,23.7,76.3
E02005428,32.4,67.6
E02005429,34,66
E02005431,26.3,73.7
E02005432,20.7,79.3
E02005433,32.9,67.1
E02005435,26.5,73.5
E02005436,24.4,75.6
E02005437,26,74
E02005438,28.9,71.1
E02005440,25.6,74.4
E02005466,21.4,78.6
E02005467,20.5,79.5
E02005472,23.9,76.1
E02005474,21.4,78.6
E02005503,18.9,81.1
E02005504,20.4,79.6
E02005505,21.5,78.5
E02005506,20.4,79.6
E02005507,20.8,79.2
E02005508,18.8,81.2
E02005509,23.1,76.9
E02005510,22,78
E02005511,21,79
E02005512,19.9,80.1
E02005513,18.6,81.4
E02005514,19.4,80.6
E02005515,17.8,82.2
E02005520,20,80
E02005521,18.4,81.6
E02005522,18.4,81.6
E02005523,16.7,83.3
E02005524,18.1,81.9
E02005525,17.1,82.9
E02005526,18.7,81.3
E02005527,18.2,81.8
E02005528,17.4,82.6
E02005529,23,77
E02005530,19.5,80.5
E02005531,18.1,81.9
E02005532,17.4,82.6
E02005533,19.1,80.9
E02005534,18.7,81.3
E02005535,16,84
E02005536,19.8,80.2
E02005537,21.6,78.4
E02005538,22.2,77.8
E02005539,21.3,78.7
E02005540,23.1,76.9
E02005541,24.8,75.2
E02005542,24.3,75.7
E02005543,24.8,75.2
E02005544,22.6,77.4
E02005545,18.6,81.4
E02005546,26,74
E02005547,20.6,79.4
E02005548,25,75
E02005549,21,79
E02005550,19,81
E02005551,26.4,73.6
E02005552,21.1,78.9
E02005553,24.4,75.6
E02005554,22.2,77.8
E02005555,16.7,83.3
E02005556,17.4,82.6
E02005557,20.8,79.2
E02005558,21.4,78.6
E02005559,19.7,80.3
E02005560,16,84
E02005561,20.1,79.9
E02005562,21,79
E02005563,20.8,79.2
E02005564,17.8,82.2
E02005565,20.1,79.9
E02005566,20.8,79.2
E02005567,22.2,77.8
E02005568,20.3,79.7
E02005569,17.4,82.6
E02005570,23.5,76.5
E02005571,21.5,78.5
E02005572,25.6,74.4
E02005573,23,77
E02005574,23,77
E02005575,19.3,80.7
E02005576,25.6,74.4
E02005577,19.9,80.1
E02005578,19.9,80.1
E02005580,21.4,78.6
E02005581,21.2,78.8
E02005582,22.6,77.4
E02005583,23.7,76.3
E02005584,19.6,80.4
E02005585,22,78
E02005586,19.3,80.7
E02005587,23.6,76.4
E02005588,21.1,78.9
E02005589,21.4,78.6
E02005592,16.9,83.1
E02005593,19,81
E02005594,20.2,79.8
E02005595,18.7,81.3
E02005596,21.6,78.4
E02005598,15.2,84.8
E02005599,17.1,82.9
E02005600,18.6,81.4
E02005601,22.7,77.3
E02005602,16.2,83.8
E02005603,15.3,84.7
E02005604,18.8,81.2
E02005605,17.3,82.7
E02005606,18.4,81.6
E02005607,17.9,82.1
E02006302,21,79
E02006303,24.7,75.3
E02006304,21.3,78.7
E02006907,20.2,79.8
E02006908,20,80
E02007032,24.2,75.8
E02007033,22.9,77.1
E02007052,27.2,72.8
E02007053,24.8,75.2
E02007054,13.9,86.1
E02007055,20,80
