geography_code,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E02002722,24.3,43.7,23.4,8.6
E02003742,9.7,40.4,33.3,16.5
E02003743,24.2,45.2,22.8,7.8
E02003744,26.7,42.1,22.6,8.6
E02003745,9.5,37.9,34.1,18.5
E02003746,14.1,44.1,29.6,12.3
E02003748,21.2,45.8,24.6,8.3
E02003750,16.1,43.4,28,12.5
E02003751,8.7,34.9,38.2,18.1
E02005417,9.5,40.1,33,17.4
E02005425,8.6,39.1,35.1,17.2
E02005426,19.7,44.2,27.7,8.4
E02005428,21.5,48.3,22,8.2
E02005429,17.7,55.1,20.5,6.6
E02005431,11.4,43.9,30.9,13.7
E02005432,7,36.1,38.4,18.5
E02005433,21,51.1,20.3,7.7
E02005435,23.2,49.6,20.9,6.3
E02005436,13.9,44.8,28.1,13.3
E02005437,40.4,40.7,14.2,4.7
E02005438,31.3,43.4,18.3,6.9
E02005440,13,41.9,30.4,14.7
E02005466,8,39.1,33.9,19
E02005467,16.3,45.3,28.5,9.9
E02005472,13.2,43.6,30.1,13.1
E02005474,6.5,35.1,37.5,20.8
E02005503,8.1,37.4,36.9,17.6
E02005504,7.9,36.3,36.9,19
E02005505,16.3,41.8,29.1,12.8
E02005506,8.6,40.7,35,15.8
E02005507,17.9,46.5,26.3,9.3
E02005508,7.2,34.4,37.6,20.8
E02005509,17.8,45.8,27.6,8.8
E02005510,9.5,39.8,33.6,17.1
E02005511,16.1,45.8,27.3,10.8
E02005512,7.1,32.8,40,20.1
E02005513,14.8,41.7,32.2,11.3
E02005514,7.9,36.9,37.3,17.9
E02005515,7.2,35.6,37.8,19.5
E02005520,14.3,43.3,31.2,11.2
E02005521,7.4,38.1,34.9,19.5
E02005522,7.4,37.7,36.6,18.3
E02005523,6.6,36.6,38.9,17.9
E02005524,8.1,41.7,34.9,15.3
E02005525,9.2,39.4,38.2,13.1
E02005526,10.4,42.7,34.8,12
E02005527,7.6,35.5,41.1,15.7
E02005528,12.3,45.5,32.2,10.1
E02005529,15.8,44.9,28.3,11
E02005530,13.4,43.5,31.5,11.6
E02005531,15.1,44.3,29.2,11.4
E02005532,13.9,47.4,30,8.7
E02005533,8.2,37.7,39.1,15
E02005534,16,44.8,29.1,10.2
E02005535,11.5,43.8,34.6,10
E02005536,9.1,42.1,34.7,14.1
E02005537,12.4,38.9,34.4,14.2
E02005538,11.2,42.6,31.8,14.3
E02005539,8.4,37.2,38.6,15.8
E02005540,18.1,45.6,27,9.3
E02005541,31.3,41.5,20.1,7.1
E02005542,46.5,40.4,10.5,2.7
E02005543,53.6,34.2,9.8,2.4
E02005544,34,44.6,16.8,4.6
E02005545,14.3,43.3,30.7,11.6
E02005546,33.2,43.9,17.1,5.8
E02005547,21.9,45.8,24.9,7.4
E02005548,29.4,43.5,20.8,6.3
E02005549,10.2,42.5,32.7,14.6
E02005550,13.9,42.7,32.8,10.5
E02005551,20.6,50,21.4,8
E02005552,8.7,41.8,34.3,15.2
E02005553,15.1,45.1,28.1,11.8
E02005554,11.5,45,29,14.5
E02005555,6.8,39.5,38,15.6
E02005556,13,44.5,31.9,10.6
E02005557,32.1,44.8,18.6,4.5
E02005558,11.3,34.8,34.9,19
E02005559,23.1,44.2,24.9,7.9
E02005560,23.2,45.3,25.2,6.2
E02005561,36.5,42.7,16.3,4.5
E02005562,9.3,38.4,34.7,17.6
E02005563,7.5,33,36,23.5
E02005564,7.7,38.4,37.4,16.4
E02005565,8.6,37.9,35.5,18
E02005566,8.2,34.9,35.8,21
E02005567,18.5,46.7,26.5,8.3
E02005568,7.3,37.5,36.6,18.6
E02005569,7.4,35.1,38.5,19
E02005570,19.6,48.7,23.2,8.5
E02005571,13.8,43.6,29.7,12.9
E02005572,27.5,47.9,18.8,5.7
E02005573,17,50.3,24.4,8.3
E02005574,10.7,42.2,32.5,14.7
E02005575,8.9,40.1,33.2,17.8
E02005576,12.3,45.6,29.2,13
E02005577,8.5,40.8,35.7,15
E02005578,8.4,42,33.6,16
E02005580,18.1,45.2,27.1,9.5
E02005581,7.1,36.3,38,18.6
E02005582,14.5,42.8,29.2,13.5
E02005583,10.7,39.8,32.9,16.6
E02005584,25.6,47,22,5.4
E02005585,32.5,46.2,17.2,4.1
E02005586,30.2,51.5,15.6,2.6
E02005587,26.8,47.3,20.2,5.8
E02005588,26.6,46.1,21.1,6.3
E02005589,29.9,44.6,19.8,5.6
E02005592,26.8,52.7,17.3,3.2
E02005593,32.1,42.6,19.3,6
E02005594,37.3,46.5,13.3,3
E02005595,17.9,48.7,25.6,7.8
E02005596,31.9,45.9,18.2,4
E02005598,7.8,40.2,38.8,13.2
E02005599,10.3,43.1,36.9,9.8
E02005600,7.4,37.1,35.7,19.8
E02005601,18.9,46.7,26.3,8.1
E02005602,8.8,40,37,14.2
E02005603,10.2,40.6,37.5,11.7
E02005604,11.1,37.9,35,15.9
E02005605,7.4,38.5,37.5,16.6
E02005606,6.1,34.9,38.3,20.6
E02005607,8.2,34.4,37.5,19.9
E02006302,11.3,40.5,33.2,15
E02006303,28.3,41.4,22.8,7.6
E02006304,15.4,45,29.5,10.1
E02006907,46.9,44,7.6,1.5
E02006908,33.5,49.1,14.8,2.6
E02007032,19.7,43.6,26.9,9.8
E02007033,18.2,46.1,25.6,10.1
E02007052,49,40.5,9.2,1.3
E02007053,53.4,39.6,5.8,1.2
E02007054,8.3,42.6,39.6,9.5
E02007055,15.5,44.2,28.7,11.6
