geography_code,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E02002722,26.8,42,8.3,20,2.9
E02003742,25.3,46.3,6.5,19.1,2.8
E02003743,33.4,38.7,7,15.1,5.8
E02003744,31.4,40.2,6.7,16.9,4.8
E02003745,24.8,46,7.6,18.8,2.7
E02003746,23,48.7,6.5,19,2.9
E02003748,26,46.3,6.7,18.1,2.9
E02003750,25,44.9,6.9,19.7,3.5
E02003751,21.6,47.4,7.1,21,2.9
E02005417,28.5,42.5,7.4,18.4,3.2
E02005425,20.9,44.5,7.1,24.5,2.9
E02005426,21.5,46.1,6.1,23.6,2.7
E02005428,33.4,39.6,7.6,15.6,3.7
E02005429,32.4,38,9.5,16.5,3.6
E02005431,25.7,43.6,7.5,19.8,3.4
E02005432,18.6,42.6,6.3,29.4,3.1
E02005433,39.7,36.4,7.7,12.7,3.5
E02005435,33.1,41.6,6.6,15.7,3
E02005436,25.6,43.4,7.4,20.7,2.9
E02005437,31.8,43.5,5.4,16.1,3.2
E02005438,32,43.4,6.5,14.4,3.7
E02005440,28.4,44.6,7.3,16.8,2.9
E02005466,24.7,47,6.4,18.1,3.8
E02005467,26.1,45.1,7.8,17.1,3.9
E02005472,28,45.2,6.4,16.9,3.5
E02005474,25.2,45,7.3,18.9,3.6
E02005503,17.6,46.7,6.3,26.8,2.6
E02005504,20.3,43.5,6.9,26.5,2.7
E02005505,20,46.1,6.8,24,3.1
E02005506,20.7,45.6,7.3,23.4,3
E02005507,22.8,47.7,7.4,18.8,3.3
E02005508,18.3,43.7,7.1,28.1,2.9
E02005509,24.7,43.2,6.8,22,3.4
E02005510,22.9,44.4,7.3,22.3,3.2
E02005511,29.4,41.3,7.6,18,3.8
E02005512,18.8,46.5,6,25.6,3.1
E02005513,21.7,46,6.7,22.7,2.9
E02005514,23.1,43.4,6.7,23.5,3.3
E02005515,17.8,43.4,6.3,29.5,2.9
E02005520,17.8,44.3,6.2,28.9,2.7
E02005521,17.8,42.4,6.5,30.6,2.6
E02005522,17,44.5,7.6,28.5,2.5
E02005523,18.4,48.6,7.2,23.7,2.1
E02005524,19.5,45.5,9.7,22.4,2.9
E02005525,15.2,47.3,7,27.8,2.8
E02005526,17.6,45.7,7.1,26.7,2.8
E02005527,15.8,45.2,6.4,30.2,2.5
E02005528,17,46.4,7.9,26,2.6
E02005529,22.8,43.5,9.7,20.7,3.2
E02005530,19.6,44.6,9.2,23.6,3.1
E02005531,19.4,46.7,7.6,23.3,2.9
E02005532,18.4,45.4,8.6,24.8,2.8
E02005533,16.8,44.3,6.7,29.2,2.9
E02005534,18.6,43.8,7.6,27,3
E02005535,12.9,42.7,5.3,36.9,2.2
E02005536,14.7,42.7,6.7,33.1,2.8
E02005537,20.1,44.1,7,26,2.8
E02005538,24.9,44.5,8.3,18.6,3.7
E02005539,20.3,45.2,7.8,23.1,3.6
E02005540,27,44.3,8.2,16.8,3.7
E02005541,30.1,44.5,6.8,15.8,2.9
E02005542,32.2,42.8,5.8,15.4,3.9
E02005543,34.8,40.4,5.8,14.3,4.7
E02005544,30.1,45.5,7,14.3,3.2
E02005545,23.8,44.6,8.6,19.6,3.3
E02005546,27.5,47.3,6.3,15.9,2.9
E02005547,20.7,45,6.8,24.3,3.1
E02005548,26.9,44.8,6.1,19,3.2
E02005549,24.8,44.7,8.6,19,3
E02005550,23,46.6,7.8,19.8,2.8
