geography_code,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E02002722,98,0.5,1.5
E02003742,94.5,0.8,4.7
E02003743,72,1.6,26.4
E02003744,75.6,1.3,23.1
E02003745,96.2,0.6,3.2
E02003746,92.7,0.9,6.4
E02003748,92.5,0.9,6.6
E02003750,95.1,0.5,4.4
E02003751,96.4,0.7,2.9
E02005417,94.9,0.5,4.5
E02005425,98.5,0.5,1
E02005426,98.2,0.5,1.3
E02005428,98.4,0.3,1.3
E02005429,98.4,0.3,1.3
E02005431,98.1,0.5,1.5
E02005432,97.3,0.8,1.9
E02005433,97.9,0.4,1.7
E02005435,95.8,0.8,3.4
E02005436,98,0.5,1.5
E02005437,92,1.2,6.8
E02005438,96.9,0.6,2.5
E02005440,98.3,0.2,1.5
E02005466,96.3,0.7,2.9
E02005467,90.6,1.1,8.3
E02005472,94.6,0.6,4.8
E02005474,95.9,0.7,3.4
E02005503,96.4,0.9,2.7
E02005504,97,0.7,2.3
E02005505,95.2,1,3.9
E02005506,96.6,0.8,2.6
E02005507,93.9,1.1,5
E02005508,97.8,0.7,1.5
E02005509,93.7,1.1,5.3
E02005510,96.6,0.7,2.7
E02005511,85.2,1.2,13.6
E02005512,92.8,1.3,5.9
E02005513,92.4,1.1,6.5
E02005514,93.7,0.8,5.5
E02005515,96.1,0.7,3.2
E02005520,97.2,0.8,1.9
E02005521,97.1,0.9,2
E02005522,97.5,0.6,1.9
E02005523,97.4,0.5,2.1
E02005524,97.8,0.6,1.6
E02005525,96.2,0.9,2.9
E02005526,95.7,1.2,3.1
E02005527,96.5,1,2.4
E02005528,95.9,1.2,2.9
E02005529,96.5,0.6,2.9
E02005530,93.3,1.1,5.6
E02005531,95.6,1.1,3.4
E02005532,95,1.2,3.8
E02005533,97.4,0.6,2
E02005534,96.1,1.1,2.8
E02005535,93.9,1.5,4.6
E02005536,95.8,1.1,3
E02005537,97.1,0.9,2
E02005538,97.7,0.6,1.7
E02005539,98,0.3,1.7
E02005540,97.7,0.4,1.9
E02005541,91.1,0.7,8.2
E02005542,77.8,1.2,21.1
E02005543,73.6,1.4,25
E02005544,87,1,12.1
E02005545,97.8,0.5,1.7
E02005546,95.4,0.6,4
E02005547,93.5,0.9,5.5
E02005548,92.7,0.8,6.4
E02005549,98.1,0.4,1.5
E02005550,97.4,0.5,2
E02005551,96.6,1,2.5
E02005552,96.6,0.9,2.5
E02005553,98.1,0.7,1.2
E02005554,97.6,0.6,1.8
E02005555,95.8,0.8,3.4
E02005556,94.5,0.6,4.9
E02005557,73.7,1.8,24.4
E02005558,96.9,0.6,2.4
E02005559,84.3,1.6,14.1
E02005560,77.3,2.1,20.6
E02005561,78.1,1.7,20.2
E02005562,97.1,0.5,2.4
E02005563,96.6,0.4,3
E02005564,96.3,0.9,2.8
E02005565,96.9,0.6,2.5
E02005566,96.2,0.6,3.2
E02005567,92.5,1.4,6.1
E02005568,95.5,0.7,3.9
E02005569,85.9,0.8,13.3
E02005570,97.1,0.8,2.1
E02005571,96.2,1,2.8
E02005572,95.8,1,3.2
E02005573,95.5,1.2,3.3
E02005574,97.2,0.9,1.9
E02005575,96.9,1.1,1.9
E02005576,97.6,0.5,1.9
E02005577,96.7,1,2.3
E02005578,97.2,1,1.9
E02005580,95.1,0.8,4
E02005581,96.6,0.8,2.6
E02005582,97.6,0.6,1.8
E02005583,97.5,0.8,1.7
E02005584,85.4,1.7,12.9
E02005585,84.1,2.1,13.8
E02005586,84.6,2.9,12.5
E02005587,91.8,1.5,6.7
E02005588,84.3,2.2,13.5
E02005589,86.8,2,11.1
E02005592,83.7,5,11.3
E02005593,82,3,15
E02005594,81.8,3.6,14.6
E02005595,88.7,3.2,8.1
E02005596,89,1.6,9.4
E02005598,91.1,2.2,6.8
E02005599,93.8,1.7,4.5
E02005600,94.7,2.1,3.2
E02005601,95.6,1.2,3.3
E02005602,95.7,1.1,3.2
E02005603,95.2,1.4,3.4
E02005604,96.3,0.9,2.8
E02005605,96.3,1.4,2.3
E02005606,96.9,1,2.1
E02005607,96.5,1.2,2.3
E02006302,97.4,0.6,2
E02006303,97.9,0.5,1.6
E02006304,98,0.5,1.6
E02006907,75.6,3.3,21.2
E02006908,83.1,2.8,14
E02007032,98,0.5,1.5
E02007033,97.3,0.5,2.1
E02007052,81.8,2.5,15.7
E02007053,79.9,3.7,16.4
E02007054,90.3,2.3,7.4
E02007055,94.3,1.6,4.1
