geography_code,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E02002722,22.3,38,19.3,20.5
E02003742,35.6,28,20.4,16
E02003743,47.2,28.8,9.3,14.8
E02003744,46.2,26.7,13.2,13.9
E02003745,28.5,29.9,22.4,19.2
E02003746,28.8,32.1,20.6,18.4
E02003748,33.5,32.6,16.7,17.1
E02003750,30.5,31.1,20.9,17.5
E02003751,20.7,33.1,27.5,18.7
E02005417,35.3,29.9,17.1,17.7
E02005425,19.3,35.3,24.1,21.3
E02005426,41.1,26.6,16.1,16.1
E02005428,29.5,33.4,17.1,19.9
E02005429,30.2,33.9,16.2,19.7
E02005431,24.8,34.1,20.6,20.5
E02005432,17,33.1,32.2,17.8
E02005433,38.1,22.9,20.1,18.9
E02005435,51.5,21.1,11.1,16.3
E02005436,29.7,35.4,16.7,18.2
E02005437,52.7,18.3,14.6,14.5
E02005438,52.4,20.8,10.3,16.6
E02005440,27.7,35.6,18.8,18
E02005466,24.6,37.1,20.2,18
E02005467,35.1,36.2,12.5,16.2
E02005472,25,40.9,15.8,18.2
E02005474,16.3,40.6,25.5,17.5
E02005503,20.8,31.8,28.8,18.6
E02005504,15.8,36.4,27.4,20.4
E02005505,29.4,34.1,21.1,15.5
E02005506,22.5,33.9,25,18.6
E02005507,30.6,35.6,17.3,16.5
E02005508,17.2,34.8,30.1,17.8
E02005509,22.7,42.1,17.9,17.2
E02005510,21.9,33.7,24.5,19.9
E02005511,30.6,36.6,15.8,17
E02005512,20.9,34.1,27.3,17.7
E02005513,25.7,35.6,22.3,16.4
E02005514,15.9,41.3,22.2,20.6
E02005515,20.4,31.1,31.2,17.3
E02005520,19.9,34.6,29,16.6
E02005521,16.9,33.6,30.3,19.2
E02005522,24.2,28.1,30.2,17.5
E02005523,31.4,21.7,28.9,18
E02005524,40.4,14.3,25.9,19.3
E02005525,39.1,16.9,28.8,15.3
E02005526,42.5,14.4,29.5,13.6
E02005527,29.7,20.5,34.7,15.1
E02005528,43,12.3,29.2,15.5
E02005529,47.8,12.8,22,17.4
E02005530,45.3,11.6,24.9,18.2
E02005531,45,10,28.3,16.7
E02005532,44.2,11,28.7,16.1
E02005533,15.5,32.5,35.8,16.1
E02005534,40.3,12.3,31.3,16.1
E02005535,34.7,14.2,37.5,13.6
E02005536,21.3,28.4,35.7,14.6
E02005537,15.4,38.5,28.3,17.8
E02005538,25.6,30.7,23.3,20.3
E02005539,20.5,33.7,26.3,19.5
E02005540,41,23.3,16.8,18.9
E02005541,47.6,22,13.6,16.8
E02005542,41.7,31.7,11.5,15.1
E02005543,38.1,34.1,10.2,17.6
E02005544,46.6,24.6,10.1,18.6
E02005545,46.6,19.4,16.7,17.3
E02005546,49.7,18.9,12.8,18.7
E02005547,49.7,16.4,18,15.9
E02005548,53.4,17.6,12.4,16.5
E02005549,39.8,19.2,20.4,20.6
E02005550,45.2,17.5,19.3,18
E02005551,26.8,31.4,24.7,17.2
E02005552,13.4,35.3,29.7,21.6
E02005553,23.4,32.5,22.5,21.6
E02005554,18.3,39.8,21.8,20.1
E02005555,43,18.2,25.3,13.5
E02005556,51.2,16.8,15.9,16.1
E02005557,50.8,24.4,8.2,16.6
E02005558,39.5,22.6,19.6,18.3
E02005559,46.5,20.5,15.5,17.4
E02005560,53.6,21.1,11.2,14.1
E02005561,47.6,24.5,12.4,15.5
E02005562,28.4,28.2,24.7,18.6
E02005563,25.2,33.2,22.2,19.4
E02005564,31.2,26.8,26.7,15.3
E02005565,30.5,30.3,23.3,15.9
E02005566,22.5,33.8,23.2,20.4
E02005567,20.1,43.8,20.5,15.6
E02005568,17.4,36.2,26.7,19.7
E02005569,15.1,42.5,22.7,19.7
E02005570,36,21.1,23.8,19.1
E02005571,22.3,29,28.2,20.5
E02005572,35.8,26.8,20.9,16.6
E02005573,26.6,24.9,30,18.4
E02005574,24.4,26,28,21.6
E02005575,23.8,25.3,31.3,19.6
E02005576,23.6,28.6,26.2,21.7
E02005577,20.7,33.3,25.1,20.8
E02005578,24.2,30.9,23.7,21.3
E02005580,34.9,31.6,15.1,18.5
E02005581,21.1,30.9,27,21
E02005582,21.7,34.5,24.4,19.4
E02005583,18.7,34.3,27.5,19.5
E02005584,47.6,13.9,21.5,17.1
E02005585,51.4,12,20.3,16.3
E02005586,43.8,10.8,32.7,12.7
E02005587,49.2,12.5,21.3,16.9
E02005588,55.1,12.2,17.6,15.1
E02005589,50,12.3,21.7,16
E02005592,36.9,9.5,45.6,8.1
E02005593,47.1,16.3,23.4,13.2
E02005594,39.8,10,40.6,9.6
E02005595,38.1,10.5,41,10.4
E02005596,47.7,10.7,25.7,15.9
E02005598,36.4,17,35.6,11.1
E02005599,36.6,17.7,34.6,11.2
E02005600,19.8,31,33.9,15.3
E02005601,30.1,25.5,28.6,15.8
E02005602,23.8,23.6,38.5,14.1
E02005603,26.8,27.8,32.7,12.7
E02005604,16.5,33.3,34.7,15.5
E02005605,25.3,24.2,36.3,14.3
E02005606,18.9,34.6,28.6,17.9
E02005607,16.5,34.4,32.8,16.2
E02006302,34.8,21.2,26.2,17.7
E02006303,44.9,22.7,14,18.4
E02006304,39.4,22.9,19,18.8
E02006907,39.6,11.5,40,8.9
E02006908,40.9,11.5,34,13.6
E02007032,33.3,31.3,17.2,18.2
E02007033,30.6,33.4,18.9,17.2
E02007052,48.7,11.8,27.2,12.3
E02007053,43.5,9.9,37.5,9.1
E02007054,40.4,17.6,29.3,12.7
E02007055,43.5,14.7,23.1,18.6
