geography_code,heating_type_3a-001,heating_type_3a-002
E02002722,1.6,98.4
E02003742,0.9,99.1
E02003743,1.5,98.5
E02003744,1.7,98.3
E02003745,1.1,98.9
E02003746,1,99
E02003748,1.2,98.8
E02003750,0.7,99.3
E02003751,0.9,99.1
E02005417,1.1,98.9
E02005425,0.9,99.1
E02005426,0.8,99.2
E02005428,2.3,97.7
E02005429,1.5,98.5
E02005431,1.4,98.6
E02005432,1.2,98.8
E02005433,2.5,97.5
E02005435,1.2,98.8
E02005436,1,99
E02005437,2.2,97.8
E02005438,1.2,98.8
E02005440,1.6,98.4
E02005466,1.4,98.6
E02005467,1.5,98.5
E02005472,1,99
E02005474,1.1,98.9
E02005503,0.9,99.1
E02005504,1,99
E02005505,0.7,99.3
E02005506,1,99
E02005507,0.9,99.1
E02005508,1.2,98.8
E02005509,0.9,99.1
E02005510,0.9,99.1
E02005511,0.9,99.1
E02005512,1.1,98.9
E02005513,0.8,99.2
E02005514,1.2,98.8
E02005515,1.2,98.8
E02005520,0.7,99.3
E02005521,1.2,98.8
E02005522,1.2,98.8
E02005523,0.6,99.4
E02005524,0.7,99.3
E02005525,0.9,99.1
E02005526,0.6,99.4
E02005527,0.6,99.4
E02005528,1.1,98.9
E02005529,0.8,99.2
E02005530,0.8,99.2
E02005531,0.5,99.5
E02005532,0.8,99.2
E02005533,0.4,99.6
E02005534,1.2,98.8
E02005535,0.9,99.1
E02005536,0.8,99.2
E02005537,1.1,98.9
E02005538,2.2,97.8
E02005539,1.4,98.6
E02005540,1.1,98.9
E02005541,2.2,97.8
E02005542,3.2,96.8
E02005543,3.6,96.4
E02005544,2.7,97.3
E02005545,1,99
E02005546,1.7,98.3
E02005547,1.4,98.6
E02005548,1.7,98.3
E02005549,1.9,98.1
E02005550,0.8,99.2
E02005551,1.5,98.5
E02005552,1.2,98.8
E02005553,1,99
E02005554,0.7,99.3
E02005555,0.5,99.5
E02005556,1.1,98.9
E02005557,2.1,97.9
E02005558,0.9,99.1
E02005559,1.6,98.4
E02005560,1.6,98.4
E02005561,1.8,98.2
E02005562,1.3,98.7
E02005563,0.9,99.1
E02005564,0.9,99.1
E02005565,1.2,98.8
E02005566,1.3,98.7
E02005567,0.9,99.1
E02005568,1.3,98.7
E02005569,0.9,99.1
E02005570,1.3,98.7
E02005571,1.6,98.4
E02005572,2.2,97.8
E02005573,1.1,98.9
E02005574,1.5,98.5
E02005575,2,98
E02005576,2.1,97.9
E02005577,1.3,98.7
E02005578,1.4,98.6
E02005580,1.2,98.8
E02005581,2.2,97.8
E02005582,2.6,97.4
E02005583,1.4,98.6
E02005584,1.7,98.3
E02005585,1.6,98.4
E02005586,2,98
E02005587,1.2,98.8
E02005588,1.2,98.8
E02005589,1.4,98.6
E02005592,2,98
E02005593,1.1,98.9
E02005594,1.8,98.2
E02005595,0.6,99.4
E02005596,1.3,98.7
E02005598,0.9,99.1
E02005599,0.7,99.3
E02005600,1.1,98.9
E02005601,1.8,98.2
E02005602,0.7,99.3
E02005603,0.6,99.4
E02005604,1,99
E02005605,1.3,98.7
E02005606,2.2,97.8
E02005607,1,99
E02006302,1,99
E02006303,1.5,98.5
E02006304,0.8,99.2
E02006907,2.1,97.9
E02006908,1.2,98.8
E02007032,0.9,99.1
E02007033,1.5,98.5
E02007052,1.5,98.5
E02007053,1.9,98.1
E02007054,0.5,99.5
E02007055,1,99
