geography_code,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E00155265,89.3,0,9.4,1.2
E00155266,91.9,1.2,6.6,0.2
E00155267,87.7,3.5,8.8,0
E00155270,91.1,0.7,8.2,0
E00155271,96.6,0.3,3,0
E00155272,95.4,0,3.9,0.7
E00155273,90.9,0.3,8.8,0
E00155274,89.2,3,7.8,0
E00155275,88.9,0.7,10.1,0.3
E00155276,90.4,0.9,7.2,1.5
E00155277,86.4,2.5,10.8,0.3
E00155278,88.2,1,10.5,0.3
E00155279,92.2,0.8,5.9,1.1
E00155280,85.8,0.9,12.1,1.2
E00155281,95.5,0.3,4.1,0
E00155282,91,0,9,0
E00155283,89,1.1,9.4,0.6
E00155284,85.1,1.4,12.9,0.7
E00155285,93.1,0.3,6.6,0
E00155286,94.2,0,5.8,0
E00155287,91.1,0.9,6.6,1.4
E00155288,91.6,0,7.8,0.7
E00155289,90.1,0.3,9.1,0.5
E00155290,88.5,0.4,10.4,0.7
E00155291,96.6,0.3,2.8,0.3
E00155292,87.8,0.3,10.9,1.1
E00155293,92,1,6.7,0.3
E00155294,91.4,0,7.8,0.8
E00155295,84.8,1.1,9.6,4.4
E00155296,90.9,0,9.1,0
E00155297,90,1.3,8.8,0
E00155298,88.9,0,11.1,0
E00155299,90.7,0.6,8.6,0
E00155300,90,0.4,8.2,1.5
E00155301,94.2,0,5.5,0.3
E00155302,95.4,0.3,2.3,2
E00155365,86.7,0.3,12.9,0
E00155383,94.8,0,5.2,0
E00155442,87,1.4,11.6,0
E00155443,97.7,0,2.3,0
E00155444,91.5,0.4,8.1,0
E00155445,91.6,0.3,7,1
E00155447,89.4,0.8,9.3,0.5
E00155449,91.9,1,5.2,1.9
E00155516,89.2,0,9.8,1
E00155517,90.7,0.9,8.4,0
E00155518,95.1,0.3,4.2,0.3
E00155519,88.5,0,11.5,0
E00155520,92.1,0.5,5.5,1.8
E00155522,89.3,0.3,10.4,0
E00155523,86.7,0,10.9,2.3
E00155524,88,0.3,10.1,1.5
E00155525,82.1,0.7,14.6,2.6
E00155526,84.1,1.2,14.3,0.3
E00155527,89.4,0,8.7,1.9
E00155528,90.6,2,7.4,0
E00155529,91.7,1.4,6.8,0
E00155530,96.7,0.7,2.6,0
E00155531,85.6,1,13.1,0.3
E00155532,92.9,0,6.4,0.7
E00155533,89.5,0.4,9.2,0.9
E00155534,88.7,0.8,9.5,1.1
E00155640,90,0.7,8.9,0.4
E00155641,90.6,0.3,7.9,1.3
E00155643,92.7,1.2,6.2,0
E00155644,91.2,0.9,7.3,0.6
E00155645,88.6,0,11.4,0
E00155646,95.5,0.6,3.3,0.6
E00155647,91.9,0,8.1,0
E00155648,87.3,0.6,12.2,0
E00155649,93.5,0,6.5,0
E00155650,94.6,0,5.4,0
E00155651,81.2,1,17.5,0.3
E00155652,94.1,1,4.9,0
E00155653,94.2,0.4,5.4,0
E00155654,90.5,0.3,8.5,0.6
E00155655,82.5,0.4,16,1.1
E00155656,79.6,0.8,19.3,0.3
E00155657,88.6,0.3,10.8,0.3
E00155659,92.8,0.3,6.7,0.3
E00155660,91.7,0.3,7.3,0.8
E00155661,91.1,0,8.3,0.6
E00155662,90.2,0,9.3,0.5
E00155663,86.3,1.9,10.3,1.5
E00155664,95.4,0,4.6,0
E00155665,85.7,0,13.5,0.9
E00155666,88.4,0.2,11.4,0
E00155667,87.7,0.4,11.9,0
E00155668,95.3,1.2,3.6,0
E00155669,87.8,1.1,10.8,0.4
E00155670,93.8,0,5.4,0.8
E00155671,96.6,0,3.4,0
E00155672,95.3,0.9,3.5,0.3
E00155673,91.6,1.4,7,0
E00155674,92.3,0,7.1,0.6
E00155675,92.9,0,7.1,0
E00155676,92.2,0,7.2,0.6
E00155759,94.4,0.3,3.7,1.6
E00155767,94.9,0,5.1,0
E00155772,91.7,0.8,7,0.5
E00155839,97.2,0,2.8,0
E00155840,83.5,1.5,13.8,1.2
E00155841,95.7,0,3.8,0.4
E00155842,90.3,0.5,9.3,0
E00155843,89.7,0,9.9,0.4
E00155844,86.8,0.4,12.8,0
E00155857,90.3,0,9.7,0
E00155858,95,0,4.3,0.6
E00155859,90.7,0,9.3,0
E00155860,96.1,0.6,3,0.3
E00155861,91.6,0.7,7.1,0.7
E00155862,91.6,0,7.3,1.1
E00155863,91.4,0.3,7.4,0.9
E00157372,89.2,0.5,10.3,0
E00157734,88.5,0,11.2,0.4
