geography_code,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E00158396,0,0,1.5,95,3.5
E00158397,4,1.2,1.2,93.6,0
E00158398,2.3,0,0,96.1,1.5
E00158399,6.3,0,1.2,92.2,0.4
E00158424,2.8,1.5,1.5,92.8,1.3
E00158425,4.9,0.2,1.8,92.9,0.2
E00158426,10.9,2.7,1.2,80.2,5.1
E00158431,11.7,3.1,0.9,81.3,3.1
E00158435,7,2.6,4.3,86.1,0
E00158436,9.2,2.7,1.4,82.3,4.3
E00158438,0.9,5.1,2.6,89.3,2.1
E00158439,6.3,0,2.3,91.4,0
E00158440,11.1,1.3,2.6,83.3,1.6
E00158441,25,0,1.4,64.5,9.1
E00158476,5.4,0.6,0.9,91.4,1.7
E00158480,3.4,0.7,1,94.9,0
E00158486,2.4,1.6,0,94.9,1.2
E00158513,14.9,0.9,2.2,80.4,1.6
E00158514,42.2,4.2,1,44.7,7.9
E00158515,41.5,1.7,2.9,38.9,15
E00158516,15.8,4.5,3.6,74.4,1.7
E00158517,31.2,0.9,2.6,54.1,11.3
E00158518,12.7,2,3.6,78.6,3.2
E00158521,1,6.6,3.7,88.8,0
E00158522,19.7,6,3.9,68.9,1.6
E00158523,0.8,1.2,2.9,92.6,2.5
E00158524,4.3,0.4,0,93.7,1.6
E00158525,5.8,1.2,2.2,90.3,0.5
E00158526,5.2,1.6,3.6,89.6,0
E00158527,4.7,0,1.8,92.5,1.1
E00158528,2.1,0.5,1.9,95.4,0
E00158529,3.4,0,0.7,96,0
E00158530,3.2,1.9,3.5,91.4,0
E00158531,2,2.9,1.2,93.5,0.4
E00158532,1.9,3.2,1.7,92.2,1
E00158533,24.3,4.3,1.1,62.3,8
E00158534,36.3,7.2,0.9,45.5,10.1
E00158560,5.4,0,2.7,91.9,0
E00158561,3.9,0.6,1.2,94.3,0
E00158574,0,0.9,0.6,98.3,0.3
E00158575,6,0,0,94,0
E00158576,1.3,0.3,0.9,97.5,0
E00158577,3.6,2.6,2,91.8,0
E00158578,0,3.8,3.4,92.8,0
E00158579,1.5,2.2,0,96.3,0
E00158817,6,1,3.3,85.3,4.3
E00158826,2.1,0.4,2.6,94.9,0
E00158827,3.4,1.3,7.7,87.2,0.3
E00158828,4.2,0,2.8,92.7,0.3
E00165741,11.6,9.8,4.2,73.3,1
E00165742,8.5,15.5,4,70.1,1.8
E00168292,15.2,4.8,6.5,71.5,2
E00168293,10.1,7.7,1.9,78.7,1.4
E00168302,14.8,0,0,81.5,3.7
E00185042,0.6,28.8,7.6,61.1,1.9
E00185044,6.8,15.8,4.5,73,0
E00185051,25.2,24.3,4.9,38.9,6.6
E00185055,8.4,26.1,2.9,59.7,2.8
E00185056,18.3,17.4,4.6,56.9,2.8
E00185072,2.2,0,1.8,96,0
E00185085,17.4,11.9,4.2,62.3,4.2
E00185088,21.9,21.3,3.4,48.5,5
E00185100,8.9,7.8,6.5,76.8,0
E00185105,28.7,5.7,2.5,57.4,5.7
E00185110,8.1,9.1,4.3,76.3,2.2
E00185111,1.6,27.5,7.8,60.9,2.3
E00185129,26,16.1,6.8,39.8,11.3
