geography_code,highest_qualification_6a-000,highest_qualification_6a-001,highest_qualification_6a-002,highest_qualification_6a-003,highest_qualification_6a-004
E00087735,17.7,40.9,4.5,35,1.8
E00087736,6.6,40.1,6.2,45.1,1.9
E00087737,6.5,42.4,3.9,45.6,1.6
E00087738,8.8,36.8,3.1,48.1,3.1
E00087739,12,38.7,4.7,42.4,2.1
E00087740,20.8,46.4,6.9,23.5,2.4
E00087741,14.3,41.2,9.2,34.2,1.1
E00087742,12.5,42.9,5.1,37.7,1.8
E00087745,18.3,38.9,7.5,32.1,3.2
E00087746,10.3,38.9,4.6,42.4,3.8
E00087748,8.9,33.1,3.8,52.8,1.4
E00087749,8.3,40,4.5,46.9,0.3
E00087750,10.5,43.4,3.7,42.4,0
E00087751,20.6,34.8,4.5,40.1,0
E00087752,16.7,37.5,6.4,37.5,1.9
E00087753,8.8,35.7,5.7,48.8,1
E00087754,5.5,43.3,5.1,44.4,1.8
E00087755,15.2,45.9,7.8,29,2.2
E00087756,12.9,37.6,5.9,37.6,5.9
E00087757,12.8,46.2,1.7,37.6,1.7
E00087865,14.4,40.2,4.1,39.5,1.8
E00087866,6.9,40.2,4.4,46.3,2.2
E00087867,13.1,40.2,6.4,37.8,2.4
E00087868,10.1,44.1,7.2,35.1,3.5
E00087869,16.5,36.8,7.7,36.4,2.6
E00087870,8.4,44.8,6.9,38.2,1.7
E00087871,11.6,43.6,7.1,34.7,3.1
E00087872,14.6,44.7,5.8,32,2.9
E00087873,12.1,44.2,5.9,34.3,3.5
E00087874,22.8,45.6,5.3,23.9,2.5
E00087875,22.6,36.5,6.3,32.2,2.4
E00087876,14.8,40.3,6,36.9,2
E00087877,23.6,48.7,4.8,21.8,1.1
E00087878,28.3,48.9,6.8,14.3,1.7
E00087879,31.2,34.4,8.4,21.2,4.8
E00087880,10.4,40.3,10.4,36.3,2.5
E00087881,12.1,42.9,6.3,35.6,3
E00087882,21.4,35.3,13,26.5,3.8
E00087883,16,46.9,9.9,24.4,2.7
E00087884,6.8,47,3.4,41.6,1.4
E00087885,11,44.1,8.1,35.3,1.5
E00087886,7,41.1,3.9,44.9,3.2
E00087887,14.3,56.6,5.1,20.4,3.6
E00087888,13.4,43.3,4.7,36.7,1.9
E00087889,14.8,42.6,7,33.2,2.5
E00087890,9.7,37.1,6.9,42.9,3.5
E00087891,16,47.9,8.5,24.5,3.2
E00087892,11.1,43.2,6.2,37.4,2.1
E00087893,14.5,42.3,5.3,32.2,5.7
E00087894,12.2,42,7.6,36.6,1.7
E00087895,13.1,41.3,6.2,37.5,1.9
E00087896,14.3,52.3,6.2,24.4,2.7
E00087897,10.4,41.5,7.5,38.6,2.1
E00087898,10.1,41.6,5.6,39.7,3
E00087899,15.1,41.6,3.7,37.1,2.4
E00087900,10.2,52.5,5.1,29.4,2.7
E00087901,14.8,44.5,8.3,28.4,3.9
E00087902,11.4,43.3,9,32.9,3.5
E00087903,23.6,39.4,4.2,27.9,4.8
E00087904,13.2,49.3,6.1,30.4,1.1
E00087905,11,43.2,4.6,40,1.1
E00087906,11.4,43.2,4.4,38,3.1
E00087908,13.1,38.8,5.6,40.9,1.6
E00087909,11.7,43.4,5.3,37.7,1.9
E00087910,12.2,43.9,9.2,31.1,3.6
E00087911,14.8,48.1,5.8,28.4,2.9
E00087913,13.8,38.2,6.3,39.8,1.9
E00087914,11.2,39.9,5,41.7,2.2
E00087915,14.1,38.7,5.3,38.4,3.5
E00087916,24.7,39.3,8.7,24.2,3.2
E00087917,12.2,36.9,3.7,44.7,2.4
E00087918,19.8,34.2,7.4,38.1,0.4
E00087919,6.9,41.5,8.5,40.7,2.4
E00087966,8.9,37.1,4.8,49.1,0
E00087967,13.4,38.2,6.1,39.5,2.8
E00087968,8.7,49.3,7.3,33.2,1.4
E00087969,23.4,40.7,6.5,27,2.4
E00087970,7.8,40.9,7.1,42.2,2
E00087971,13.3,36.4,7,40.9,2.4
E00087972,15.2,35.2,5.6,42.4,1.6
E00087973,20.1,49.2,5.5,23.6,1.6
E00087974,13.1,32.5,4.9,46.4,3
E00087975,22.3,39.3,6.5,30,2
E00087976,12,43.4,6.8,35.7,2
E00087977,9.9,35.8,5.4,46.3,2.6
E00087978,12.1,39,7.9,39.3,1.6
E00087979,10.4,44.8,6.2,37,1.6
E00087980,22.8,35.8,8.2,31.5,1.7
E00088055,10.2,38.6,6.3,41.3,3.5
E00088056,13.2,41,4.9,39,2
E00088057,18,38,5.9,34.9,3.1
E00088078,14.8,39.6,7.8,35.9,1.8
E00088079,9.6,37.7,3.8,46.4,2.5
E00088080,13.1,37.8,6.3,42.3,0.5
E00088081,15.8,40.5,5.8,35.9,1.9
E00088082,11.4,39.6,7.7,39.6,1.8
E00088083,20.1,48.6,5.3,25.1,0.9
E00088090,22.7,32.6,5.5,35.2,4.1
E00088091,5.4,33.2,6.4,53.9,1
E00088092,8.9,40.2,6.9,39.8,4.2
E00088118,19.1,40.3,5.2,33.6,1.8
E00088119,12.7,48.3,7.3,29,2.7
E00088120,21.6,46.5,6.3,23.8,1.9
E00088121,10.4,42.4,5.9,39,2.2
E00088122,11.9,53.5,5.8,23.5,5.4
E00088123,11.4,50.4,8.7,27.6,2
E00088628,7.8,54.1,4.6,32.5,1.1
E00088629,13.2,47.3,6.6,30.6,2.2
E00088630,18.3,38,6.8,35.3,1.7
E00088631,13.1,47.9,9.7,24.3,4.9
E00088632,13.5,44,7.1,32.5,2.8
E00088633,18.2,34.5,6.4,35.9,5
E00088634,11.9,43.3,9.6,35.2,0
E00088635,12.5,41.6,8.5,34.5,2.8
E00088636,15.9,46.2,7.3,28.6,2
E00088637,13.6,39.2,5.9,38.6,2.7
E00088638,13.6,40.3,6.6,37.2,2.3
E00088639,23.4,40.9,7.3,27.3,1
E00088640,15.7,42.2,10,26.9,5.2
E00088641,20.1,44.4,8.6,24,2.9
E00088642,16.7,41.1,6.9,32.9,2.4
E00088919,13.2,38.4,8.7,36.4,3.3
E00088920,17.2,41.2,8,32.1,1.5
E00119977,16.8,40.6,2,38.6,2
E00171386,6.9,58.5,3.6,30.9,0
E00171387,11.7,43.2,5.1,37.4,2.7
E00177048,4.5,51.6,3.2,38.9,1.8
E00177049,3.5,39.5,3.9,52.3,0.8
E00177066,3.8,48.8,6.1,39.4,1.9
E00177072,6,39.2,3.8,47.5,3.4
E00177088,6.7,48.3,5.2,39.3,0.4
E00177092,5.3,39.7,2.6,49.2,3.2
E00177095,4.5,51.8,5.5,34.5,3.6
E00177134,1.3,49.7,3.4,45.4,0.2
E00177135,13.2,42,7.8,34.2,2.7
E00177152,10.7,40.9,4.2,43.9,0.2
E00177161,12.4,54.3,3.9,27.9,1.6
E00177164,8.5,37.8,5.2,46.9,1.6
E00177165,8.5,38.9,6,44.9,1.7
E00177167,11.4,44.3,6.3,37.3,0.6
E00177173,8.7,46.7,4.1,38,2.4
E00177200,9.2,47.5,5.5,35.5,2.3
E00177202,4.6,43.1,1.5,50.3,0.5
E00177204,6.6,38.6,2.7,49.8,2.3
E00177213,7.4,49.5,1.1,41.1,1.1
E00177216,7.5,42.3,6,41.7,2.4
