geography_code,workplace_travel_4a-001,workplace_travel_4a-002,workplace_travel_4a-003,workplace_travel_4a-004
E02003491,33.1,9.9,37.5,19.5
E02003492,41.4,15.7,22.9,20
E02003493,28.9,11.4,45.6,14.1
E02003494,29.1,10.4,47.4,13.2
E02003495,39.3,11.9,29.3,19.5
E02003496,37.9,10.8,33.1,18.2
E02003497,29.2,10.3,49.3,11.2
E02003498,41.8,9.4,29.8,18.9
E02003499,43.4,11,23.9,21.8
E02003500,28.7,9.6,52.2,9.5
E02003501,27.1,11,52.8,9
E02003502,38.3,11.7,32.5,17.5
E02003503,35.7,9.6,37.7,17.1
E02003504,29.4,9.2,52.8,8.6
E02003505,35,10.2,43.4,11.4
E02003506,28.4,10.5,50.7,10.4
E02003507,36.3,11.9,32.2,19.6
E02003508,34.8,10.5,42.3,12.3
E02003509,31.3,10.4,47.8,10.5
E02003510,29.8,9.8,51.2,9.2
E02003511,33,10.8,41.7,14.4
E02003512,32.9,10.3,46.6,10.3
E02003513,31.2,8.9,48.5,11.4
E02003514,30.9,8.5,51.9,8.7
E02003515,47.6,10.1,21.9,20.3
E02003516,30.5,9.6,49.9,10
E02003517,36.4,8.1,47.1,8.3
E02003518,29.9,10.5,48.2,11.5
E02003519,34.7,8.5,46.4,10.3
E02003520,40.1,9.1,38.4,12.5
E02003521,38.6,10.2,41.8,9.4
E02003522,34.4,11.6,41.3,12.7
E02003523,29,13,42,15.9
E02004380,18.7,20.1,48.3,12.9
E02004383,21.1,17.5,51.4,10
E02004384,31.6,15.5,33.9,19
E02004385,32.4,21.1,26.2,20.2
E02006373,14.3,22.5,46.2,17.1
E02006374,18.4,19.8,42.1,19.7
E02006391,27.7,16.6,42.7,13.1
E02006392,34.5,15.6,33.9,16
E02006437,16.9,23.5,43.3,16.3
E02006438,23.8,19.5,39.3,17.4
E02006448,24.1,13.9,52.1,9.9
E02006449,25,17.2,44,13.8
E02006450,19.5,16.8,51.1,12.6
E02006451,22.9,23,38.5,15.6
E02006453,16,21.3,47.2,15.5
E02006534,38.3,11.6,29.6,20.5
E02006535,32.3,12.1,39.7,16
E02006536,33.9,17.6,29.4,19
E02006537,40.7,12,28.3,19
E02006538,30,13.3,42.2,14.5
E02006539,36.5,17.8,25.1,20.6
E02006540,38.1,16.9,25,20
E02006541,36.2,18.2,25.9,19.6
E02006542,22.3,24.1,38.9,14.7
E02006543,29.6,21,31.9,17.5
E02006544,31.3,20.1,32.5,16.1
E02006545,37.5,24.1,20.6,17.8
E02006546,34.8,19.3,31.2,14.7
E02006547,30.2,25.5,26.3,18
E02006548,35.4,23.8,23.8,17
E02006549,28.3,18.5,39.5,13.7
E02006550,37.4,21.9,22,18.7
E02006551,29.5,21.3,34.2,14.9
E02006552,40,23,19.8,17.2
E02006553,47.9,15.4,18.4,18.4
E02006554,33.8,22,25.9,18.3
E02006555,52.4,14.6,13.9,19.1
E02006556,33.8,21.6,26.5,18.1
E02006557,53.2,14,13.9,18.9
E02006558,52.6,16.3,14.4,16.7
E02006562,11.3,24.7,47.7,16.3
E02006565,17.4,26,37.7,18.9
E02006575,42.9,17.2,20.8,19.1
E02006576,30.7,18,37.9,13.5
E02006577,39.2,18,25.6,17.3
E02006578,42.6,17.3,25.2,14.9
E02006579,35.8,17.4,32.1,14.6
E02006580,39.7,17.2,25.5,17.6
E02006581,40.4,18,25.4,16.2
E02006582,27.3,18.7,42.6,11.3
E02006583,35.3,19.2,30.6,14.9
E02006584,45,17.3,21,16.7
E02006585,41.1,17.9,22.8,18.2
E02006586,48,17.8,16.3,17.9
E02006587,43.8,18.3,20.3,17.6
E02006588,25.7,21.1,39,14.3
E02006589,25.3,20.3,43,11.4
E02006590,24.4,22,39.5,14.1
E02006591,26.2,20.3,42.5,11
E02006592,20,20.3,45,14.8
E02006593,26.3,21.6,40.6,11.5
E02006594,23.8,23.5,38.9,13.8
E02006595,21,18.8,48.7,11.5
E02006596,24.5,23.4,37.4,14.7
E02006597,18.6,26.3,39.5,15.6
E02006598,13.9,28.9,40.4,16.8
E02006599,11.1,26.4,49.6,12.9
E02006600,18.1,30,34.4,17.6
E02006601,18.9,26.9,37.3,17
E02006602,15.2,29.5,40.2,15.1
E02006603,20.6,21.6,42.6,15.3
E02006604,29.1,22.3,32.8,15.7
E02006605,29.1,19,37.2,14.7
E02006607,22.9,22.2,41.7,13.2
E02006608,25.5,18,41,15.6
E02006609,19.2,20.1,46.7,13.9
E02006610,18.2,21.5,46,14.3
E02006611,22.6,18.7,49.5,9.1
E02006612,25.5,19.5,45.2,9.7
E02006613,34.9,18.4,33.8,12.9
E02006614,23.9,20,45.3,10.8
E02006615,30.4,20.5,34.9,14.2
E02006616,28.3,19.7,37.4,14.5
E02006617,34,18.4,32.7,14.9
E02006618,27.2,19.3,41.5,12
E02006619,22,19.9,44.1,14
E02006620,22,20.2,46.9,10.9
E02006621,31.1,16.7,35,17.3
E02006622,35,15,33.3,16.7
E02006623,40.6,16.8,23.7,19
E02006624,32.5,15.2,38.4,13.8
E02006625,37.6,16.5,30,15.8
E02006626,39.6,17.1,26.7,16.6
E02006627,36.8,16.1,31.5,15.6
E02006628,39.5,14.8,31.1,14.6
E02006629,40.8,16.3,27.7,15.2
E02006630,38.4,16.4,31.6,13.6
E02006631,42.2,15.9,27.6,14.3
E02006632,34.4,15.6,37.7,12.4
E02006633,35.8,13.3,36.4,14.5
