geography_code,in_full_time_education-001,in_full_time_education-002
E02003491,21.1,78.9
E02003492,61.7,38.3
E02003493,19.8,80.2
E02003494,22.8,77.2
E02003495,19.4,80.6
E02003496,21.4,78.6
E02003497,22,78
E02003498,34,66
E02003499,32.8,67.2
E02003500,28.3,71.7
E02003501,20.2,79.8
E02003502,20,80
E02003503,22.2,77.8
E02003504,22.3,77.7
E02003505,36.7,63.3
E02003506,21,79
E02003507,18.6,81.4
E02003508,36.9,63.1
E02003509,14,86
E02003510,17,83
E02003511,21.3,78.7
E02003512,34.5,65.5
E02003513,19.8,80.2
E02003514,16.1,83.9
E02003515,22.7,77.3
E02003516,13.5,86.5
E02003517,26.3,73.7
E02003518,12.6,87.4
E02003519,13.7,86.3
E02003520,22.8,77.2
E02003521,18.4,81.6
E02003522,18.9,81.1
E02003523,14.7,85.3
E02004380,17.9,82.1
E02004383,20.1,79.9
E02004384,16.6,83.4
E02004385,15.4,84.6
E02006373,17.6,82.4
E02006374,14.9,85.1
E02006391,20,80
E02006392,15.6,84.4
E02006437,18.3,81.7
E02006438,16.8,83.2
E02006448,20.3,79.7
E02006449,18.4,81.6
E02006450,20.6,79.4
E02006451,20.4,79.6
E02006453,19.9,80.1
E02006534,19.1,80.9
E02006535,19.2,80.8
E02006536,20.8,79.2
E02006537,20.2,79.8
E02006538,16.3,83.7
E02006539,16.7,83.3
E02006540,14.7,85.3
E02006541,14.4,85.6
E02006542,14.4,85.6
E02006543,14.3,85.7
E02006544,16.8,83.2
E02006545,22.2,77.8
E02006546,17.4,82.6
E02006547,16.5,83.5
E02006548,17.1,82.9
E02006549,9.9,90.1
E02006550,14.3,85.7
E02006551,7.5,92.5
E02006552,13.7,86.3
E02006553,17.5,82.5
E02006554,13.2,86.8
E02006555,19.3,80.7
E02006556,17.4,82.6
E02006557,19.4,80.6
E02006558,15.2,84.8
E02006562,17.4,82.6
E02006565,17.6,82.4
E02006575,23.3,76.7
E02006576,20.1,79.9
E02006577,21.2,78.8
E02006578,19.3,80.7
E02006579,19.2,80.8
E02006580,19.1,80.9
E02006581,18.5,81.5
E02006582,21,79
E02006583,18.3,81.7
E02006584,21.7,78.3
E02006585,22.5,77.5
E02006586,24.2,75.8
E02006587,20.5,79.5
E02006588,16.6,83.4
E02006589,17.6,82.4
E02006590,17.7,82.3
E02006591,16.9,83.1
E02006592,18.8,81.2
E02006593,16,84
E02006594,19.9,80.1
E02006595,23.8,76.2
E02006596,19.7,80.3
E02006597,18.7,81.3
E02006598,15.9,84.1
E02006599,12.5,87.5
E02006600,14,86
E02006601,17.5,82.5
E02006602,18.4,81.6
E02006603,15.6,84.4
E02006604,17.1,82.9
E02006605,19.2,80.8
E02006607,17.5,82.5
E02006608,17.1,82.9
E02006609,19.6,80.4
E02006610,18.7,81.3
E02006611,20.6,79.4
E02006612,16.5,83.5
E02006613,19.5,80.5
E02006614,20.6,79.4
E02006615,19.5,80.5
E02006616,16.9,83.1
E02006617,16.4,83.6
E02006618,17.7,82.3
E02006619,23.7,76.3
E02006620,19.3,80.7
E02006621,12.6,87.4
E02006622,17.1,82.9
E02006623,19.3,80.7
E02006624,20.4,79.6
E02006625,20.3,79.7
E02006626,23.1,76.9
E02006627,17.2,82.8
E02006628,20.1,79.9
E02006629,19,81
E02006630,11.2,88.8
E02006631,12.8,87.2
E02006632,14.3,85.7
E02006633,14.8,85.2
