geography_code,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E02003491,83.7,11.5,4.8
E02003492,82.9,12.2,4.8
E02003493,84.7,11.4,3.9
E02003494,85.8,10.5,3.7
E02003495,82.8,12.1,5.1
E02003496,79.9,13.7,6.4
E02003497,87.7,9.1,3.2
E02003498,77.6,14.3,8.1
E02003499,77.2,15.2,7.6
E02003500,90.2,7.4,2.4
E02003501,88,9.1,2.9
E02003502,81,13.2,5.8
E02003503,82.1,12.2,5.7
E02003504,86.9,9.3,3.8
E02003505,86.2,10,3.8
E02003506,87.9,8.3,3.8
E02003507,79.8,13.7,6.5
E02003508,87.4,9.6,3
E02003509,83.9,10.9,5.2
E02003510,85.1,10.2,4.7
E02003511,85.5,10.2,4.3
E02003512,86.2,10,3.7
E02003513,81.7,12.5,5.9
E02003514,85.9,10.2,3.9
E02003515,72.3,17.6,10.1
E02003516,85.5,10.6,4
E02003517,84.5,10.5,5
E02003518,81.6,13.3,5
E02003519,85.4,10.3,4.3
E02003520,79,13.6,7.4
E02003521,79.1,13.3,7.6
E02003522,81.9,12.3,5.8
E02003523,82.4,13.2,4.4
E02004380,83.7,12.4,4
E02004383,83.7,11.8,4.5
E02004384,80.4,14.1,5.5
E02004385,78.1,15.5,6.4
E02006373,86.5,9.6,3.9
E02006374,84.8,11.3,3.9
E02006391,89.5,8,2.5
E02006392,83.3,12,4.6
E02006437,83.2,12.5,4.3
E02006438,84.6,11.3,4.1
E02006448,88.1,9.1,2.8
E02006449,85.1,11.1,3.8
E02006450,89.3,8.4,2.3
E02006451,86.3,10.5,3.1
E02006453,85.4,11.2,3.4
E02006534,81.4,13.2,5.4
E02006535,84.6,11.2,4.2
E02006536,81.7,13.6,4.7
E02006537,78.7,14.6,6.7
E02006538,83.1,12.5,4.4
E02006539,77.2,16.1,6.8
E02006540,76.4,16.8,6.8
E02006541,78.3,15.9,5.9
E02006542,83.1,12.2,4.7
E02006543,81.5,13.1,5.3
E02006544,83.1,12.5,4.5
E02006545,82.1,12.8,5.1
E02006546,80.9,13.6,5.5
E02006547,80.8,14,5.2
E02006548,80.7,14.3,4.9
E02006549,78.6,16.6,4.8
E02006550,77,16.7,6.3
E02006551,75,18.7,6.3
E02006552,75.9,17.5,6.6
E02006553,82.2,13.2,4.6
E02006554,79.5,15,5.5
E02006555,78.4,15.3,6.3
E02006556,82.3,13.3,4.4
E02006557,79.9,14.4,5.7
E02006558,76.8,16.5,6.7
E02006562,87.2,10.2,2.6
E02006565,84.4,11.9,3.7
E02006575,82.9,12.4,4.7
E02006576,88.2,8.9,2.8
E02006577,81.8,12.7,5.5
E02006578,85.2,10.5,4.4
E02006579,83.8,12.5,3.7
E02006580,82.3,12.9,4.7
E02006581,84,11.4,4.5
E02006582,89.7,8.2,2.1
E02006583,83.1,12.7,4.3
E02006584,81.3,12.7,6
E02006585,83,12.5,4.5
E02006586,84.8,11.5,3.7
E02006587,81.5,12.8,5.6
E02006588,86.7,10.3,3
E02006589,87.2,10,2.8
E02006590,84.6,11.5,3.9
E02006591,84.6,11.5,3.9
E02006592,86.5,10,3.5
E02006593,82.6,12.8,4.6
E02006594,87.5,9.4,3.1
E02006595,88.1,9.4,2.6
E02006596,87.5,9.5,3
E02006597,86.5,10.4,3.1
E02006598,84.3,11.8,4
E02006599,85.1,11.6,3.3
E02006600,81.2,13.7,5.1
E02006601,82.6,12.8,4.6
E02006602,87.3,10,2.7
E02006603,83.7,12.7,3.6
E02006604,84.3,11.8,3.9
E02006605,86.6,10.2,3.3
E02006607,86.5,10.4,3.1
E02006608,86,10.7,3.2
E02006609,86.7,10.2,3.1
E02006610,85.8,10.2,4
E02006611,87.4,9.4,3.2
E02006612,85.5,11.1,3.4
E02006613,83.8,12.1,4.1
E02006614,88.2,8.9,2.9
E02006615,87.5,8.9,3.7
E02006616,85.9,10.5,3.6
E02006617,81.9,13.3,4.8
E02006618,86,10.7,3.4
E02006619,86.7,9.9,3.4
E02006620,85.7,10.6,3.7
E02006621,80.3,15,4.8
E02006622,80.1,14.3,5.6
E02006623,78.6,15.5,5.9
E02006624,87.1,10,2.9
E02006625,84.5,12,3.5
E02006626,82.7,12,5.3
E02006627,81.9,13.3,4.8
E02006628,82.3,12.5,5.2
E02006629,78.8,15,6.2
E02006630,75.1,17.1,7.8
E02006631,79.7,14.9,5.4
E02006632,81.2,13.9,4.9
E02006633,80.1,14.5,5.5
