geography_code,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E02003491,92.3,2.3,5.4
E02003492,82.5,3.7,13.8
E02003493,89.7,2.3,8
E02003494,88.8,3.4,7.8
E02003495,93.9,1.8,4.3
E02003496,89.9,1.9,8.1
E02003497,88.1,2.8,9.1
E02003498,85.7,2.9,11.5
E02003499,89.1,2.3,8.7
E02003500,86,4.1,9.9
E02003501,82.5,4.8,12.7
E02003502,90.7,2,7.3
E02003503,90.6,2.1,7.3
E02003504,81.4,5.1,13.5
E02003505,79.8,4.6,15.6
E02003506,85.4,4,10.6
E02003507,92,2,6
E02003508,83,4.6,12.4
E02003509,78.6,4.5,16.9
E02003510,77,5.2,17.8
E02003511,86.2,3.4,10.4
E02003512,81,5.3,13.7
E02003513,84.7,3.5,11.7
E02003514,74.5,5.6,19.9
E02003515,89.6,2.1,8.3
E02003516,74.5,5,20.5
E02003517,70.8,5.1,24.1
E02003518,81.1,3.7,15.2
E02003519,73.7,5,21.3
E02003520,75.8,4.6,19.6
E02003521,80,4.2,15.8
E02003522,76,4.4,19.5
E02003523,90.1,2.5,7.4
E02004380,93.6,2.1,4.3
E02004383,88.2,4.2,7.6
E02004384,92.3,2,5.7
E02004385,93,1.5,5.6
E02006373,94.1,1.6,4.3
E02006374,94.7,1.3,4
E02006391,91.2,2.1,6.7
E02006392,85.5,2.1,12.4
E02006437,94.5,1.2,4.3
E02006438,94.9,1.2,3.9
E02006448,90.3,3.2,6.5
E02006449,93.7,2,4.3
E02006450,91.3,2.4,6.4
E02006451,92.7,2.1,5.2
E02006453,93.4,1.8,4.8
E02006534,94.5,1.4,4.1
E02006535,94.7,1.8,3.5
E02006536,94.7,1.5,3.8
E02006537,93.1,1.3,5.6
E02006538,91.8,2.4,5.9
E02006539,95.9,0.9,3.2
E02006540,95.2,1.3,3.5
E02006541,93.6,1.4,5
E02006542,93.9,1.5,4.5
E02006543,96.6,1,2.4
E02006544,95.1,1.2,3.7
E02006545,91.6,1.5,6.9
E02006546,95.6,1,3.4
E02006547,94.9,1.2,3.9
E02006548,95.6,1,3.4
E02006549,96,1,2.9
E02006550,95.1,0.9,4
E02006551,95.8,0.9,3.3
E02006552,85.8,2.1,12.1
E02006553,90.1,1.4,8.5
E02006554,96,0.7,3.4
E02006555,84.5,1.8,13.6
E02006556,95.2,0.8,4
E02006557,85.2,1.6,13.2
E02006558,76.6,2.5,20.9
E02006562,95.5,1.5,3.1
E02006565,94.7,1.3,4
E02006575,77.4,3,19.7
E02006576,87.7,2.4,9.9
E02006577,83.7,2.3,14
E02006578,69.7,3.6,26.8
E02006579,82.5,2.6,14.9
E02006580,88.2,1.9,9.9
E02006581,78,3,19
E02006582,90.5,2.3,7.2
E02006583,86.4,2.9,10.7
E02006584,84.6,2.2,13.2
E02006585,85.7,1.9,12.4
E02006586,78.5,2.6,18.9
E02006587,83.6,2.3,14.1
E02006588,89.3,2.2,8.5
E02006589,93.6,1.7,4.7
E02006590,92.2,2,5.9
E02006591,91.1,2.1,6.8
E02006592,93.1,1.3,5.6
E02006593,86.8,2.4,10.9
E02006594,91.6,2.2,6.2
E02006595,90.7,2.9,6.4
E02006596,95.6,1.2,3.2
E02006597,94.5,1.7,3.8
E02006598,95.4,1.1,3.5
E02006599,95.5,1.4,3
E02006600,95.4,1.3,3.3
E02006601,94.4,1.6,4
E02006602,95.4,1.3,3.2
E02006603,95.1,1.5,3.4
E02006604,87.9,2.6,9.5
E02006605,93.3,1.8,4.9
E02006607,93.2,2.1,4.7
E02006608,95.6,0.9,3.5
E02006609,93.2,1.9,4.9
E02006610,93.1,1.8,5.2
E02006611,92.8,2.4,4.7
E02006612,85.6,3.4,11.1
E02006613,89.7,2,8.3
E02006614,90.9,2.4,6.7
E02006615,93.2,1.5,5.3
E02006616,93.1,1.6,5.3
E02006617,87.4,1.8,10.8
E02006618,93.9,1.6,4.4
E02006619,93.6,2.2,4.2
E02006620,94.1,2,3.9
E02006621,96.3,1,2.6
E02006622,95,1,4
E02006623,94.9,0.9,4.1
E02006624,95,1.4,3.6
E02006625,92.4,1.5,6.1
E02006626,93.4,1.6,5.1
E02006627,92.4,1.6,6
E02006628,88.2,2.3,9.5
E02006629,89.9,2.1,8
E02006630,86.6,2.6,10.8
E02006631,80.8,2.5,16.6
E02006632,92,1.9,6.1
E02006633,94.8,1.4,3.8
