geography_code,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E02003491,38.4,40.2,11,10.5
E02003492,21.2,18.5,40.6,19.7
E02003493,40.8,35.1,6.2,18
E02003494,41.6,38.1,7.6,12.7
E02003495,33.4,36.7,16.3,13.6
E02003496,33,28.9,24.9,13.2
E02003497,41.4,39.9,2.6,16.1
E02003498,16,18.3,43.2,22.5
E02003499,18.7,18.5,42.4,20.3
E02003500,32.5,44.3,2.9,20.2
E02003501,31.8,33.4,3.2,31.6
E02003502,26.9,35.3,20.9,16.9
E02003503,32.1,34.8,19.5,13.6
E02003504,22.4,32.1,7.8,37.8
E02003505,16.1,25.7,9.3,48.9
E02003506,23,41.9,7.2,27.9
E02003507,40,31.3,16.1,12.6
E02003508,24.4,33.1,4.7,37.8
E02003509,16.1,23.4,11.2,49.4
E02003510,26.3,27.3,5,41.3
E02003511,27.3,37.1,9.4,26.2
E02003512,19.6,28.8,12.8,38.8
E02003513,29,29.5,15.4,26.1
E02003514,15,20.5,7.1,57.4
E02003515,12.3,14.4,62.1,11.2
E02003516,15.3,20.1,3.6,60.9
E02003517,15.5,17.3,14.3,52.8
E02003518,24.3,23.1,6.8,45.8
E02003519,13.7,17.8,6.7,61.8
E02003520,13.8,14.9,29.1,42.3
E02003521,18.9,18.5,21.4,41.2
E02003522,24.8,17.6,16.1,41.5
E02003523,48.8,30.3,4.3,16.6
E02004380,46.7,33.7,8,11.5
E02004383,43.7,29.5,12.4,14.4
E02004384,41,37.2,6.3,15.5
E02004385,43.1,30.2,6.6,20.1
E02006373,39.7,32.7,11.3,16.3
E02006374,42.9,33.8,11.1,12.2
E02006391,33.2,46.2,4.6,16
E02006392,30.2,31.9,10.9,27
E02006437,41,35.1,12.1,11.7
E02006438,42.7,36.9,8,12.4
E02006448,36.9,39.9,11.7,11.5
E02006449,40.9,33.2,14.1,11.8
E02006450,38.9,37.7,9,14.3
E02006451,43.2,31.1,13.4,12.2
E02006453,45.2,31.7,11.4,11.7
E02006534,41.8,36.3,11,10.9
E02006535,48.9,36.7,3.7,10.7
E02006536,44.4,38.7,5.6,11.2
E02006537,28.3,29.4,27.2,15
E02006538,39.9,31.5,7.3,21.3
E02006539,40.5,32.9,14.7,11.8
E02006540,40.5,28.6,16.3,14.7
E02006541,41.4,28.4,10.1,20
E02006542,46,26.1,8.7,19.2
E02006543,47.8,30.1,8.6,13.5
E02006544,43.8,36,7.3,13
E02006545,26.6,37,20.8,15.6
E02006546,42.3,34.2,12.3,11.3
E02006547,43,34.4,12.2,10.4
E02006548,42,33.6,6.1,18.2
E02006549,65.1,23.3,2,9.6
E02006550,52.1,26.3,8.2,13.4
E02006551,64.6,17.7,5.6,12.2
E02006552,27.1,18.6,8.8,45.6
E02006553,38.3,37.7,7.6,16.4
E02006554,54.1,26.6,4.7,14.5
E02006555,28.8,26.6,20.3,24.3
E02006556,51.8,29.7,6,12.6
E02006557,25.3,29.5,23,22.2
E02006558,27.4,16.3,8.1,48.2
E02006562,44.6,34.6,9.3,11.5
E02006565,41.1,21.5,13.9,23.5
E02006575,23.3,29.2,28.1,19.4
E02006576,29.2,46.5,10,14.3
E02006577,22.4,31.1,30.7,15.8
E02006578,18.9,23.5,22.5,35.1
E02006579,27.4,32.6,17.6,22.4
E02006580,30,35.6,19.6,14.8
E02006581,22.6,28.7,24.2,24.5
E02006582,33.4,45.5,3.9,17.2
E02006583,30,33.5,16.8,19.7
E02006584,16.6,31.8,36.3,15.4
E02006585,26.1,31.5,28.6,13.8
E02006586,18,35.2,25.6,21.2
E02006587,15.3,27.3,38,19.5
E02006588,28.3,38.2,13.6,20
E02006589,42.8,39.7,6.2,11.4
E02006590,35,33.3,14.3,17.4
E02006591,34.7,34.6,11.5,19.2
E02006592,43.4,36.7,8.9,11
E02006593,27.9,26.8,21.6,23.7
E02006594,32.2,42.3,11.9,13.6
E02006595,46.7,33.5,4.7,15.1
E02006596,37.5,44.6,9.2,8.7
E02006597,33.8,39.2,13,14
E02006598,44.4,35.3,6.9,13.4
E02006599,60.9,28.1,3.9,7.1
E02006600,40.4,27,18.8,13.8
E02006601,41.4,29.8,16.3,12.5
E02006602,42.5,37.3,8.2,12
E02006603,52.7,29.3,4.1,13.9
E02006604,30.2,31.4,16.3,22.2
E02006605,39,40.4,5.9,14.7
E02006607,45.8,39,4.6,10.6
E02006608,47.5,38.1,7.6,6.8
E02006609,41.3,35.5,9.7,13.5
E02006610,32.5,37.3,10.8,19.4
E02006611,44.3,38.3,6.1,11.2
E02006612,26.5,33.6,9,30.9
E02006613,27.2,33.6,24.5,14.6
E02006614,32.2,40.8,13.3,13.7
E02006615,32.4,45.5,8.2,13.9
E02006616,35.9,43.4,10.9,9.8
E02006617,31.2,31.4,18,19.3
E02006618,49.7,39.5,2.6,8.2
E02006619,34.8,36.9,14.8,13.5
E02006620,46.6,35.4,7.9,10
E02006621,58.2,33.2,1.8,6.7
E02006622,43,34,9.6,13.4
E02006623,36,31.1,18.9,14.1
E02006624,44.4,43.4,0.9,11.3
E02006625,33.1,41.9,4.7,20.3
E02006626,22.8,39.7,24.3,13.2
E02006627,37.9,36,9.8,16.3
E02006628,24.7,34.1,11.7,29.4
E02006629,31.1,30.9,16.2,21.8
E02006630,29.4,20.9,10.8,38.9
E02006631,23.8,20,8.4,47.9
E02006632,44.5,31.1,3,21.3
E02006633,56,26.6,5,12.5
