geography_code,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E02003491,11.5,23,57.2,8.3
E02003492,25.1,24.9,44.5,5.5
E02003493,13.2,21.6,53.3,11.9
E02003494,13.6,23,53.9,9.6
E02003495,11.3,22.4,57.5,8.8
E02003496,13.7,25.6,53.2,7.5
E02003497,14.6,22.2,50.5,12.6
E02003498,16.3,25.2,52.3,6.3
E02003499,15.7,25.5,51.7,7.1
E02003500,13.9,23.1,53.5,9.5
E02003501,11.6,18.8,58.3,11.3
E02003502,10.8,22.7,59.1,7.5
E02003503,12.8,24.5,54.4,8.3
E02003504,13.5,18.5,58.7,9.3
E02003505,18.6,20.6,53.2,7.6
E02003506,10.7,20.3,58.7,10.3
E02003507,12.3,22.7,56.6,8.3
E02003508,16.6,22.4,53.9,7.1
E02003509,9.9,17.6,62,10.5
E02003510,12.1,18.4,59.6,9.9
E02003511,12,21.3,57.4,9.2
E02003512,15.5,20.5,56,8
E02003513,13.9,22.2,52.4,11.5
E02003514,11.9,16.3,62.9,8.9
E02003515,12.8,24.7,55.1,7.4
E02003516,11,16,62.5,10.6
E02003517,13.2,17.7,59.4,9.8
E02003518,12.3,18.6,58.9,10.2
E02003519,10.7,18,61.2,10.1
E02003520,13.8,19.1,58.8,8.3
E02003521,12.1,17.7,60.5,9.8
E02003522,12,18,57.8,12.2
E02003523,14,22.4,52.4,11.2
E02004380,15.1,20.2,50.1,14.6
E02004383,15.5,23.1,50.1,11.4
E02004384,12.8,22.1,55,10
E02004385,11,22.2,57.7,9
E02006373,14.2,19.7,49,17.1
E02006374,13.1,18.9,53,15.1
E02006391,10.4,18.5,59.5,11.6
E02006392,10.3,16.5,62,11.2
E02006437,12.2,19,54.6,14.3
E02006438,12.8,18.4,53.4,15.4
E02006448,12.5,18.5,54.8,14.1
E02006449,13.1,20.5,51.7,14.6
E02006450,14.1,17,50.5,18.3
E02006451,13.1,18.5,54.4,14
E02006453,14.5,19.3,49.4,16.8
E02006534,11.1,24.1,56.5,8.2
E02006535,13.9,23.8,52.7,9.6
E02006536,11.7,22.8,55.6,9.8
E02006537,11.4,22.8,58,7.8
E02006538,13,21,55.6,10.4
E02006539,10.4,21.2,59.1,9.3
E02006540,10.3,23.3,56.2,10.2
E02006541,9.8,22.5,58.6,9
E02006542,15.5,20.2,50.6,13.7
E02006543,15,22.2,51.7,11.2
E02006544,12.2,21.2,53.8,12.8
E02006545,10.6,21.8,57.5,10.1
E02006546,11.8,21.7,56.2,10.4
E02006547,12.8,21.7,52.9,12.6
E02006548,11,23.3,56.4,9.4
E02006549,17.2,20.8,51.6,10.4
E02006550,12.6,24.1,53.4,9.9
E02006551,15.5,21.8,51.1,11.6
E02006552,10.8,19.3,59.5,10.4
E02006553,11.2,20.4,58,10.4
E02006554,14.4,21.8,51.9,12
E02006555,11.1,21,59.7,8.2
E02006556,12.7,22.8,54.5,10.1
E02006557,11,20.3,58.8,9.9
E02006558,10.6,17.4,62.2,9.8
E02006562,16.6,18.5,46.4,18.4
E02006565,16.4,20.5,47,16.1
E02006575,12.6,21.1,57.3,9
E02006576,10,17.2,62.8,10
E02006577,11,18.5,61.7,8.7
E02006578,10.9,17.7,63.4,7.9
E02006579,10.3,17.2,64.6,7.9
E02006580,10.9,19,61.2,9
E02006581,10.3,18.9,61.8,9
E02006582,9.7,17.5,62.1,10.7
E02006583,11.2,19.2,61,8.6
E02006584,9.4,20.3,62.3,8
E02006585,10.9,21.8,59.3,8
E02006586,11.7,20.6,59.4,8.3
E02006587,10.9,18.5,61.7,8.8
E02006588,10.8,16.4,60.9,11.9
E02006589,11.7,19.1,59.4,9.7
E02006590,12.2,19.2,56.8,11.8
E02006591,10.7,17.4,60.5,11.4
E02006592,14.2,19.6,50.4,15.8
E02006593,10.4,17.9,60.8,10.9
E02006594,11.3,17.5,59.7,11.5
E02006595,13.7,19.7,50.8,15.9
E02006596,12.4,19.2,57.3,11.1
E02006597,11.6,18.8,55.8,13.8
E02006598,14.9,18.7,52.3,14.2
E02006599,17.8,18.9,49.2,14.2
E02006600,13.2,20.2,54.2,12.3
E02006601,13.9,20.3,52.1,13.7
E02006602,14.6,19.7,52.1,13.6
E02006603,15.4,22.8,50.8,11
E02006604,11.4,18.4,59.7,10.4
E02006605,11.9,18.9,55.5,13.7
E02006607,12.4,19.2,56,12.5
E02006608,13.6,20.1,53.5,12.9
E02006609,14,19,50.2,16.8
E02006610,13.2,16.8,54.1,16
E02006611,12.4,20.3,54.7,12.6
E02006612,9.2,15.5,63.8,11.6
E02006613,10.7,19.3,61,9.1
E02006614,11.9,17.8,58,12.3
E02006615,10.2,18.8,61.3,9.7
E02006616,10,19.6,60,10.4
E02006617,10.2,19.5,61.2,9.1
E02006618,12.9,19.2,57.2,10.6
E02006619,13.2,20.5,50.4,15.9
E02006620,13.6,21.3,52.9,12.2
E02006621,13.6,22.7,54.2,9.6
E02006622,12.2,20.4,58,9.3
E02006623,11.5,23.1,56.9,8.4
E02006624,12.2,21.4,56.8,9.5
E02006625,10.8,21.7,59,8.5
E02006626,10.9,21.7,58.4,9
E02006627,10.2,22.6,59.2,7.9
E02006628,10.4,20.8,60.4,8.3
E02006629,11.4,22.7,58.3,7.7
E02006630,9.8,19.8,60.4,10
E02006631,10.5,18.1,62.7,8.6
E02006632,11.3,20.7,58.3,9.7
E02006633,13.6,22.9,54.3,9.3
