geography_code,sex-001,sex-002
E02003491,51.5,48.5
E02003492,53.3,46.7
E02003493,51.8,48.2
E02003494,52,48
E02003495,52.9,47.1
E02003496,51.6,48.4
E02003497,50.7,49.3
E02003498,51.5,48.5
E02003499,50.9,49.1
E02003500,52,48
E02003501,50.8,49.2
E02003502,51.5,48.5
E02003503,51.9,48.1
E02003504,50.7,49.3
E02003505,51.5,48.5
E02003506,51.2,48.8
E02003507,51.8,48.2
E02003508,51.9,48.1
E02003509,51.4,48.6
E02003510,51.3,48.7
E02003511,52.4,47.6
E02003512,53.2,46.8
E02003513,53.1,46.9
E02003514,48.6,51.4
E02003515,52.1,47.9
E02003516,50.7,49.3
E02003517,48,52
E02003518,51.7,48.3
E02003519,47.9,52.1
E02003520,48.4,51.6
E02003521,47,53
E02003522,49.3,50.7
E02003523,51.9,48.1
E02004380,52.4,47.6
E02004383,50.8,49.2
E02004384,51.6,48.4
E02004385,52.2,47.8
E02006373,51.3,48.7
E02006374,49.8,50.2
E02006391,50.7,49.3
E02006392,50.4,49.6
E02006437,51.4,48.6
E02006438,50.4,49.6
E02006448,51.5,48.5
E02006449,52.3,47.7
E02006450,52,48
E02006451,51.5,48.5
E02006453,52.9,47.1
E02006534,52,48
E02006535,51.6,48.4
E02006536,50.3,49.7
E02006537,52.2,47.8
E02006538,51.3,48.7
E02006539,51.7,48.3
E02006540,51.7,48.3
E02006541,52,48
E02006542,52.1,47.9
E02006543,51.6,48.4
E02006544,51.5,48.5
E02006545,51.5,48.5
E02006546,52.7,47.3
E02006547,48.8,51.2
E02006548,53,47
E02006549,53.2,46.8
E02006550,52.6,47.4
E02006551,55,45
E02006552,49,51
E02006553,51.7,48.3
E02006554,52.2,47.8
E02006555,51.9,48.1
E02006556,52.7,47.3
E02006557,51.4,48.6
E02006558,49.4,50.6
E02006562,51.3,48.8
E02006565,51.8,48.2
E02006575,47.9,52.1
E02006576,50.2,49.8
E02006577,51.3,48.7
E02006578,49,51
E02006579,49.3,50.7
E02006580,50.6,49.4
E02006581,50.4,49.6
E02006582,50.1,49.9
E02006583,50.4,49.6
E02006584,51.2,48.8
E02006585,51.8,48.2
E02006586,49.8,50.2
E02006587,51.4,48.6
E02006588,50.7,49.3
E02006589,51.4,48.6
E02006590,51.5,48.5
E02006591,50,50
E02006592,50.9,49.1
E02006593,51.1,48.9
E02006594,51.2,48.8
E02006595,51.3,48.7
E02006596,50.6,49.4
E02006597,51,49
E02006598,50.2,49.8
E02006599,50.6,49.4
E02006600,52.5,47.5
E02006601,52.1,47.9
E02006602,50.7,49.3
E02006603,52.7,47.3
E02006604,51.1,48.9
E02006605,50.7,49.3
E02006607,51,49
E02006608,51.5,48.5
E02006609,50.6,49.4
E02006610,50.9,49.1
E02006611,52.2,47.8
E02006612,50.8,49.2
E02006613,52.2,47.8
E02006614,51.5,48.5
E02006615,51.1,48.9
E02006616,51.1,48.9
E02006617,51.4,48.6
E02006618,52.4,47.6
E02006619,51.3,48.7
E02006620,52.6,47.4
E02006621,51.1,48.9
E02006622,51.2,48.8
E02006623,52.9,47.1
E02006624,50.5,49.5
E02006625,51.4,48.6
E02006626,52.1,47.9
E02006627,51.4,48.6
E02006628,51.4,48.6
E02006629,52.1,47.9
E02006630,51.8,48.2
E02006631,50.6,49.4
E02006632,52.2,47.8
E02006633,52.7,47.3
