geography_code,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E02003491,91.6,0.5,7.5,0.4
E02003492,49.7,4.8,38.1,7.4
E02003493,90.8,0.3,8.4,0.5
E02003494,91.4,0.8,7.2,0.6
E02003495,92.5,0.3,6.8,0.4
E02003496,92,0.2,7.1,0.7
E02003497,89.6,0.4,9.2,0.9
E02003498,77.9,4.4,16.1,1.6
E02003499,80.7,4.8,13.6,1
E02003500,84.8,2.4,11.5,1.3
E02003501,84.4,0.5,13.7,1.4
E02003502,91.7,0.2,7.9,0.3
E02003503,91.1,0.5,7.8,0.7
E02003504,79.8,2.6,16.4,1.2
E02003505,64.3,8.5,25.3,1.9
E02003506,85.7,0.5,12.8,0.9
E02003507,91.1,0.3,8.1,0.4
E02003508,68.8,8.2,21.6,1.4
E02003509,79.3,0.7,18.8,1.1
E02003510,81.9,0.7,15.5,1.9
E02003511,88.7,0.3,10.2,0.8
E02003512,68.2,7.3,22.9,1.6
E02003513,89,0.5,9.8,0.6
E02003514,74.7,1.7,21.4,2.2
E02003515,91.5,0.6,7.5,0.4
E02003516,77.6,1.1,19.6,1.7
E02003517,66.5,5.3,24.9,3.3
E02003518,80.9,0.5,17,1.7
E02003519,71.4,1.4,24.8,2.4
E02003520,73.4,2.8,21.4,2.4
E02003521,78.9,1.7,17.3,2.2
E02003522,79.6,1.1,17.2,2.1
E02003523,89.5,0.4,9.6,0.6
E02004380,90.4,0.2,8.9,0.5
E02004383,87.3,0.3,11.5,0.8
E02004384,90.9,0.2,8.5,0.4
E02004385,92.4,0.1,7,0.5
E02006373,91.4,0.2,7.9,0.5
E02006374,90.8,0.2,8.6,0.4
E02006391,91,0.2,8.2,0.6
E02006392,87.6,0.1,11.1,1.1
E02006437,91.1,0.3,8.1,0.5
E02006438,92.1,0.3,7.2,0.4
E02006448,89.4,0.2,9.7,0.7
E02006449,89.8,0.4,9.2,0.7
E02006450,89.2,0.5,9.5,0.9
E02006451,87.3,0.6,11.5,0.7
E02006453,88,0.6,10.3,1
E02006534,92.6,0.2,6.8,0.4
E02006535,93.2,0.1,6.5,0.2
E02006536,92.3,0.3,7,0.4
E02006537,92.5,0.1,7,0.3
E02006538,89,0.2,10.2,0.7
E02006539,92.5,0.1,7.2,0.2
E02006540,92.2,0.1,7.5,0.3
E02006541,90.9,0.1,8.6,0.4
E02006542,90.3,0.3,8.7,0.7
E02006543,91.6,0.2,7.8,0.4
E02006544,90.1,0.2,9.3,0.4
E02006545,89.8,0.2,9.7,0.4
E02006546,90,0.1,9.5,0.4
E02006547,88.2,0.1,11.3,0.4
E02006548,91.9,0.2,7.8,0.2
E02006549,90.4,0.3,8.8,0.5
E02006550,92.5,0.2,7,0.4
E02006551,90.3,0.2,9.2,0.3
E02006552,86.3,0.2,12.5,1
E02006553,89.4,0.1,9.9,0.5
E02006554,91.4,0.1,8.2,0.3
E02006555,89.7,0.8,9,0.5
E02006556,91.1,0.2,8.4,0.3
E02006557,90.5,0.3,8.5,0.7
E02006558,83.8,0.3,14.5,1.4
E02006562,90.6,0.5,8.5,0.5
E02006565,88.7,0.6,10.1,0.6
E02006575,90.7,0.1,7.8,1.3
E02006576,87.5,0.2,12,0.4
E02006577,89.9,0.1,9.4,0.5
E02006578,82,0.3,15.6,2.1
E02006579,90,0.3,8.7,1
E02006580,91.4,0.2,7.8,0.7
E02006581,86.7,0.2,11.9,1.2
E02006582,91.8,0.3,7,0.9
E02006583,91.2,0.1,8.2,0.5
E02006584,91.5,0.1,7.8,0.6
E02006585,91.7,0.1,7.4,0.8
E02006586,92.1,0.2,7,0.7
E02006587,91.6,0.1,7.7,0.7
E02006588,86.5,0.2,12.4,0.9
E02006589,91.1,0.3,8,0.6
E02006590,89.8,0.2,9.2,0.8
E02006591,89.7,0.3,9.4,0.7
E02006592,89.8,0.3,8.9,1
E02006593,87.6,0.3,10.9,1.3
E02006594,88.9,0.2,10.3,0.6
E02006595,88,0.7,10.4,0.9
E02006596,92,0.3,7.1,0.5
E02006597,87.8,0.2,11.6,0.4
E02006598,91.6,0.1,7.7,0.6
E02006599,90.3,0.2,8.7,0.8
E02006600,89,0.2,10.4,0.4
E02006601,90.4,0.2,8.7,0.8
E02006602,90.8,0.4,8.4,0.4
E02006603,91.9,0.2,7.4,0.5
E02006604,88.9,0.2,10.1,0.9
E02006605,88.9,0.4,9.9,0.7
E02006607,91.5,0.2,7.6,0.6
E02006608,92.7,0.2,6.7,0.4
E02006609,89.5,0.6,8.8,1.1
E02006610,86.2,0.2,12.5,1.1
E02006611,90.6,0.2,8.7,0.5
E02006612,87,0.2,11.8,1
E02006613,90.9,0.3,8.2,0.6
E02006614,87.3,0.3,11.4,1
E02006615,91,0.2,8.2,0.5
E02006616,90.6,0.2,8.6,0.6
E02006617,90.3,0.2,8.4,1.1
E02006618,90.2,0.3,9,0.5
E02006619,89.8,0.5,9.2,0.6
E02006620,90.3,0.3,8.9,0.5
E02006621,90.9,0.2,8.8,0.1
E02006622,91,0.2,8.4,0.4
E02006623,92.5,0.2,7,0.2
E02006624,91.7,0.3,7.7,0.3
E02006625,90.1,0.3,9.1,0.6
E02006626,92,0.1,7.5,0.5
E02006627,90.4,0.2,9.1,0.3
E02006628,89.4,0.2,9.8,0.6
E02006629,90.7,0.1,8.5,0.6
E02006630,85.1,0.2,13.7,1
E02006631,83.1,0.3,15.2,1.4
E02006632,89.9,0.3,9.3,0.5
E02006633,92.2,0.1,7.3,0.4
