geography_code,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E02003491,46.3,53.7
E02003492,16.3,83.7
E02003493,50.4,49.6
E02003494,50.8,49.2
E02003495,43.9,56.1
E02003496,44.9,55.1
E02003497,57.2,42.8
E02003498,24.6,75.4
E02003499,28,72
E02003500,42.4,57.6
E02003501,43,57
E02003502,40.3,59.7
E02003503,43.8,56.2
E02003504,31.3,68.7
E02003505,19,81
E02003506,38.6,61.4
E02003507,46.3,53.7
E02003508,24.8,75.2
E02003509,25.9,74.1
E02003510,32.2,67.8
E02003511,41.9,58.1
E02003512,20.8,79.2
E02003513,41.5,58.5
E02003514,21.2,78.8
E02003515,28.9,71.1
E02003516,21.2,78.8
E02003517,19.1,80.9
E02003518,28.4,71.6
E02003519,18.9,81.1
E02003520,20.3,79.7
E02003521,23.5,76.5
E02003522,31.7,68.3
E02003523,48.8,51.2
E02004380,54.9,45.1
E02004383,46,54
E02004384,46.6,53.4
E02004385,46.8,53.2
E02006373,53.4,46.6
E02006374,52.3,47.7
E02006391,55.4,44.6
E02006392,43.1,56.9
E02006437,51.3,48.7
E02006438,53.5,46.5
E02006448,57.2,42.8
E02006449,54,46
E02006450,58.5,41.5
E02006451,53.9,46.1
E02006453,55.6,44.4
E02006534,47.5,52.5
E02006535,54.9,45.1
E02006536,52.1,47.9
E02006537,39.7,60.3
E02006538,43,57
E02006539,45.7,54.3
E02006540,43.6,56.4
E02006541,41,59
E02006542,50.7,49.3
E02006543,52,48
E02006544,52.9,47.1
E02006545,43,57
E02006546,49.3,50.7
E02006547,48,52
E02006548,47.3,52.7
E02006549,58.6,41.4
E02006550,49.9,50.1
E02006551,54.7,45.3
E02006552,31.6,68.4
E02006553,47.2,52.8
E02006554,51,49
E02006555,37.7,62.3
E02006556,52.8,47.2
E02006557,38.1,61.9
E02006558,29.4,70.6
E02006562,60.5,39.5
E02006565,53.6,46.4
E02006575,46,54
E02006576,51.2,48.8
E02006577,44,56
E02006578,41.7,58.3
E02006579,46,54
E02006580,46.7,53.3
E02006581,39.5,60.5
E02006582,53.7,46.3
E02006583,47.5,52.5
E02006584,41.2,58.8
E02006585,44.3,55.7
E02006586,42.2,57.8
E02006587,39.7,60.3
E02006588,47.4,52.6
E02006589,57.6,42.4
E02006590,48.5,51.5
E02006591,46.4,53.6
E02006592,56.5,43.5
E02006593,41.8,58.2
E02006594,51.4,48.6
E02006595,57.8,42.2
E02006596,54.8,45.2
E02006597,51.7,48.3
E02006598,55.7,44.3
E02006599,66.4,33.6
E02006600,49.4,50.6
E02006601,50.7,49.3
E02006602,58.2,41.8
E02006603,53.4,46.6
E02006604,44.1,55.9
E02006605,52,48
E02006607,58,42
E02006608,57.7,42.3
E02006609,55,45
E02006610,52.3,47.7
E02006611,58.9,41.1
E02006612,45.2,54.8
E02006613,45.8,54.2
E02006614,52.8,47.2
E02006615,50.3,49.7
E02006616,51,49
E02006617,45.2,54.8
E02006618,58.6,41.4
E02006619,52.2,47.8
E02006620,56.1,43.9
E02006621,58.3,41.7
E02006622,49.3,50.7
E02006623,44.4,55.6
E02006624,56.1,43.9
E02006625,44.7,55.3
E02006626,44,56
E02006627,46,54
E02006628,37.2,62.8
E02006629,40.1,59.9
E02006630,32.2,67.8
E02006631,27.1,72.9
E02006632,46.2,53.8
E02006633,54.3,45.7
