geography_code,hh_deprivation-001,hh_deprivation-002,hh_deprivation-003,hh_deprivation-004,hh_deprivation-005
E02003491,49.9,33,13.8,3.1,0.2
E02003492,32.5,34.1,23.9,8.5,1
E02003493,56.1,31.6,10.7,1.6,0.1
E02003494,54,32.9,10.8,2.1,0.1
E02003495,44.6,35.3,15.5,4.4,0.1
E02003496,42.5,33.6,17.8,5.8,0.3
E02003497,61.2,29.8,7.7,1.2,0.1
E02003498,33.3,33.8,22.3,9.6,0.9
E02003499,31.3,37.4,23.3,7.4,0.5
E02003500,61.6,28.5,8.2,1.6,0.1
E02003501,59.1,30,8.3,2.1,0.4
E02003502,43.4,33.5,16.4,5.7,1.1
E02003503,46.3,33.9,15.9,3.8,0.2
E02003504,54.7,31.1,11.2,2.7,0.3
E02003505,47.6,32.4,15.7,3.8,0.5
E02003506,59.2,27.7,10.3,2.5,0.2
E02003507,42.3,36.9,16.3,4,0.5
E02003508,52.1,33,12.9,1.9,0.1
E02003509,49.4,31.6,14,4.4,0.5
E02003510,54.6,31.5,11.2,2.4,0.3
E02003511,53.5,31.5,11.9,3,0.2
E02003512,49.8,32.1,14.3,3.4,0.4
E02003513,49.8,31.7,13.9,4.3,0.4
E02003514,48.3,34.1,13.2,3.9,0.6
E02003515,28,33.2,26.1,11.8,1
E02003516,47.2,35.4,13.5,3.4,0.5
E02003517,47.2,32.6,14.8,4.9,0.5
E02003518,49.1,33.8,12.2,4,0.8
E02003519,46.4,35.2,14.1,3.6,0.8
E02003520,37.7,34.2,18.9,8.3,1
E02003521,44.7,33.1,15.8,5.7,0.6
E02003522,48.5,33,13.3,4.7,0.5
E02003523,53,34.8,10.1,1.8,0.3
E02004380,58.7,31.8,8.2,1.3,0.1
E02004383,56.3,31.5,10,2.2,0.1
E02004384,47.2,36.4,13.7,2.6,0.1
E02004385,41.6,36.6,17,4.3,0.5
E02006373,58.2,30.7,8.9,2.1,0.1
E02006374,54.1,31,12.4,2.3,0.1
E02006391,61.1,29.7,7.8,1.3,0.2
E02006392,49.3,33.6,13.6,3.3,0.3
