areacd,hh_family_composition_4a-001,hh_family_composition_4a-002,hh_family_composition_4a-003
E02002722,4.7,32.4,63
E02003742,5.6,27.3,67
E02003743,10.1,27,62.8
E02003744,8.6,33.3,58.1
E02003745,6.2,26.6,67.2
E02003746,5.6,27.7,66.7
E02003748,5.3,32.9,61.8
E02003750,5.1,31.8,63.1
E02003751,5.1,23.5,71.4
E02005417,6.2,25,68.8
E02005425,5.7,24.4,70
E02005426,3.3,31,65.7
E02005428,5.8,32.5,61.7
E02005429,4,33.1,62.9
E02005431,4.9,29,66
E02005432,4.7,23.9,71.4
E02005433,4.6,32.6,62.8
E02005435,5.2,31,63.7
E02005436,4.1,29.6,66.3
E02005437,6.9,43.6,49.5
E02005438,4.5,34,61.5
E02005440,6.4,26.4,67.1
E02005466,5.7,24.6,69.7
E02005467,5.2,33.5,61.3
E02005472,5.3,31.5,63.2
E02005474,6.4,23.9,69.7
E02005503,4.5,24.9,70.6
E02005504,4.7,24.4,70.9
E02005505,4.5,28.2,67.3
E02005506,4.9,25.7,69.4
E02005507,4.1,33.4,62.5
E02005508,6,24.7,69.4
E02005509,3.6,32.7,63.7
E02005510,4.4,27.7,68
E02005511,6.5,29.7,63.9
E02005512,6.2,21.2,72.6
E02005513,4.6,30.6,64.7
E02005514,4.7,26.2,69.1
E02005515,5.1,23.5,71.4
E02005520,3.1,31,65.9
E02005521,4.5,27.3,68.3
E02005522,4.2,25.8,70
E02005523,4.1,22.9,73.1
E02005524,2.9,28.2,68.9
E02005525,3.1,27.1,69.8
E02005526,3.7,28.3,68
E02005527,4.2,23.6,72.2
E02005528,4,28.8,67.2
E02005529,3.6,32.1,64.3
E02005530,4.7,29.6,65.7
E02005531,4,29.9,66
E02005532,3.3,30.6,66.1
E02005533,3.7,25,71.3
E02005534,3.1,31.7,65.2
E02005535,3.9,28.6,67.6
E02005536,3.6,27.1,69.3
E02005537,3.8,30.3,65.9
E02005538,4,27.9,68.1
E02005539,5,24,71
E02005540,4.1,32.3,63.6
E02005541,6.2,33.8,60.1
E02005542,7.1,41.4,51.5
E02005543,7.6,41.1,51.4
E02005544,6.9,35.1,58
E02005545,3,27.2,69.8
E02005546,4.5,37.4,58.1
E02005547,5.1,32.2,62.7
E02005548,4.9,28.6,66.5
E02005549,4.8,29,66.3
E02005550,3.8,30.3,65.9
E02005551,3.1,40.3,56.6
E02005552,3.5,32.3,64.2
E02005553,3.1,33.5,63.4
E02005554,3.2,32.2,64.6
E02005555,4.1,22.3,73.6
E02005556,4.2,27.6,68.3
E02005557,7.6,27,65.4
E02005558,6.4,24.1,69.6
E02005559,7.9,31,61.1
E02005560,7.1,26.9,66
E02005561,6.9,43.2,49.9
E02005562,4.1,27.5,68.4
E02005563,7.4,23.5,69.1
E02005564,4.4,22.8,72.8
E02005565,5.3,25.1,69.5
E02005566,6.3,25,68.7
E02005567,3.9,34.5,61.6
E02005568,5,26,69
E02005569,5.3,24.6,70
E02005570,3.4,35.5,61.2
E02005571,2.8,35.4,61.8
E02005572,3.9,42.6,53.5
E02005573,3.1,38.8,58
E02005574,4.7,29.7,65.6
E02005575,3.9,28.2,67.9
E02005576,4.6,33.3,62.1
E02005577,4.3,29.6,66.1
E02005578,3.5,29.7,66.7
E02005580,3.7,35.8,60.6
E02005581,4.7,26.7,68.6
E02005582,4.3,35.5,60.2
E02005583,3.7,30.3,66.1
E02005584,6.6,35.8,57.6
E02005585,8.2,34.3,57.5
E02005586,8.6,39.1,52.3
E02005587,5.3,33.3,61.4
E02005588,14.7,28.5,56.8
E02005589,13.7,30.6,55.7
E02005592,13.3,33.8,52.9
E02005593,19.2,29.2,51.6
E02005594,9.6,45.4,45
E02005595,8.1,30.6,61.2
E02005596,5.7,37.4,56.9
E02005598,4.7,24.3,71
E02005599,3.1,27.2,69.7
E02005600,4.1,25.2,70.7
E02005601,2.7,39.9,57.4
E02005602,3.7,27.6,68.8
E02005603,3.3,25.8,70.9
E02005604,3.4,27.3,69.3
E02005605,3.7,24.6,71.7
E02005606,5,24,71
E02005607,4,24,72
E02006302,3.9,28.1,68
E02006303,5.4,33,61.7
E02006304,3.2,28.8,68
E02006907,7.1,57.2,35.7
E02006908,5.9,45.8,48.3
E02007032,3.5,36.5,60
E02007033,3.3,36.6,60.1
E02007052,7.3,54.4,38.3
E02007053,7.8,57.2,35
E02007054,6.1,24.4,69.5
E02007055,4.9,31.5,63.6
