areacd,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E02002722,71.9,18.4,9.7
E02003742,76.1,16.8,7.1
E02003743,77.7,15.3,7
E02003744,77.2,15.9,6.9
E02003745,77.2,15.9,6.8
E02003746,77.5,16.5,6
E02003748,75,17.4,7.7
E02003750,76.1,17.2,6.7
E02003751,79.1,15.5,5.4
E02005417,75.5,17.4,7.1
E02005425,77.3,16,6.6
E02005426,76.1,16.3,7.6
E02005428,64.2,23.2,12.6
E02005429,61.3,25.7,13
E02005431,72.8,19,8.2
E02005432,78.5,15.5,6
E02005433,61.3,25.6,13.1
E02005435,70.3,20,9.8
E02005436,75.2,17.9,6.9
E02005437,71.6,18.8,9.5
E02005438,68.9,20.5,10.6
E02005440,71,19.8,9.2
E02005466,76.6,16.7,6.7
E02005467,76.4,17.1,6.5
E02005472,74.3,18.1,7.6
E02005474,77,16.2,6.8
E02005503,81.1,14.4,4.5
E02005504,78.7,14.9,6.4
E02005505,78.4,15.7,5.9
E02005506,79,15.3,5.7
E02005507,78.5,15.7,5.8
E02005508,80.7,14.5,4.8
E02005509,75.6,17.8,6.7
E02005510,77.3,16.9,5.8
E02005511,77.5,16.7,5.8
E02005512,81.2,13.4,5.3
E02005513,80.4,14.4,5.2
E02005514,78.2,15.8,6
E02005515,81.9,13.6,4.4
E02005520,79.8,15.3,4.9
E02005521,81.5,13.8,4.7
E02005522,81.7,13.6,4.6
E02005523,84.3,12.1,3.6
E02005524,81.4,13.9,4.7
E02005525,83.8,11.9,4.3
E02005526,81.5,14.2,4.3
E02005527,83.1,12.5,4.4
E02005528,82.2,13.4,4.3
E02005529,75.5,18.6,5.9
E02005530,80,15.3,4.8
E02005531,80.8,14.4,4.7
E02005532,82,13.8,4.2
E02005533,81.2,13.8,5
E02005534,80.1,15.2,4.7
E02005535,84.9,11.5,3.5
E02005536,80.4,14.3,5.2
E02005537,79,15.5,5.5
E02005538,76.4,16.6,7
E02005539,78.2,15.8,6
E02005540,75,18,7
E02005541,73.4,18.7,7.9
E02005542,74.9,16.9,8.2
E02005543,72.9,17.6,9.5
E02005544,76.7,16.1,7.2
E02005545,79.7,14.6,5.7
E02005546,73.2,17.8,9
E02005547,79,15.2,5.8
E02005548,74.6,17.4,8.1
E02005549,77.3,15.9,6.8
E02005550,78.7,15.6,5.7
E02005551,70.5,21.5,8
E02005552,79,15.4,5.6
E02005553,74.4,18.7,6.9
E02005554,77,17,6
E02005555,83.3,12.3,4.4
E02005556,81.4,13.7,4.9
E02005557,78.3,14.1,7.5
E02005558,77,16.3,6.8
E02005559,79.3,14.6,6.1
E02005560,82.4,12.9,4.7
E02005561,78.2,15.6,6.2
E02005562,78.8,15.5,5.7
E02005563,77.6,16,6.4
E02005564,81.6,13.4,5
E02005565,78.9,15.2,5.9
E02005566,77.7,15.7,6.6
E02005567,77.7,16.6,5.8
E02005568,78.7,15.6,5.7
E02005569,80.4,14.3,5.3
E02005570,76.1,18,5.9
E02005571,78.4,16.5,5.1
E02005572,73.4,19.3,7.3
E02005573,76,17.8,6.2
E02005574,77.5,16.5,6
E02005575,79.8,15.5,4.7
E02005576,74.2,18.2,7.6
E02005577,78.7,15.9,5.4
E02005578,79.3,15.6,5.1
E02005580,77.3,17.1,5.6
E02005581,78.9,15.4,5.7
E02005582,75.9,17.6,6.5
E02005583,76.2,17.5,6.4
E02005584,79.5,14.7,5.8
E02005585,77.4,16.1,6.5
E02005586,81.9,13.3,4.8
E02005587,76.7,16.2,7.2
E02005588,80.8,13.4,5.8
E02005589,79.5,14.5,6
E02005592,86.7,10.5,2.7
E02005593,83.8,11.9,4.3
E02005594,81.3,13.5,5.2
E02005595,82.6,13.1,4.3
E02005596,77.9,15.8,6.3
E02005598,86,10.8,3.1
E02005599,82.7,13.4,3.9
E02005600,82.5,12.5,4.9
E02005601,77.2,17.1,5.7
E02005602,84.2,12,3.8
E02005603,85.7,11,3.3
E02005604,82.3,13.1,4.6
E02005605,83.2,12.7,4.2
E02005606,81.4,14.3,4.3
E02005607,82.1,13.5,4.4
E02006302,78.4,15.2,6.4
E02006303,75.2,16.3,8.4
E02006304,77.7,16.3,6
E02006907,80.7,13.6,5.7
E02006908,80.4,13.7,5.8
E02007032,76.1,18.1,5.8
E02007033,77.2,16,6.8
E02007052,73.4,17.8,8.9
E02007053,78.5,15.4,6.1
E02007054,87.8,8.8,3.4
E02007055,78.7,15.8,5.5
