areacd,in_full_time_education-001,in_full_time_education-002
E02002722,16,84
E02003742,14.1,85.9
E02003743,18.5,81.5
E02003744,15.2,84.8
E02003745,15.7,84.3
E02003746,17.5,82.5
E02003748,16,84
E02003750,15.1,84.9
E02003751,16.1,83.9
E02005417,14.8,85.2
E02005425,14.4,85.6
E02005426,18.4,81.6
E02005428,12.6,87.4
E02005429,7.9,92.1
E02005431,13.9,86.1
E02005432,13.4,86.6
E02005433,10.2,89.8
E02005435,13.9,86.1
E02005436,15.6,84.4
E02005437,14.9,85.1
E02005438,17.7,82.3
E02005440,15.3,84.7
E02005466,14.3,85.7
E02005467,15.2,84.8
E02005472,14.9,85.1
E02005474,13.3,86.7
E02005503,16,84
E02005504,14.8,85.2
E02005505,17.2,82.8
E02005506,14.9,85.1
E02005507,16.8,83.2
E02005508,14.4,85.6
E02005509,13.5,86.5
E02005510,13.5,86.5
E02005511,12.5,87.5
E02005512,15.3,84.7
E02005513,15.6,84.4
E02005514,13.8,86.2
E02005515,16.8,83.2
E02005520,16.1,83.9
E02005521,15.9,84.1
E02005522,15.3,84.7
E02005523,17.7,82.3
E02005524,14.7,85.3
E02005525,17.2,82.8
E02005526,16.6,83.4
E02005527,16.3,83.7
E02005528,15.4,84.6
E02005529,13.5,86.5
E02005530,15.1,84.9
E02005531,16.3,83.7
E02005532,14.3,85.7
E02005533,16.3,83.7
E02005534,15.1,84.9
E02005535,18.3,81.7
E02005536,14.5,85.5
E02005537,15,85
E02005538,12.9,87.1
E02005539,14.9,85.1
E02005540,13.7,86.3
E02005541,18.4,81.6
E02005542,18.5,81.5
E02005543,21.6,78.4
E02005544,21.1,78.9
E02005545,15.9,84.1
E02005546,17.1,82.9
E02005547,16.5,83.5
E02005548,19.6,80.4
E02005549,14.5,85.5
E02005550,16.2,83.8
E02005551,9.5,90.5
E02005552,12.3,87.7
E02005553,11,89
E02005554,12.8,87.2
E02005555,16.1,83.9
E02005556,15.9,84.1
E02005557,22.4,77.6
E02005558,15.4,84.6
E02005559,18.3,81.7
E02005560,21.4,78.6
E02005561,16.8,83.2
E02005562,14.3,85.7
E02005563,15.9,84.1
E02005564,14.7,85.3
E02005565,15.3,84.7
E02005566,15.3,84.7
E02005567,15.1,84.9
E02005568,14.2,85.8
E02005569,17.6,82.4
E02005570,13,87
E02005571,12.1,87.9
E02005572,11.8,88.2
E02005573,13.9,86.1
E02005574,11.7,88.3
E02005575,14,86
E02005576,13.2,86.8
E02005577,13.6,86.4
E02005578,15.1,84.9
E02005580,14,86
E02005581,13.1,86.9
E02005582,13.4,86.6
E02005583,11.3,88.7
E02005584,19.8,80.2
E02005585,22.2,77.8
E02005586,16.4,83.6
E02005587,20.1,79.9
E02005588,34,66
E02005589,30.7,69.3
E02005592,27.7,72.3
E02005593,60,40
E02005594,20.2,79.8
E02005595,23.2,76.8
E02005596,20.1,79.9
E02005598,19.2,80.8
E02005599,18.1,81.9
E02005600,23.6,76.4
E02005601,13.3,86.7
E02005602,16.4,83.6
E02005603,20.8,79.2
E02005604,16.1,83.9
E02005605,17.1,82.9
E02005606,15.5,84.5
E02005607,16.6,83.4
E02006302,12.8,87.2
E02006303,21.7,78.3
E02006304,14.3,85.7
E02006907,14.8,85.2
E02006908,13.5,86.5
E02007032,14.2,85.8
E02007033,14.7,85.3
E02007052,14.7,85.3
E02007053,32.2,67.8
E02007054,21,79
E02007055,15.6,84.4
