areacd,has_ever_worked-001,has_ever_worked-002,has_ever_worked-003
E02002722,8.1,69.3,22.6
E02003742,8.8,74,17.2
E02003743,11.2,59,29.8
E02003744,10.9,62.1,27
E02003745,8.4,69.2,22.3
E02003746,10.8,67.1,22.1
E02003748,8.6,70.9,20.5
E02003750,8.9,69.5,21.6
E02003751,9.7,69,21.3
E02005417,9.3,71.4,19.3
E02005425,9.3,74.5,16.2
E02005426,9.1,68.3,22.6
E02005428,8.8,68.8,22.3
E02005429,6.3,77.3,16.3
E02005431,9,72,19
E02005432,10.2,74.8,15.1
E02005433,9.8,65.6,24.6
E02005435,12.3,65.3,22.4
E02005436,9.4,68.5,22.1
E02005437,15,57,28
E02005438,11.2,64.6,24.1
E02005440,10.9,68.7,20.4
E02005466,9.9,71.3,18.8
E02005467,8.8,72.9,18.3
E02005472,8.7,71.6,19.7
E02005474,9.5,71.8,18.7
E02005503,11.1,73.5,15.4
E02005504,8.4,76.2,15.5
E02005505,8.2,72.9,18.9
E02005506,9.6,74.7,15.7
E02005507,9.4,71.6,19
E02005508,9.1,74.9,16
E02005509,8.6,75.1,16.4
E02005510,7.3,77.5,15.3
E02005511,8.8,73.1,18.1
E02005512,11.1,70.4,18.4
E02005513,10.7,70.2,19
E02005514,9.7,73.6,16.7
E02005515,11,70,19
E02005520,9.5,76.8,13.6
E02005521,10.8,73.2,16
E02005522,10.6,73.7,15.6
E02005523,12.4,69.1,18.5
E02005524,10.5,75.5,13.9
E02005525,10.3,74.2,15.5
E02005526,11,71.7,17.3
E02005527,9,75.3,15.7
E02005528,9.8,76,14.2
E02005529,8,77.4,14.5
E02005530,10.1,72.3,17.6
E02005531,11.3,70.7,18
E02005532,9.8,75.2,15
E02005533,9.6,76.4,14.1
E02005534,10,75.2,14.7
E02005535,11.7,71.1,17.2
E02005536,9.5,77.2,13.3
E02005537,9.4,73.3,17.2
E02005538,10.7,71.4,17.9
E02005539,9.9,73.5,16.6
E02005540,9.2,73.7,17.1
E02005541,11.3,63.5,25.2
E02005542,13.7,59,27.2
E02005543,14,53.1,32.9
E02005544,13.7,56.2,30.1
E02005545,9,73.4,17.6
E02005546,10.8,65.7,23.5
E02005547,11.7,68.3,20.1
E02005548,10.4,64.7,24.9
E02005549,11.2,71,17.8
E02005550,11.1,69.2,19.8
E02005551,8.4,79.5,12
E02005552,10.2,75.8,14
E02005553,7.8,77.8,14.4
E02005554,8.1,78.2,13.6
E02005555,9.1,78.1,12.8
E02005556,10.9,69.4,19.7
E02005557,14.1,52.5,33.4
E02005558,9.7,72.2,18.1
E02005559,12.1,63.3,24.7
E02005560,13,59.4,27.6
E02005561,12.8,61.7,25.5
E02005562,10,73.4,16.6
E02005563,8.8,69.8,21.4
E02005564,10,72,18.1
E02005565,10.3,70.4,19.3
E02005566,9,70.3,20.8
E02005567,8.4,75.2,16.5
E02005568,9.7,73.4,16.9
E02005569,12.6,65.2,22.2
E02005570,8.9,78.5,12.7
E02005571,9.7,76.1,14.2
E02005572,9,76,15
E02005573,8.5,78.9,12.6
E02005574,9.2,77.7,13.1
E02005575,10,77.5,12.5
E02005576,9.9,75.6,14.5
E02005577,10.2,74.6,15.2
E02005578,12.6,72.4,14.9
E02005580,10.1,74.5,15.3
E02005581,11.4,74.8,13.9
E02005582,9.7,75.2,15.2
E02005583,8.4,79,12.5
E02005584,14,61.2,24.8
E02005585,13.8,57.5,28.8
E02005586,17.8,57.1,25.1
E02005587,13,64.2,22.8
E02005588,19.8,51.8,28.4
E02005589,19.1,53.1,27.7
E02005592,24.1,59.2,16.7
E02005593,32.8,38.1,29.2
E02005594,16.4,64.5,19.1
E02005595,12.4,70.8,16.8
E02005596,13,61.5,25.5
E02005598,11.4,71.7,16.9
E02005599,9.2,74.7,16.1
E02005600,10.6,69.7,19.7
E02005601,8.4,77.5,14.1
E02005602,10.4,76.8,12.8
E02005603,12.3,70.3,17.4
E02005604,10,73.5,16.6
E02005605,9.9,76.8,13.3
E02005606,10.8,75.5,13.7
E02005607,10.4,73.1,16.4
E02006302,9.8,74.4,15.8
E02006303,9.3,62.7,28
E02006304,8.8,74.5,16.7
E02006907,18.3,58,23.7
E02006908,14.6,66,19.4
E02007032,9.1,75.7,15.2
E02007033,9.7,74.3,16
E02007052,14.9,60.9,24.1
E02007053,26.2,48.1,25.7
E02007054,13.7,66.4,19.9
E02007055,8.5,72.8,18.7
