areacd,migrant_ind-000,migrant_ind-001,migrant_ind-002,migrant_ind-003
E02002722,91.7,0.2,7.8,0.4
E02003742,91.2,0.1,8.5,0.2
E02003743,89.8,0.1,9.5,0.7
E02003744,89.8,0.1,9.1,1
E02003745,91.3,0.1,8.3,0.3
E02003746,91.4,0.1,8.1,0.4
E02003748,89.6,0.1,10.1,0.3
E02003750,90.7,0.1,8.9,0.3
E02003751,90.7,0.1,9,0.2
E02005417,92.3,0.1,7.3,0.3
E02005425,90.3,0.2,9.2,0.3
E02005426,89.9,0.1,9.7,0.2
E02005428,91.2,0.1,8.4,0.3
E02005429,90.6,0,9.1,0.3
E02005431,91.3,0.1,8.1,0.5
E02005432,90.4,0.2,9,0.4
E02005433,92.1,0.1,7.8,0.1
E02005435,90.1,0.1,9.4,0.3
E02005436,90.9,0.1,8.7,0.2
E02005437,89.8,0.1,9.7,0.4
E02005438,90.3,0,9.5,0.2
E02005440,91.6,0.2,8,0.2
E02005466,91.4,0.1,8.3,0.2
E02005467,89.1,0.1,10.6,0.3
E02005472,90.8,0.1,8.8,0.3
E02005474,89.4,0,10.2,0.3
E02005503,89.5,0.2,9.9,0.4
E02005504,91.6,0.2,7.8,0.4
E02005505,90.5,0.2,9.1,0.3
E02005506,90.9,0.1,8.6,0.4
E02005507,90.8,0.1,8.7,0.4
E02005508,91.3,0.2,8.1,0.4
E02005509,90.1,0.1,9.5,0.4
E02005510,91.7,0.1,7.9,0.3
E02005511,89.7,0.1,8.9,1.3
E02005512,88.9,0.1,10.6,0.4
E02005513,88.2,0.1,11.2,0.5
E02005514,89.9,0.1,9.1,0.9
E02005515,91.1,0.2,8.4,0.3
E02005520,91.7,0.1,7.8,0.5
E02005521,90.9,0.2,8.7,0.2
E02005522,92,0.2,7.5,0.3
E02005523,91.6,0.1,8.1,0.2
E02005524,93.9,0.2,5.8,0.1
E02005525,91,0.1,8.6,0.3
E02005526,92.2,0.2,7.4,0.2
E02005527,91.4,0.2,8.1,0.3
E02005528,91.6,0.2,8,0.3
E02005529,92.8,0,7,0.2
E02005530,91.8,0.1,7.9,0.2
E02005531,93.6,0.1,5.9,0.4
E02005532,90.1,0.1,9.6,0.3
E02005533,91.4,0.2,8.2,0.2
E02005534,92.8,0.2,6.8,0.2
E02005535,89.4,0.1,9.9,0.6
E02005536,91.7,0.2,7.7,0.3
E02005537,92.8,0.1,6.8,0.3
E02005538,90.6,0.1,9.1,0.1
E02005539,90.8,0.1,8.8,0.3
E02005540,92.7,0.1,6.9,0.2
E02005541,91.6,0.1,7.8,0.5
E02005542,88.3,0,10.2,1.4
E02005543,87.5,0.1,11,1.5
E02005544,89.8,0.1,9.7,0.5
E02005545,93.6,0.1,6.1,0.2
E02005546,90.2,0.1,9.1,0.7
E02005547,90,0.1,9.1,0.8
E02005548,91.1,0.1,7.5,1.4
E02005549,92.5,0.1,7.2,0.2
E02005550,89.9,0.1,9.7,0.2
E02005551,90.3,0.1,9.3,0.4
E02005552,90.3,0.2,9,0.5
E02005553,91.5,0.1,8.1,0.3
E02005554,92.3,0,7.1,0.5
E02005555,92.3,0.2,7.3,0.2
E02005556,91.9,0.1,7.6,0.4
E02005557,89.1,0.1,10,0.8
E02005558,93.1,0.1,6.5,0.2
E02005559,91.7,0.1,7.3,0.9
E02005560,88,0.2,9.1,2.8
E02005561,87.8,0.2,11.2,0.8
E02005562,92.6,0.1,7.2,0.1
E02005563,91.8,0.1,7.9,0.2
E02005564,87.9,0.1,11.3,0.7
E02005565,91.9,0.1,7.6,0.3
E02005566,91.1,0.2,8.2,0.5
E02005567,88.8,0.1,10.4,0.7
E02005568,91.3,0,8.2,0.5
E02005569,88,0.1,9.4,2.5
E02005570,90.7,0.1,8.8,0.4
E02005571,91.1,0.3,8.2,0.4
E02005572,90.5,0.1,8.9,0.5
E02005573,87.5,0.4,11.7,0.4
E02005574,91.9,0.2,7.5,0.4
E02005575,91.3,0.2,8.3,0.2
E02005576,90.7,0.1,8.7,0.5
E02005577,90.2,0.2,9.1,0.6
E02005578,90.9,0.1,8.6,0.4
E02005580,90,0.1,9.6,0.3
E02005581,91.1,0.1,8.4,0.4
E02005582,91.3,0.1,8.4,0.2
E02005583,91.2,0.1,8.2,0.4
E02005584,90,0.4,8.8,0.8
E02005585,89,0.6,9.7,0.6
E02005586,84.9,0.9,13.2,1
E02005587,88.8,0.5,10.3,0.4
E02005588,79.2,5.4,13.6,1.8
E02005589,83.2,3.9,11.9,1.1
E02005592,78.7,4.2,15.9,1.2
E02005593,53.9,7.5,33.5,5
E02005594,81.2,2.4,15.3,1.1
E02005595,86.5,2.7,9.8,1
E02005596,90.8,0.3,8.2,0.6
E02005598,88,0.3,10.9,0.8
E02005599,88.9,0.2,10.6,0.3
E02005600,89.7,0.9,8.8,0.6
E02005601,91,0.2,8.3,0.5
E02005602,90,0.2,9.5,0.3
E02005603,88.4,0.1,11,0.4
E02005604,90.2,0.3,9.1,0.3
E02005605,92.1,0.2,7.3,0.4
E02005606,91.7,0.2,7.7,0.5
E02005607,91.4,0.2,8.1,0.3
E02006302,92.8,0.2,6.8,0.3
E02006303,92.8,0.1,6.9,0.2
E02006304,90.8,0.1,8.9,0.1
E02006907,72.1,2,23.2,2.8
E02006908,85.2,0.7,13.2,0.8
E02007032,90.9,0.1,8.8,0.1
E02007033,89.9,0.1,9.7,0.3
E02007052,84.1,1.2,13.5,1.2
E02007053,64,3.5,30,2.6
E02007054,88.4,0.1,10.6,1
E02007055,92.7,0.2,6.7,0.4
