areacd,hours_per_week_worked-001,hours_per_week_worked-002,hours_per_week_worked-003,hours_per_week_worked-004
E02002722,11.7,24.6,51.5,12.2
E02003742,9.2,19.6,58.2,13
E02003743,6.9,16.1,64.9,12.1
E02003744,8.2,17.3,63.1,11.4
E02003745,10.2,19.6,56,14.2
E02003746,11.2,17.8,58.7,12.3
E02003748,9,20,57.6,13.4
E02003750,9.6,18.7,58.9,12.8
E02003751,10.1,18.1,57,14.8
E02005417,11.4,22,50.3,16.3
E02005425,12.2,23,49.1,15.7
E02005426,9.4,22.5,56.6,11.5
E02005428,14.5,27.7,45.2,12.6
E02005429,12.3,28.3,46.7,12.7
E02005431,11.9,23.4,47.8,16.8
E02005432,13.9,22.5,46.4,17.3
E02005433,14.3,26.9,45.6,13.2
E02005435,11.5,25.3,52.2,11.1
E02005436,12,24.2,50.3,13.5
E02005437,13.2,24.6,50.8,11.4
E02005438,10.9,27.2,51.3,10.6
E02005440,13.3,24.5,47,15.2
E02005466,10.1,19,55.1,15.7
E02005467,8.3,18.9,58.6,14.2
E02005472,9,19.3,55.9,15.9
E02005474,11.1,16.7,55.8,16.4
E02005503,13,21.4,50.3,15.4
E02005504,13.3,21.4,50,15.3
E02005505,9.8,24.4,54,11.8
E02005506,12,22.6,52,13.3
E02005507,9.4,21.3,57.9,11.4
E02005508,13.1,21.3,50.5,15.1
E02005509,10.8,21.7,55.3,12.2
E02005510,12.9,21.4,51.3,14.4
E02005511,8.8,15.5,61.3,14.4
E02005512,12.3,18.7,53,15.9
E02005513,10.1,18.5,58.9,12.6
E02005514,12.2,18.5,54.6,14.7
E02005515,12.3,18.6,54.1,15
E02005520,13.2,23.3,51.9,11.6
E02005521,12.6,22.5,51.1,13.8
E02005522,12.6,21,54.6,11.8
E02005523,10.9,20.9,56.6,11.6
E02005524,11.6,22.3,55.6,10.4
E02005525,11.1,22,55.8,11.1
E02005526,11.8,22.6,55.8,9.8
E02005527,11.5,20.8,56.4,11.3
E02005528,10.7,22,58,9.3
E02005529,11,23.9,56,9.1
E02005530,10.7,21.4,58.8,9.2
E02005531,10.3,23.4,57.2,9.1
E02005532,8.8,20.4,61,9.8
E02005533,12.2,22,53.7,12.1
E02005534,11.1,22.3,57.2,9.4
E02005535,10.7,19.7,59.1,10.5
E02005536,12.3,21.8,54.3,11.6
E02005537,12.7,22.7,52.8,11.7
E02005538,13.3,23.2,51.4,12.1
E02005539,12.4,22.7,51.7,13.2
E02005540,12,24,53.6,10.5
E02005541,11.4,24.5,54.9,9.1
E02005542,10.6,21.9,58.6,8.9
E02005543,12.1,21.8,55.4,10.7
E02005544,10.4,23.5,56.7,9.3
E02005545,10.2,23.6,55.1,11.1
E02005546,11.8,24.9,54.2,9.2
E02005547,12.2,21.8,55.3,10.7
E02005548,10.9,23.5,57.1,8.5
E02005549,12.9,22.9,51.1,13.1
E02005550,10.9,22.2,54.4,12.4
E02005551,15.5,23.1,48.8,12.6
E02005552,15.2,23,46.9,14.9
E02005553,14.4,23.7,48.7,13.1
E02005554,12.9,23,52,12.1
E02005555,10.5,21.6,56.4,11.5
E02005556,8.3,21.9,60.7,9
E02005557,8.8,21.7,61.1,8.4
E02005558,11.6,22.3,52.8,13.2
E02005559,8.4,21.2,60.3,10.1
E02005560,7.5,19.9,63.6,9
E02005561,8.8,18.5,62.7,10
E02005562,11.7,21.8,53,13.5
E02005563,11.3,20.7,52.5,15.4
E02005564,9.3,17.9,58,14.8
E02005565,10.8,20.1,56.1,13.1
E02005566,11.3,18.3,54.1,16.3
E02005567,9,19,59,13
E02005568,11.8,21.6,51.4,15.2
E02005569,10,17.9,55.6,16.5
E02005570,15.5,26.2,48.4,10
E02005571,16.7,23.7,45.4,14.2
E02005572,14.8,24,52.6,8.7
E02005573,16.8,23.4,47.4,12.4
E02005574,15.1,24.1,47.5,13.3
E02005575,16.5,24.7,45.9,12.9
E02005576,14.7,23.3,49,13
E02005577,15.5,22,48.7,13.9
E02005578,13.3,21.1,52.1,13.5
E02005580,11.1,22.4,55.3,11.1
E02005581,14.3,21.5,50.2,14
E02005582,15,23.1,49.9,12.1
E02005583,15.3,23.7,48.5,12.5
E02005584,9.4,21.4,60.4,8.8
E02005585,9.8,22.9,59.5,7.8
E02005586,8.9,19.8,62.7,8.5
E02005587,10.4,24.3,58,7.3
E02005588,14.3,22.2,55.4,8
E02005589,13.2,22.2,57.5,7.1
E02005592,13.4,21.3,55.4,9.9
E02005593,26.1,24.6,42.8,6.5
E02005594,12.1,19.3,59.6,9
E02005595,13.4,21.6,53.2,11.8
E02005596,10.5,24.4,57.2,7.8
E02005598,10.2,20.4,55.8,13.6
E02005599,9.1,20.6,59.5,10.8
E02005600,13.7,20.8,49.3,16.2
E02005601,11.6,21.2,55.2,12
E02005602,11.4,21.6,54.8,12.2
E02005603,10.4,20.5,58.1,11.1
E02005604,12.3,21.6,53.2,13
E02005605,11.9,21.4,53.9,12.9
E02005606,12.2,21.5,52.1,14.2
E02005607,11,22,54.1,12.9
E02006302,13,21.3,50.4,15.3
E02006303,10.7,24.7,54.1,10.4
E02006304,11.3,22.4,55.3,11
E02006907,10,15.6,65.2,9.3
E02006908,10.3,18.2,62.6,9
E02007032,12.1,24.5,53.5,9.9
E02007033,11.3,22.4,55.7,10.6
E02007052,12.4,21.4,58.8,7.4
E02007053,16.1,17.5,57.4,9.1
E02007054,8.9,17.6,62.6,10.9
E02007055,10.9,21.4,57.4,10.3
