areacd,hh_deprivation-001,hh_deprivation-002,hh_deprivation-003,hh_deprivation-004,hh_deprivation-005
E02002722,36.7,38,19.5,5.5,0.2
E02003742,41.1,37.8,17.4,3.3,0.4
E02003743,35.1,39.5,19.7,5.3,0.4
E02003744,35.2,38.8,20.4,5.5,0.2
E02003745,43.1,35.9,16.7,4.1,0.2
E02003746,43.1,37.6,15.8,3.4,0.1
E02003748,39.5,37,19.6,3.5,0.3
E02003750,41.9,37.6,17,3.2,0.2
E02003751,45.6,37.2,14.4,2.7,0.1
E02005417,38.8,39.8,18.1,3.2,0.1
E02005425,45.2,36.4,15.5,2.9,0.1
E02005426,43.2,34.5,17.5,4.7,0.1
E02005428,28.7,36.4,27,7.5,0.4
E02005429,30.1,41.8,22.7,5.1,0.3
E02005431,37.5,39.5,18.6,4.3,0.2
E02005432,50,34.6,13.5,1.8,0.1
E02005433,24.3,41.4,26,7.8,0.5
E02005435,33.6,38.3,22.7,5.1,0.2
E02005436,41,37.3,17.4,4,0.2
E02005437,29.3,38.2,21.6,9.6,1.2
E02005438,30.8,35.3,25,8.4,0.6
E02005440,35.1,38.1,20.5,5.9,0.3
E02005466,41.5,38.8,16.5,3.2,0.1
E02005467,39.6,39.2,17.8,3.3,0.1
E02005472,38,38.1,19.6,4.2,0.2
E02005474,42.6,39.1,15.6,2.6,0.1
E02005503,50.4,35,12.2,2.3,0.1
E02005504,46.7,37.8,13.2,2.1,0.1
E02005505,44.9,36.7,14.6,3.6,0.2
E02005506,45.7,36.6,15.7,1.9,0.1
E02005507,42.8,37.1,16.2,3.7,0.2
E02005508,50.2,35.1,12.5,2.2,0.1
E02005509,42.2,37.6,16.8,3.3,0.1
E02005510,43.7,38.2,15.5,2.4,0.2
E02005511,40,40.2,16.6,3,0.1
E02005512,50.6,34.4,12.8,2.1,0.1
E02005513,47.2,35.4,14.1,3.1,0.1
E02005514,44,40.7,12.7,2.4,0.1
E02005515,50.6,35.2,12.4,1.8,0.1
E02005520,49.2,35,13.5,2.3,0.1
E02005521,50.2,35.2,12.3,2.1,0.1
E02005522,52,33,12.8,2,0.1
E02005523,52.1,34.3,11.3,2.1,0.1
E02005524,48.4,37.3,12.3,2,0
E02005525,54.9,33.1,10.4,1.6,0
E02005526,51.3,35.6,11.3,1.8,0
E02005527,55.6,31.3,11.2,1.8,0.1
E02005528,51.8,34.5,11.8,1.8,0.1
E02005529,43.6,36.9,16.6,2.8,0.1
E02005530,49,35.3,13.6,2,0
E02005531,49.6,33.4,14,2.9,0.1
E02005532,50.9,35.3,12.1,1.7,0
E02005533,50.4,33.9,13.5,2.2,0.1
E02005534,48,35.6,13.5,2.8,0.1
E02005535,59.2,30.8,8.4,1.4,0.1
E02005536,52.6,35,11,1.5,0
E02005537,44.7,38.7,14.6,2,0.1
E02005538,42.1,37.9,16.2,3.8,0
E02005539,45,36.4,15.8,2.8,0
E02005540,39.6,39,18.1,3.4,0
