areacd,english_proficiency_4a-001,english_proficiency_4a-002,english_proficiency_4a-003
E02002722,99.3,0.6,0.1
E02003742,96.2,3,0.8
E02003743,73.4,18.9,7.7
E02003744,77.1,15.4,7.5
E02003745,97.5,2,0.5
E02003746,94.9,4,1.1
E02003748,94.2,4,1.9
E02003750,96.3,2.9,0.8
E02003751,98.2,1.5,0.3
E02005417,95.5,3.5,1.1
E02005425,99.3,0.6,0.1
E02005426,99.1,0.8,0.1
E02005428,99.2,0.5,0.3
E02005429,99.2,0.7,0.1
E02005431,99,0.7,0.4
E02005432,99.1,0.8,0.1
E02005433,98.3,1.3,0.3
E02005435,96.9,2.4,0.7
E02005436,98.9,0.9,0.1
E02005437,93.2,5,1.9
E02005438,97.5,1.9,0.6
E02005440,99.2,0.6,0.2
E02005466,97.5,2,0.4
E02005467,91.6,6,2.4
E02005472,95.8,3.4,0.8
E02005474,97.2,2.2,0.6
E02005503,98.4,1.4,0.2
E02005504,98.8,1,0.2
E02005505,96.8,2.6,0.6
E02005506,98.1,1.6,0.3
E02005507,95.7,3.3,1
E02005508,99.4,0.6,0
E02005509,96.1,2.9,1
E02005510,98.6,1.2,0.3
E02005511,87.2,8.1,4.8
E02005512,95.8,3.4,0.8
E02005513,94.3,4.2,1.5
E02005514,97.7,2,0.2
E02005515,98.4,1.3,0.3
E02005520,99.2,0.8,0.1
E02005521,99.3,0.6,0.1
E02005522,99.1,0.8,0.1
E02005523,98.8,1.1,0.1
E02005524,98.9,0.9,0.2
E02005525,97.6,2,0.4
E02005526,97.6,2.1,0.3
E02005527,98.8,1,0.2
E02005528,97.6,2,0.4
E02005529,97.5,2.2,0.3
E02005530,94.8,4.3,0.9
E02005531,97.5,2.2,0.3
E02005532,96.9,2.6,0.5
E02005533,98.9,1,0.1
E02005534,98.1,1.6,0.3
E02005535,96.3,3.1,0.5
E02005536,98.5,1.3,0.1
E02005537,99.2,0.7,0.1
E02005538,98.8,0.9,0.3
E02005539,99,0.8,0.2
E02005540,98.6,1.2,0.2
E02005541,93.3,4.9,1.9
E02005542,79.8,13.5,6.7
E02005543,77.7,15.1,7.2
E02005544,88.9,8.1,3
E02005545,98.3,1.3,0.4
E02005546,96.7,2.7,0.6
E02005547,95.4,4.1,0.6
E02005548,94.8,4.8,0.4
E02005549,99.1,0.7,0.2
E02005550,98.5,1.4,0.1
E02005551,98.6,1.2,0.3
E02005552,98.9,1,0.1
E02005553,99.4,0.5,0.1
E02005554,99.3,0.7,0
E02005555,97,2.5,0.5
E02005556,95.8,3.4,0.8
E02005557,75.8,17.4,6.9
E02005558,98.1,1.5,0.5
E02005559,87.1,9.6,3.3
E02005560,81.5,15.7,2.8
E02005561,81.1,13.4,5.5
E02005562,98.6,1.1,0.3
E02005563,97.7,1.8,0.6
E02005564,98.1,1.7,0.3
E02005565,98.2,1.3,0.4
E02005566,97.7,1.9,0.5
E02005567,95.2,3.8,1
E02005568,98.7,1,0.3
E02005569,97.9,1.7,0.4
E02005570,99,0.8,0.2
E02005571,98.7,1.1,0.2
E02005572,97.3,2.4,0.3
E02005573,98.3,1.5,0.2
E02005574,99.3,0.6,0.1
E02005575,99.3,0.6,0.1
E02005576,99.1,0.7,0.2
E02005577,99.1,0.8,0.2
E02005578,99.2,0.7,0.2
E02005580,96.6,2.7,0.6
E02005581,98.6,1.2,0.3
E02005582,99.1,0.7,0.1
E02005583,99.3,0.6,0
E02005584,87.7,10,2.3
E02005585,87.6,10.2,2.3
E02005586,89.2,8.5,2.3
E02005587,94.1,4.8,1.1
E02005588,88.7,9.3,2.1
E02005589,90.4,7.7,1.9
E02005592,94.1,5.4,0.5
E02005593,89.6,9.2,1.3
E02005594,90.3,8.6,1.1
E02005595,94.1,5.3,0.6
E02005596,91.8,7,1.3
E02005598,94.6,5,0.3
E02005599,96.5,3,0.5
E02005600,98.6,1.3,0.1
E02005601,98,1.7,0.2
E02005602,98.5,1.3,0.2
E02005603,98.1,1.7,0.2
E02005604,98.7,1.1,0.2
E02005605,98.8,1,0.2
E02005606,99.1,0.7,0.2
E02005607,98.9,0.9,0.2
E02006302,98.8,1,0.2
E02006303,98.8,1,0.1
E02006304,99,0.9,0.1
E02006907,84.6,13.1,2.2
E02006908,89.6,8.9,1.6
E02007032,99.4,0.6,0.1
E02007033,98.7,0.9,0.4
E02007052,86.8,10.9,2.4
E02007053,88.7,9.9,1.4
E02007054,93.4,6,0.5
E02007055,96.1,3.3,0.5
