areacd,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E00071239,52.3,38.7,3.6,5.4
E00071240,56.3,36.1,1.7,5.9
E00071241,31.2,50.4,0.8,17.6
E00071242,34.7,19.8,28.1,17.4
E00071243,23.6,20.3,31.7,24.4
E00071244,30.6,20.7,9.1,39.7
E00071245,26.1,14.9,16.4,42.5
E00071246,21.3,27.9,18,32.8
E00071247,3.9,11,29.9,55.1
E00071248,13.1,14.3,39.3,33.3
E00071249,10.7,18.3,29.8,41.2
E00071250,7.3,6.5,29.8,56.5
E00071251,31.9,17.7,28.3,22.1
E00071252,7.2,18.1,21.7,52.9
E00071253,17.5,15,20.8,46.7
E00071254,57.5,30.7,0.8,11
E00071255,53.4,38.2,1.5,6.9
E00071256,40.5,42.2,0,17.2
E00071257,37.9,49.5,1,11.7
E00071258,19.2,16.9,9.2,54.6
E00071259,33.6,27.6,8.2,30.6
E00071260,2.7,4.4,18.6,74.3
E00071281,21.8,30.6,9.7,37.9
E00071282,54.9,39.3,0,5.7
E00071283,17.5,20.6,8.7,53.2
E00071284,18.1,14.2,23.6,44.1
E00071285,25.9,17.5,30.8,25.9
E00071286,17.6,17.6,31.1,33.6
E00071287,38,23.1,5.6,33.3
E00071288,68.1,28.6,0,3.4
E00071289,40.7,21.1,4.1,34.1
E00071290,68.7,23.9,2.2,5.2
E00071292,15.2,8.9,34.8,41.1
E00071293,12.7,5.9,57.6,23.7
E00071294,17.5,15.3,32.8,34.3
E00071295,17.6,8.4,21,52.9
E00071296,16.8,12.6,26.1,44.5
E00071297,29.9,17.1,13.7,39.3
E00071298,15.5,12.1,9.5,62.9
E00071299,41.8,41.8,1.6,14.8
E00071300,21.1,22.9,4.6,51.4
E00071301,43.1,37.1,3.4,16.4
E00071305,22,23.7,26.3,28
E00071306,27.7,37,1.7,33.6
E00071307,24.3,31.5,13.5,30.6
E00071309,46.4,40,0.7,12.9
E00071310,12,18.4,3.2,66.4
E00071312,16.7,26.8,7.2,49.3
E00071315,37.8,47.7,0,14.5
E00071324,57,26.6,10.9,5.5
E00071329,49.6,41.1,0,9.3
E00071449,46.4,27.1,6.6,19.9
E00071467,35.2,46.4,3.2,15.2
E00071468,50.8,36.2,0,13.1
E00071469,42.5,22.5,24.2,10.8
E00071471,18.8,10.2,30.1,40.9
E00071472,44.4,27.8,8.3,19.5
E00071473,27.4,25.7,21.8,25.1
E00071474,25.8,36.7,12.5,25
E00071475,49.2,24.2,10.9,15.6
E00071476,49,23.1,14.3,13.6
E00071478,17.9,20.5,35.9,25.6
E00071479,6.5,18.1,47.8,27.5
E00071480,15.3,11,66.1,7.6
E00071486,40.5,31.4,15.7,12.4
E00071503,18.4,13.8,50.5,17.3
E00071504,21.6,26.9,25.5,26
E00071505,7.1,7.9,60,25
E00071506,11.3,17.3,35.3,36
E00071507,28.8,26.7,7.5,37
E00071508,34.4,23.7,13,29
E00071509,42.7,24.5,20,12.7
E00071510,13.6,10.4,66.4,9.6
E00071511,12.5,2.9,65.4,19.2
E00071513,31.6,15.4,16.9,36
E00071516,44.3,40.3,3.4,12.1
E00071517,20.2,38,31.8,10.1
E00071519,54.4,40.4,0.9,4.4
E00071521,19.5,21.1,40.6,18.8
E00071522,35.1,31.5,9.9,23.4
E00071524,9.4,15.6,47.7,27.3
E00071527,15.9,26.1,50.3,7.6
E00071528,12.3,12.3,55.8,19.6
E00071529,15.9,19.6,44.9,19.6
E00071532,16.5,19.3,31.2,33
E00071533,8.7,19.7,44.9,26.8
E00071534,21.7,23.3,35.7,19.4
E00071536,12,12.8,21.4,53.8
E00071537,19.7,21.3,29.1,29.9
E00071538,21.6,15.1,41,22.3
E00071604,39.5,32.5,0.9,27.2
E00071606,61.7,33.9,0,4.3
E00071607,23.4,56.1,5.4,15.1
E00071608,57.1,35.7,1.6,5.6
E00071609,54.6,40,0.8,4.6
E00071611,40.7,48.3,1.7,9.3
E00071612,57.8,36.7,0.9,4.6
E00071613,36.6,38.8,5.2,19.4
E00071614,27.2,46.4,7.1,19.2
E00071615,65.9,28.5,0.8,4.9
E00071616,37.7,28.8,15.8,17.8
E00071617,56.1,36.4,1.5,6.1
E00071618,28.7,58.4,0.5,12.4
E00071621,41.2,30.7,9.6,18.4
E00071622,24.2,25.8,6.1,43.9
E00071623,18.3,7.5,58.3,15.8
E00071624,10.7,11.3,58.7,19.3
E00071625,27.4,34.1,4.4,34.1
E00071626,58.8,25.2,1.7,14.3
E00071627,34.4,13.7,40.5,11.5
E00071628,12.6,17.3,55.9,14.2
E00071629,32.7,20.6,39.3,7.5
E00071630,42.6,23.5,11,22.8
E00071631,10.7,16.4,52.5,20.5
E00071650,45.9,47.7,0,6.3
E00071651,13.8,13.8,4.9,67.5
E00071652,26,26,13.4,34.6
E00071653,33.3,20.5,11.1,35
E00071654,16.2,19.9,42.6,21.3
E00071655,15.7,26.9,25.9,31.5
E00071656,31.1,28.5,18.5,21.9
E00071657,39.4,33.8,8.1,18.8
E00071658,11.3,24.3,11.3,53
E00071659,42.3,30.8,13.1,13.8
E00071660,42.5,45.8,1.7,10
E00071661,51.9,31.8,3.9,12.4
E00071662,7.3,8.9,7.3,76.4
E00071663,17.6,23.1,16.7,42.6
E00071664,24.2,15.6,14.1,46.1
E00071665,16.8,12.8,5.6,64.8
E00071666,17.7,10.7,9.8,61.9
E00071667,22.4,19.6,23.4,34.6
E00071668,29.2,26.7,14.2,30
E00071669,22.1,27.5,24.4,26
E00071670,16.8,19.3,37,26.9
E00071671,34.9,23.8,18.3,23
E00071672,27.9,26.4,28.7,17.1
E00071673,16.8,22.4,44.8,16
E00071674,14.6,9.7,66.7,9
E00071675,45.8,46.4,0.6,7.2
E00071676,22.9,23.7,27.1,26.3
E00071677,17.9,18.7,43.1,20.3
E00071678,30.3,27,19.7,23
E00071691,17.8,11,17.8,53.4
E00071695,27.4,20.7,13.3,38.5
E00146813,38.9,22.1,34.4,4.6
E00146816,43.6,33.8,8.3,14.3
E00146817,40.3,27.6,24.6,7.5
E00146818,33.6,35.5,20.6,10.3
E00146819,24.4,26.1,11.8,37.8
E00146906,6,5,6,83
E00146907,3.7,5.6,8.4,82.2
E00146911,33.9,18.3,1.8,45.9
E00146918,46.3,18.5,9.3,25.9
E00146919,41.3,29.4,16.1,13.3
E00146920,58.3,20.4,3.9,17.5
E00146921,43.5,21.7,4.3,30.4
E00146922,15.6,11.9,5.9,66.7
E00146923,39.8,30.1,7.8,22.3
E00146951,36.9,23.8,36.1,3.3
E00146952,57.1,36.8,0,6
E00146953,33.3,28.1,26.3,12.3
E00146954,19.8,21.6,54.3,4.3
E00146955,51.8,35.1,1.8,11.4
E00146956,18.9,15.1,41.5,24.5
E00146957,37.4,7.3,35.8,19.5
E00146958,17.1,13.7,63,6.2
E00146959,38.9,31.3,4.6,25.2
E00146960,48.6,31,5.6,14.8
E00146961,47,34.8,1.5,16.7
E00146962,22.1,40,9.4,28.5
E00146964,51.7,30,0.8,17.5
E00146966,62.3,28.7,0,9
E00146967,22.6,23.1,33.7,20.7
E00146968,33.5,24.4,17.1,25
E00146969,48.7,38.3,2.6,10.4
E00146972,46.4,32.8,1.6,19.2
E00146974,17.7,13.7,48.4,20.2
E00151089,38.2,32.6,11.2,18
E00173114,14.5,22.9,30.1,32.5
E00173117,19.7,6.1,60.6,13.6
E00173128,83.6,7.3,0.9,8.2
E00174579,18.5,4.9,6.2,70.4
E00174585,83.7,4.1,0,12.2
E00187167,28.8,27.5,2.5,41.3
E00187179,8.8,60.4,28.6,2.2
E00187183,12.2,29.1,43.6,15.1
E00187205,8.4,45.4,35.3,10.9
E00187207,13.1,85,0,1.9
E00187211,6.1,26.7,16.8,50.4
E00187213,62,26.8,5.6,5.6
E00187216,51.2,29.3,1.2,18.3
E00187240,8.6,77.3,9.6,4.5
E00187261,13.1,83.7,1.3,2
E00187266,10.2,51.6,25.8,12.5
E00187278,3.8,13.8,51.6,30.8
E00187280,58.6,25.7,2.9,12.9
E00187283,14.4,43.9,29.5,12.1
E00187288,10.2,69.5,7.6,12.7
E00187299,28.9,63.2,1.5,6.5
E00187304,40.3,54.7,0,5
E00187311,17.9,68.4,3.2,10.5
E00187319,33.6,29.2,19.7,17.5
