areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00132009,0,36.3,32.7,31
E00132010,6.5,56.5,30.4,6.5
E00132014,5.6,31.5,38.7,24.2
E00132015,7.6,41.9,36.2,14.3
E00132016,8.7,41.7,33.5,16.1
E00132017,10.9,39.6,38.1,11.4
E00132018,17.8,42.9,30.1,9.1
E00132019,2.2,35.2,38.5,24.2
E00132020,6.1,32.5,39.1,22.3
E00133256,4.4,30.9,36,28.7
E00133258,6.6,33.9,39.7,19.8
E00133259,9.5,34,32.7,23.8
E00133260,6.3,42.5,36.2,14.9
E00133261,9.9,39.6,39.1,11.5
E00133262,16.5,39.8,30.1,13.6
E00133264,16.4,50,19.7,13.8
E00133265,14.5,46.8,29.6,9.1
E00133266,9,44.2,32.1,14.7
E00133267,12.4,34.3,38.7,14.6
E00133268,9.2,50.4,30.3,10.1
E00133269,6.2,29,41.4,23.5
E00133270,6.5,30.8,43,19.6
E00133271,12,40.7,32.4,14.8
E00133272,7.5,41,31.3,20.1
E00133273,2.2,28.9,37.8,31.1
E00133288,19.3,28.3,35.9,16.6
E00133289,14.3,33.3,34.9,17.5
E00133290,5.1,28.8,39,27.1
E00133291,8.6,32.8,32,26.6
E00133292,12.4,47.8,32.7,7.1
E00133293,14.5,41.3,29,15.2
E00133294,9.8,33.3,34.1,22.7
E00133305,4,26.7,50.5,18.8
E00133307,9.6,29.8,34.2,26.3
E00133316,5.6,34.4,44.4,15.6
E00133326,9.6,39.8,33.1,17.5
E00133329,9.6,42.5,35.6,12.3
E00133358,11.5,28.5,32.3,27.7
E00133359,12.3,46.4,26.8,14.5
E00133360,7.1,36.3,42.5,14.2
E00133361,4.5,33.8,38.3,23.3
E00133362,12.3,29.2,34.6,23.8
E00133363,10.7,47.9,26.6,14.8
E00133364,26.5,49.6,17.9,6
E00133365,16.1,36.6,32.1,15.2
E00133366,3.6,29.2,45.3,21.9
E00133367,7.4,46.3,37.2,9.1
E00133368,4.5,40,37.3,18.2
E00133369,16.1,47.3,29,7.5
E00133370,15.1,51.3,24.4,9.2
E00133371,13.8,41.4,31,13.8
E00133372,3.4,45.3,36.3,15.1
E00133373,9.7,44.2,29.9,16.2
E00133374,4.6,24.4,42.7,28.2
E00133376,16.2,25.7,35.1,23
E00133377,45.5,41.5,8.5,4.5
E00133378,31.1,46.2,17.6,5
E00133379,9.7,42.7,29.8,17.7
E00133380,7.3,34.1,39.7,19
E00133381,7.6,43.4,37.9,11
E00133382,36.3,42.9,15.5,5.3
E00133383,22.4,41.4,29.3,6.9
E00133384,48.1,35.7,11.9,4.3
E00133385,7.9,37.1,45.7,9.3
E00133386,17.4,46.2,29.9,6.5
E00133388,10,38.6,37.9,13.6
E00133389,15.6,41.8,31.1,11.5
E00133390,20,50.7,26.7,2.7
E00133391,4.7,40.2,44.1,11
E00133392,9.9,40.5,32.2,17.4
E00133393,5.1,41,40.2,13.7
E00133394,10.8,47.1,35,7.1
E00133395,9.5,47.6,33.3,9.5
E00133396,26.4,47.1,20.7,5.8
E00133397,13.2,43,31.6,12.3
E00133398,18.1,43,26.8,12.1
E00133399,13.5,47.6,28.6,10.3
E00133400,7.1,41.4,32.1,19.3
E00133401,38.1,35.5,20,6.5
E00133402,20.9,50.4,20.9,7.9
E00133403,40,37.4,17.9,4.6
E00133404,39.2,41.9,13.2,5.7
E00133405,26,45.3,27.1,1.7
E00133406,18.5,51.3,22.8,7.4
E00133407,22.5,51.5,22.5,3.6
E00133409,14.2,40.7,38.9,6.2
E00133410,16.4,55,22.2,6.3
E00133411,10.3,47.2,30,12.4
E00133412,6,58.6,27.8,7.5
E00133413,8.6,37.9,32.1,21.4
E00133414,11.4,44.7,30.3,13.6
E00133415,12.1,40,33.6,14.3
E00133416,21.9,40.9,25.5,11.7
E00133417,9.7,39.6,34,16.7
E00133418,19.7,39.3,27.4,13.7
E00133419,5.6,31.5,47.6,15.3
E00133420,14.8,55.7,20.8,8.7
E00133421,45.3,42.8,9.4,2.5
E00133422,59.5,31.7,7.9,0.8
E00133423,7.2,42.3,27.8,22.7
E00133424,24.6,45.8,21.2,8.5
E00133425,11.1,49,31.7,8.2
E00133426,17.3,48.9,24.5,9.4
E00133427,5.8,39.7,41.3,13.2
E00133428,20.9,43.2,27,8.8
E00133429,29.9,50.4,15,4.7
E00133430,28.9,46.1,19.5,5.5
E00133431,27.3,45.5,19.5,7.8
E00133432,33,43.6,19,4.5
E00133433,47.9,37.1,11.4,3.6
E00133434,31.6,36.8,24.3,7.4
E00133435,17.4,45,26.2,11.4
E00133436,14.7,36,40.7,8.7
E00133437,26.8,46.5,19.7,7
E00133438,6.1,35.9,37.4,20.6
E00133439,9.2,39.5,28.1,23.2
E00133440,29.5,48.3,16.5,5.7
E00133441,34.3,39.4,19,7.3
E00133442,8.9,50.8,29.8,10.5
E00133443,9.9,39.5,38.8,11.8
E00133444,4.9,43.6,38,13.5
E00133446,9,50.2,31.8,9
E00133448,11.8,39.5,35.3,13.4
E00133449,34.6,44.6,17.7,3.1
E00133450,11.5,50.5,29.8,8.3
E00133451,21.5,48.8,23.1,6.6
E00133452,10.9,40,36.4,12.7
E00133454,19.5,43.5,26,11
E00133455,17.4,43.1,28.5,11.1
E00133456,15.7,49.6,26.1,8.7
E00133457,3,35.5,36.1,25.3
E00133458,3.3,33.3,34.4,28.9
E00133459,9.9,28.9,42.3,19
E00133460,10.6,37.1,33.1,19.2
E00133461,6.5,21.8,45.2,26.6
E00133462,6,34,40.7,19.3
