areacd,english_proficiency_4a-001,english_proficiency_4a-002,english_proficiency_4a-003
E00014675,84.1,15.3,0.5
E00014676,77.9,19.1,3
E00014677,80.6,14.5,4.9
E00014678,81.2,15,3.8
E00014679,83.5,15.2,1.3
E00014680,81,15.5,3.5
E00014681,86.7,11,2.3
E00014682,83.9,13.4,2.7
E00014683,84.1,13.2,2.7
E00014684,71.6,22.7,5.8
E00014686,64.6,31.1,4.3
E00014687,75.6,18.5,5.9
E00014688,74.9,19.3,5.7
E00014689,71.4,25.1,3.5
E00014690,82.4,12.4,5.2
E00014691,71.1,22.3,6.5
E00014692,92.4,6.3,1.2
E00014693,94.9,4.7,0.3
E00014694,84.3,12.1,3.6
E00014695,95.1,4.9,0
E00014696,94,5.7,0.3
E00014697,88.4,10.3,1.4
E00014698,91.1,7.4,1.5
E00014699,83.4,13.9,2.7
E00014700,83.3,13.9,2.7
E00014701,89.5,9,1.4
E00014702,80.6,16.5,2.9
E00014703,95.2,4.8,0
E00014704,73,23.4,3.7
E00014705,85.8,11.9,2.2
E00014706,90.5,9.5,0
E00014707,87.1,10.4,2.5
E00014708,93.4,5.4,1.3
E00014709,71.3,23.6,5.1
E00014710,80.2,15.6,4.2
E00014711,91.8,5.4,2.7
E00014712,82.5,17,0.5
E00014713,92.9,5.8,1.3
E00014714,94.5,4.1,1.4
E00014715,94.5,5.5,0
E00014716,92.3,7.7,0
E00014717,82.4,14.9,2.8
E00014718,90.1,8.8,1.1
E00014719,86.2,11.9,1.8
E00014720,95.3,3.7,1
E00014721,95.3,4.7,0
E00014722,94.5,5.2,0.3
E00014723,90.1,9.4,0.5
E00014724,78.5,16.7,4.8
E00014725,87.4,9.5,3
E00014726,76.3,21.1,2.6
E00014727,88.5,10,1.4
E00014728,59,34,7
E00014729,95.1,4.9,0
E00014730,74.1,20.4,5.5
E00014731,86.3,12.9,0.8
E00014732,88.3,8.6,3
E00014733,86.7,8.4,4.9
E00014734,93.9,5.3,0.9
E00014735,82.7,11.9,5.4
E00014736,94.8,5.2,0
E00014737,82.7,14.1,3.2
E00014743,76.9,18.4,4.7
E00014750,82.2,14.3,3.5
E00014751,87,10.6,2.4
E00014801,86.1,12.5,1.4
E00014802,85.1,11.5,3.4
E00014803,90.7,8.3,1
E00014804,86.5,10.8,2.7
E00014805,91.9,5.8,2.2
E00014806,83.2,13,3.8
