areacd,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E00077179,86.2,9.9,3.9
E00077180,80.6,13.2,6.2
E00077181,84.5,11.1,4.4
E00077183,87.9,9.1,2.9
E00077184,78.2,14,7.8
E00077185,86.3,11.3,2.5
E00077186,83.5,13.2,3.4
E00077187,75,18.8,6.3
E00077188,84.9,8.1,7
E00077189,80.2,12.4,7.4
E00077190,83.1,10.9,6
E00077191,81.4,15.2,3.4
E00077192,82.8,11.9,5.3
E00077193,76.3,16.5,7.2
E00077194,88.4,8.4,3.3
E00077195,76.7,17.1,6.2
E00077196,84.7,12,3.3
E00077197,88.8,8.5,2.7
E00077198,86.9,9.2,3.9
E00077199,81,12,7
E00077200,83.8,12.6,3.6
E00077201,87.5,6.6,5.9
E00077202,68.5,23.2,8.3
E00077203,74.5,15.6,9.9
E00077204,83.9,10.6,5.5
E00077205,85.9,10,4.1
E00077206,88.9,6.6,4.5
E00077207,76.8,14.2,8.9
E00077208,81.7,13.8,4.5
E00077209,83.6,12.7,3.8
E00077210,79.7,13.5,6.8
E00077211,76.8,13.9,9.3
E00077212,73.9,18.1,8
E00077213,74.4,14.3,11.3
E00077214,77.3,15.3,7.4
E00077217,82.6,12.2,5.2
E00077218,72.4,19.2,8.4
E00077220,62.1,19.6,18.3
E00077221,85.7,8.4,5.9
E00077222,83.8,9.5,6.8
E00077223,83.8,11.3,5
E00077224,78.9,18.6,2.5
E00077225,83.9,11.6,4.5
E00077226,82.3,11.5,6.2
E00077227,76.3,12.9,10.8
E00077229,79.2,14.6,6.2
E00077230,75.3,15.7,9
E00077231,76.9,18.6,4.5
E00077232,80.6,12.7,6.7
E00077233,74.3,19.4,6.3
E00077234,82.9,11.8,5.2
E00077235,59.7,21.6,18.7
E00077236,78.4,17,4.5
E00077237,68.9,17.7,13.3
E00077239,80.7,11.9,7.4
E00077240,56.5,22.6,20.8
E00077241,75.3,13.5,11.3
E00077242,68.6,18.9,12.6
E00077244,71.3,20.5,8.2
E00077245,84.5,9.2,6.3
E00077246,67.2,22.3,10.5
E00077247,81.5,14.8,3.6
E00077248,67.9,16.6,15.5
E00077249,87.5,9.4,3
E00077250,81.1,16.6,2.3
E00077251,88.9,8.8,2.3
E00077252,86.4,11.3,2.3
E00077255,89.4,8,2.7
E00077256,81.1,13.5,5.3
E00077258,91,6.6,2.3
E00077259,79.5,11.4,9.1
E00077260,90.4,7.6,2
E00077262,87.3,8.9,3.8
E00077264,80,14.1,5.9
E00077265,81.9,14.8,3.3
E00077266,84,13.1,2.9
E00077267,61.4,24.6,14
E00077268,86.9,9.2,3.9
E00077269,82.1,14.8,3.1
E00077270,73.5,17.4,9.1
E00077271,79.8,15.8,4.4
E00077273,84.3,12.4,3.2
E00077274,83.7,11,5.3
E00077275,91.8,8.2,0
E00077276,90.8,9.2,0
E00077277,80,15,5
E00077278,78.2,13,8.8
E00077279,84.6,10.8,4.7
E00077280,83.3,12.6,4.1
E00077281,80.8,15.2,4
E00077282,76.9,15,8.1
E00077283,81.5,14.3,4.2
E00077284,76.2,19.7,4.1
E00077285,83.8,12.1,4
E00077286,83,11.5,5.4
E00077287,79.7,16,4.3
E00077288,83.4,11.1,5.4
E00077289,81.5,14.4,4.1
E00077292,82.1,11.1,6.8
E00077293,82.2,11.2,6.6
E00077294,83.2,11.7,5.1
E00077295,86.4,10.6,3
E00077296,84.5,10.4,5.1
E00077297,74.6,13.5,11.9
E00077298,60.8,22.1,17.1
E00077299,86.6,9,4.3
E00077301,81.2,14,4.8
E00077302,76.5,15.6,7.9
E00077303,81.6,12.3,6.1
E00077304,79.9,15.2,4.9
E00077305,78.6,15.6,5.8
E00077306,75.9,14,10.1
E00077307,84.7,10.2,5.1
E00077308,81.9,12.4,5.7
E00077309,79.4,15.9,4.7
E00077310,74.6,15,10.4
E00077311,76.1,18,5.9
E00077312,79.1,14.1,6.8
E00077313,82.9,11.6,5.5
E00077314,80.3,12.5,7.2
E00077315,75.7,17,7.3
E00077316,89.6,6.8,3.6
E00077317,73.2,19.9,6.9
E00077318,80.1,14.6,5.3
E00077319,84.5,12.6,2.9
E00077320,85.7,10.7,3.6
E00077321,82.9,12.1,5
E00077322,80.9,17.7,1.4
E00077323,78.2,13.3,8.5
E00077324,70.4,20.1,9.5
E00077325,86.5,9.3,4.2
E00077326,80.7,12.3,6.9
E00077327,76.2,18.2,5.6
E00077328,84.7,12.1,3.2
E00077329,80.1,12.3,7.6
E00077330,83,14.2,2.8
E00077331,78.3,15.7,6.1
E00077332,83.3,11.2,5.4
E00077333,82,13.6,4.4
E00077334,86,11,3
E00077335,82.5,13.5,4
E00077336,81.7,14.7,3.6
E00077337,81.2,15.7,3.1
E00077338,76.4,18.6,5
E00077339,82,12.6,5.4
E00077340,87.4,9.1,3.6
E00077341,83.9,11.1,4.9
E00077342,87.5,8.8,3.8
E00077343,80.4,14.8,4.8
E00077344,82.9,11,6.2
E00077345,83.3,14.6,2
E00077346,77,18,5
E00077347,75,18.4,6.6
E00077437,79.2,15.1,5.7
E00077439,85.7,10.9,3.4
E00077440,80.7,10.8,8.5
E00077441,90,7.6,2.3
E00077442,86.3,10.6,3.1
E00077443,79.8,14.4,5.8
E00077477,87.4,9.9,2.7
E00077478,81.5,12.3,6.3
E00077479,83.7,11.4,4.9
E00077481,90.7,5.5,3.8
E00077482,85.7,9.3,5
E00077483,82.1,11.8,6.2
E00077484,81.3,12.8,5.9
E00077485,82,12.7,5.3
E00077486,86.2,9.5,4.3
E00077487,87.3,10.7,2
E00077488,86.7,9.6,3.7
E00077489,83.9,10.5,5.6
E00077490,85.1,10.5,4.3
E00077491,84.2,11.6,4.1
E00077492,85.9,11.2,2.9
E00077493,82.6,13.8,3.6
E00077494,79.1,17,3.9
E00077495,87.4,9.8,2.8
E00077496,87.5,8.7,3.8
E00077497,46,38,16.1
E00077498,85.9,9.1,5
E00077499,71.1,18.1,10.8
E00077500,83.5,12.1,4.4
E00077501,77.5,16.4,6.1
E00077572,75,11.7,13.3
E00077573,80.1,14.5,5.4
E00077576,84.2,13.5,2.3
E00077577,87.5,10.5,1.9
E00077578,86.6,8.8,4.6
E00077579,83.2,13.1,3.7
E00077580,89,8.5,2.6
E00077581,84.7,11.6,3.7
E00077585,90.4,7.1,2.6
E00077589,87,8.6,4.3
E00077590,90.6,7.2,2.2
E00077591,85.3,12.2,2.4
E00077592,88.6,9.1,2.3
E00077593,86.4,10.1,3.6
E00077595,74,20.4,5.5
E00077596,84.8,11.1,4.1
E00077597,75,16.4,8.6
E00077598,89,8.6,2.4
E00077599,85.9,11,3.1
E00077600,77.8,16.9,5.3
E00077662,73.6,16,10.4
E00077663,80.5,13.4,6.1
E00077664,89.6,7.2,3.1
E00077665,83,11.6,5.5
E00077666,76.2,18.2,5.6
E00077667,77.7,15.4,6.9
E00077668,82.8,12.3,4.9
E00077669,82.6,11.9,5.5
E00077670,58.1,27,15
E00077671,61.3,21.7,17.1
E00077672,86,9.6,4.4
E00077673,75.8,16.7,7.5
E00077674,84.5,10.9,4.6
E00077675,84.8,10,5.2
E00077676,83.8,11.6,4.6
E00077677,82.4,11.2,6.4
E00077678,78.7,14.4,6.9
E00077679,86.3,10.1,3.7
E00077680,91.7,5.9,2.4
E00077681,83.7,12,4.2
E00077682,91,6.9,2.2
E00077683,83.3,14,2.7
E00077684,88.9,8.9,2.2
E00077685,85.1,12.3,2.5
E00077686,86.9,9.6,3.5
E00077687,83.4,12.2,4.4
E00077688,85.6,11.7,2.7
E00077689,90.1,5.6,4.3
E00077690,81.8,11.9,6.4
E00077691,81.2,13.1,5.7
E00077692,83.6,10.5,5.9
E00077693,88.7,8.5,2.8
E00077694,80.4,14.6,5
E00077695,81.7,14,4.3
E00077696,76.8,14.3,8.9
E00077697,69.9,25,5.1
E00077698,65.4,24.1,10.5
E00077699,84.7,13.5,1.8
E00077700,80.3,13.7,6
E00077701,90.7,6,3.3
E00077702,80.3,14.5,5.2
E00077703,84.2,11.6,4.3
E00077704,82.3,12.1,5.6
E00077705,86.7,9.2,4.1
E00077706,70.8,21.1,8.1
E00077707,84.2,13.2,2.6
E00077708,92.2,6,1.8
E00077709,83.3,11.7,5
E00077710,75.9,14.5,9.5
E00077711,51.1,31.4,17.6
E00077712,80.4,16.1,3.5
E00077713,65.6,21.9,12.6
E00077714,80,14.2,5.8
E00077715,69.4,24,6.6
E00077716,79.1,14.9,6
E00077717,83.7,9.8,6.5
E00077719,82,12.9,5.1
E00077720,63.4,20.2,16.5
E00077721,78,18.3,3.7
E00077722,88.7,8.8,2.6
E00077723,80.3,14.4,5.2
E00077725,83.2,14.5,2.2
E00077726,79.2,15.3,5.4
E00077727,83.3,12.1,4.6
E00077782,62.4,22,15.6
E00077794,86.5,10.6,3
E00077795,72.1,15.2,12.6
E00077796,84.9,11.6,3.5
E00077797,81.2,16.4,2.4
E00077798,81,11.8,7.2
E00077799,82.4,13.2,4.3
E00077800,86.7,9,4.3
E00077801,68.8,22,9.3
E00077802,79.4,15.2,5.4
E00077810,88.6,9,2.4
E00077812,88.8,9.2,2
E00077813,78,13.7,8.2
E00077814,88.9,8.7,2.4
E00077815,85.6,8.9,5.5
E00077816,71.7,19,9.2
E00077817,82.2,13.7,4.1
E00077818,81.4,14.2,4.4
E00077819,79.5,16.4,4.1
E00077820,82.2,13.6,4.2
E00077821,89,10,0.9
E00077822,85.2,11.9,2.9
E00077823,84.4,10.3,5.3
E00077824,74.4,17.7,7.9
E00077825,85.6,11,3.4
E00077826,79,16.7,4.4
E00077827,84.3,11.6,4.2
E00077828,85.9,9.5,4.6
E00077829,83.7,13.1,3.2
E00077830,87.5,9.1,3.4
E00077831,84.1,11,4.9
E00077832,84,12.3,3.7
E00077833,82.5,13.7,3.9
E00077834,85.8,12.5,1.7
E00077835,81,13.4,5.6
E00077836,86.8,9.4,3.9
E00077837,86.5,7.8,5.7
E00077871,83.3,14.8,1.9
E00077872,81.6,13.2,5.2
E00077873,69.9,19.5,10.6
E00077874,73.9,18.3,7.8
E00077875,83.9,14.4,1.6
E00077876,87.4,9.5,3.1
E00077877,75.4,17.1,7.5
E00077878,81.3,10,8.7
E00077879,76,17.2,6.8
E00077880,91.5,5.6,2.9
E00077881,59.5,30,10.5
E00077882,82.1,13.7,4.2
E00077883,83.9,12.6,3.5
E00077884,78.7,16.7,4.6
E00077885,89.1,10.1,0.8
E00077886,84.5,11.6,4
E00077887,76.3,18.4,5.3
E00077888,73.4,21.4,5.3
E00077889,81.9,13.7,4.4
E00077890,77,17.6,5.4
E00077891,86.9,10.4,2.7
E00077892,77.5,16.4,6.2
E00077893,81.8,14.9,3.3
E00077894,90.1,6.3,3.6
E00077895,85.1,10.8,4.1
E00077896,60.4,26.8,12.8
E00077897,72.6,19.4,8
E00077898,72.6,18.9,8.5
E00077899,75.8,15.6,8.6
E00077900,73.2,21.1,5.7
E00077901,77.1,19.3,3.6
E00077979,83.7,12.7,3.6
E00077980,79.9,15,5.1
E00077981,78.8,13.8,7.4
E00077982,80.1,13.1,6.8
E00077983,83,14.5,2.5
E00077984,82.3,11.3,6.4
E00077985,76.5,15.9,7.7
E00077986,72.7,20.8,6.5
E00077987,70.5,19.1,10.5
E00077989,76.6,15.2,8.2
E00077990,81.2,14.1,4.7
E00077991,79.1,14.4,6.5
E00077992,83.6,11.9,4.5
E00077993,81.8,11.7,6.5
E00077994,84.4,9.5,6.2
E00077995,83.3,12.1,4.6
E00077996,83.8,12.3,3.9
E00077997,96.8,2.6,0.6
E00077998,85.9,10.6,3.5
E00077999,76,12.8,11.2
E00078000,73,18.3,8.7
E00078001,82.1,13.2,4.7
E00078002,83.2,12.1,4.6
E00078003,79,15.6,5.4
E00078004,87.5,8.7,3.8
