areacd,sex-001,sex-002
E02001514,50.9,49.1
E02001522,51.4,48.6
E02001528,51.2,48.8
E02001530,51.6,48.4
E02001533,51.3,48.7
E02001534,50.8,49.2
E02001539,51.3,48.7
E02001540,51.6,48.4
E02001541,51.2,48.8
E02001542,50.9,49.1
E02001543,50.9,49.1
E02001544,51.3,48.7
E02001545,52,48
E02001546,39.3,60.7
E02001547,51,49
E02001548,51.5,48.5
E02001549,50.6,49.4
E02001550,52.3,47.7
E02001551,49.4,50.6
E02001552,51.1,48.9
E02001553,50.9,49.1
E02001554,52.1,47.9
E02001555,51.5,48.5
E02001556,51.5,48.5
E02001557,46.4,53.6
E02001558,52.1,47.9
E02001559,51,49
E02001560,45,55
E02001561,47.7,52.3
E02001562,52.3,47.7
E02001563,50.8,49.2
E02001564,51.5,48.5
E02001565,51.1,48.9
E02001566,49.8,50.2
E02001567,50.8,49.2
E02001568,50.8,49.2
E02001569,50.8,49.2
E02001570,51,49
E02001571,50.6,49.4
E02001572,50.3,49.7
E02001573,51.8,48.2
E02001574,51.2,48.8
E02001575,51.3,48.7
E02001576,52,48
E02001577,52.3,47.7
E02001578,50.7,49.3
E02001579,51.5,48.5
E02001580,51,49
E02001581,51.4,48.6
E02001582,51.1,48.9
E02001583,51.6,48.4
E02001585,50.5,49.5
E02001586,49.9,50.1
E02001587,51.4,48.6
E02001588,51.5,48.5
E02001589,51.2,48.8
E02001590,50.5,49.5
E02001591,50,50
E02001592,50.9,49.1
E02001593,49.7,50.3
E02001594,48.1,51.9
E02001595,50.9,49.1
E02001596,52.6,47.4
E02001597,51.7,48.3
E02001598,52.1,47.9
E02001600,50.9,49.1
E02001602,51.3,48.7
E02001603,50.8,49.2
E02001604,50.8,49.2
E02001605,51.1,48.9
E02001606,51.1,48.9
E02001607,51.1,48.9
E02001608,50.6,49.4
E02001609,51.2,48.8
E02001610,51.6,48.4
E02001628,49.8,50.2
E02001642,49.6,50.4
E02001647,51.8,48.2
E02001654,51.6,48.4
E02001655,51.3,48.7
E02001659,51.4,48.6
E02001666,50.9,49.1
E02001671,51.1,48.9
E02001673,51,49
E02001675,51,49
E02002330,52.3,47.7
E02002331,47.1,52.9
E02002334,51.6,48.4
E02002359,51.2,48.8
E02002403,52.7,47.3
E02002406,51.1,48.9
E02002417,51,49
E02002418,52.1,47.9
E02002432,51.9,48.1
E02002438,51.3,48.7
E02002439,50.3,49.7
E02002440,51.1,48.9
E02002441,51.4,48.6
E02002442,50.5,49.5
E02002447,51.2,48.8
E02002448,50.9,49.1
E02002449,51.5,48.5
E02002450,50.1,49.9
E02002452,50.1,49.9
E02002455,52.5,47.5
E02002460,52,48
E02002461,50.9,49.1
E02002464,51.1,48.9
E02002471,51.4,48.6
E02002476,50.8,49.2
E02002478,50.9,49.1
E02002479,51.1,48.9
E02002480,50.3,49.7
E02002481,50.9,49.1
E02002482,50.7,49.3
E02002653,52.2,47.8
E02002654,52.1,47.9
E02002655,52.1,47.9
E02002656,51.3,48.7
E02002657,51.3,48.7
E02002658,51.2,48.8
E02002659,51.6,48.4
E02002660,52,48
E02002661,52.3,47.7
E02002662,52,48
E02002663,51,49
E02002664,49.9,50.1
E02002665,50.3,49.7
E02002666,44.1,55.9
E02002667,49.7,50.3
E02002668,54,46
E02002669,47.3,52.7
E02002670,52.1,47.9
E02002671,46,54
E02002672,51.8,48.2
E02002673,50.8,49.2
E02002674,50.9,49.1
E02002675,46.8,53.2
E02002676,50.3,49.7
E02002677,48.2,51.8
E02002678,49.1,50.9
E02002679,51.2,48.8
E02002680,42.4,57.6
E02002681,49,51
E02002682,49.9,50.1
E02002684,52,48
E02002685,52,48
E02002686,52.5,47.5
E02002687,50.2,49.8
E02002688,49.5,50.5
E02002689,51.5,48.5
E02002691,51.1,48.9
E02002692,48.6,51.4
E02002693,50.2,49.8
E02002694,51.5,48.5
E02002695,52,48
E02002696,48.2,51.8
E02002697,49.9,50.1
E02002698,51.3,48.7
E02002699,52.4,47.6
E02002700,52.2,47.8
E02002701,50.7,49.3
E02002702,52.7,47.3
E02002703,51.4,48.6
E02002704,50.9,49.1
E02002705,51.9,48.1
E02002706,50.9,49.1
E02002707,51.6,48.4
E02002708,52.2,47.8
E02002709,45.6,54.4
E02002710,51.3,48.7
E02002711,51.1,48.9
E02002712,51.4,48.6
E02002714,50,50
E02002715,50.8,49.2
E02002716,51,49
E02002717,51.3,48.7
E02002718,51,49
E02002719,52.5,47.5
E02002720,50.2,49.8
E02002721,50.4,49.6
E02002723,50.5,49.5
E02002724,50,50
E02002725,51,49
E02002726,50.3,49.7
E02002727,49.9,50.1
E02002728,50.5,49.5
E02002729,50.2,49.8
E02002730,51,49
E02002731,50.5,49.5
E02002732,50.4,49.6
E02002733,51.2,48.8
E02002734,52.3,47.7
E02002736,49.2,50.8
E02002737,50.8,49.2
E02002738,51.2,48.8
E02002739,52,48
E02002740,50.7,49.3
E02002741,50.8,49.2
E02002743,52.2,47.8
E02002744,52.4,47.6
E02002745,51.7,48.3
E02002746,51.8,48.2
E02002747,51.3,48.7
E02002748,51.8,48.2
E02002749,50.6,49.4
E02002750,50.6,49.4
E02002751,51.8,48.2
E02002752,50.7,49.3
E02002753,51.8,48.2
E02002754,50.4,49.6
E02002755,48.2,51.8
E02002756,47.6,52.4
E02002757,50,50
E02002758,50.2,49.8
E02002759,51.2,48.8
E02002760,51.2,48.8
E02002761,50.8,49.2
E02002762,51.6,48.4
E02002763,50.9,49.1
E02002764,51.6,48.4
E02002765,51,49
E02002766,51.4,48.6
E02002767,50.9,49.1
E02002768,51.4,48.6
E02002769,50.3,49.7
E02002770,51,49
E02002771,50.8,49.2
E02002772,51.3,48.7
E02002773,52.9,47.1
E02002774,52.9,47.1
E02002775,53.9,46.1
E02002776,52,48
E02002777,50.9,49.1
E02002778,51.2,48.8
E02002779,51.5,48.5
E02002780,52.9,47.1
E02002781,53,47
E02002782,53.2,46.8
E02002783,50.7,49.3
E02002784,50.8,49.2
E02002785,51.8,48.2
E02002786,52.5,47.5
E02002787,51.9,48.1
E02002788,50.8,49.2
E02002789,51.9,48.1
E02002790,51.6,48.4
E02002791,52.4,47.6
E02002792,51.8,48.2
E02002793,51.4,48.6
E02002794,53.1,46.9
E02002795,51.4,48.6
E02005424,51.5,48.5
E02005427,51.5,48.5
E02005492,51.4,48.6
E02005493,51.2,48.8
E02005494,51.5,48.5
E02005495,49.9,50.1
E02005496,49.8,50.2
E02005497,51.8,48.2
E02005759,52.2,47.8
E02005760,50.3,49.7
E02005765,51.6,48.4
E02005776,50.3,49.7
E02005791,50.2,49.8
E02005794,50.7,49.3
E02005809,50.7,49.3
E02005810,50.2,49.8
E02005811,51.6,48.4
E02005812,51.6,48.4
E02005813,50.4,49.6
E02005814,51.7,48.3
E02005815,51.5,48.5
E02005816,50.5,49.5
E02005817,50.5,49.5
E02005818,50.2,49.8
E02005835,51.3,48.7
E02005836,50.6,49.4
E02005837,45.2,54.8
E02005838,51.5,48.5
E02006813,51.6,48.4
E02006814,51.2,48.8
E02006869,51.4,48.6
E02006891,51.2,48.8
E02006892,52.5,47.5
E02007002,51.4,48.6
E02007044,51.7,48.3
E02007045,51.3,48.7
E02007079,51.9,48.1
E02007080,49.7,50.3
E02007081,51,49
