areacd,hours_per_week_worked_3a-001,hours_per_week_worked_3a-002
E02001514,27.8,72.2
E02001522,30.2,69.8
E02001528,28.8,71.2
E02001530,26.4,73.6
E02001533,28.6,71.4
E02001534,27.6,72.4
E02001539,29.2,70.8
E02001540,27.8,72.2
E02001541,27.9,72.1
E02001542,31,69
E02001543,31.3,68.7
E02001544,31,69
E02001545,29.9,70.1
E02001546,29.4,70.6
E02001547,27.8,72.2
E02001548,28.7,71.3
E02001549,28.5,71.5
E02001550,30.7,69.3
E02001551,29.2,70.8
E02001552,29.3,70.7
E02001553,31,69
E02001554,30.1,69.9
E02001555,30.4,69.6
E02001556,31.8,68.2
E02001557,25.7,74.3
E02001558,30.1,69.9
E02001559,28.2,71.8
E02001560,28,72
E02001561,30.2,69.8
E02001562,31.3,68.7
E02001563,30,70
E02001564,27.8,72.2
E02001565,26.7,73.3
E02001566,25.2,74.8
E02001567,31.2,68.8
E02001568,29,71
E02001569,28.3,71.7
E02001570,29.3,70.7
E02001571,27,73
E02001572,28.6,71.4
E02001573,28.9,71.1
E02001574,27.8,72.2
E02001575,28.8,71.2
E02001576,26.9,73.1
E02001577,30,70
E02001578,27.5,72.5
E02001579,30,70
E02001580,30.1,69.9
E02001581,29.4,70.6
E02001582,29.3,70.7
E02001583,29.2,70.8
E02001585,30.7,69.3
E02001586,30.8,69.2
E02001587,31.4,68.6
E02001588,32.6,67.4
E02001589,27.8,72.2
E02001590,34.1,65.9
E02001591,34.7,65.3
E02001592,30.4,69.6
E02001593,33.7,66.3
E02001594,32.4,67.6
E02001595,27.3,72.7
E02001596,30.2,69.8
E02001597,28.9,71.1
E02001598,31.6,68.4
E02001600,32.9,67.1
E02001602,30.1,69.9
E02001603,28,72
E02001604,23.5,76.5
E02001605,28.4,71.6
E02001606,28.4,71.6
E02001607,31.7,68.3
E02001608,28.5,71.5
E02001609,30.4,69.6
E02001610,29.1,70.9
E02001628,38.5,61.5
E02001642,31,69
E02001647,32.2,67.8
E02001654,29.1,70.9
E02001655,32.4,67.6
E02001659,30.8,69.2
E02001666,31.2,68.8
E02001671,29.9,70.1
E02001673,29.5,70.5
E02001675,31.1,68.9
E02002330,31.4,68.6
E02002331,27.8,72.2
E02002334,30.2,69.8
E02002359,28.3,71.7
E02002403,28.4,71.6
E02002406,26.7,73.3
E02002417,26.7,73.3
E02002418,27.5,72.5
E02002432,27.7,72.3
E02002438,29.1,70.9
E02002439,24.3,75.7
E02002440,29.6,70.4
E02002441,25.5,74.5
E02002442,26.4,73.6
E02002447,27.3,72.7
E02002448,27.8,72.2
E02002449,24.6,75.4
E02002450,23.5,76.5
E02002452,24.1,75.9
E02002455,29.8,70.2
E02002460,28.9,71.1
E02002461,24.6,75.4
E02002464,27.2,72.8
E02002471,27.1,72.9
E02002476,29,71
E02002478,27.6,72.4
E02002479,30,70
E02002480,28.4,71.6
E02002481,26.5,73.5
E02002482,29.5,70.5
E02002653,34.1,65.9
E02002654,33.1,66.9
E02002655,30.9,69.1
E02002656,29.5,70.5
E02002657,29.3,70.7
E02002658,28.2,71.8
E02002659,34.3,65.7
E02002660,32.6,67.4
E02002661,32.7,67.3
