areacd,number_bedrooms_5a-001,number_bedrooms_5a-002,number_bedrooms_5a-003,number_bedrooms_5a-004
E02001514,4.1,24.9,58,13
E02001522,6.4,27.3,58.5,7.8
E02001528,4.4,30.1,54.9,10.6
E02001530,4.5,36.9,43.5,15.1
E02001533,4.6,26.1,57.6,11.7
E02001534,5.6,26.4,52.6,15.4
E02001539,3.4,18.4,69.3,8.8
E02001540,5.3,25.6,51.9,17.2
E02001541,4.8,27.6,55.6,12
E02001542,7.6,21.1,57.4,14
E02001543,6.4,26,56.8,10.9
E02001544,4,20.7,63.6,11.7
E02001545,3.8,24,52.2,20
E02001546,2.8,20.3,53.8,23.2
E02001547,5.9,10.9,71.6,11.5
E02001548,11.9,27.3,53.4,7.4
E02001549,5.1,18.8,54.8,21.3
E02001550,7.5,20.1,60.7,11.8
E02001551,8.3,28.4,55.1,8.2
E02001552,9.2,22.4,56.1,12.3
E02001553,6.7,18.2,67.5,7.5
E02001554,3.4,17.7,64.7,14.3
E02001555,3,31.8,50.2,15
E02001556,6.6,17.3,70.2,5.9
E02001557,17.8,18.1,42.3,21.8
E02001558,6.9,21.4,47.9,23.9
E02001559,1.3,18,53.1,27.6
E02001560,20,39.8,33.4,6.8
E02001561,12.4,41.5,38.8,7.4
E02001562,14,23.7,49.8,12.5
E02001563,3.9,21.6,44.7,29.8
E02001564,2.5,17.2,44.3,36
E02001565,2.1,23.3,31.1,43.5
E02001566,8.8,28.9,42.4,19.9
E02001567,7.8,20.7,61.8,9.7
E02001568,9.6,30.2,46.5,13.8
E02001569,8.5,39.5,43.5,8.5
E02001570,14,27.8,47.6,10.6
E02001571,3.9,22.5,55.4,18.2
E02001572,6.8,26.3,60.1,6.8
E02001573,4.4,16.4,69.9,9.3
E02001574,1.1,19.3,57.2,22.3
E02001575,8.2,17.2,61.2,13.5
E02001576,5.3,23,41.2,30.5
E02001577,5.6,22.7,42.2,29.5
E02001578,6.9,21.8,51.1,20.2
E02001579,8.4,23.4,53.5,14.7
E02001580,7,26.1,55.9,11
E02001581,3.3,25.1,58.1,13.4
E02001582,8.3,14.8,60.2,16.7
E02001583,4.4,24.2,63.2,8.2
E02001585,19.1,31,41.1,8.7
E02001586,16.1,32.1,46.3,5.6
E02001587,8.9,31,52.3,7.9
E02001588,10.6,20.7,64.3,4.4
E02001589,5.8,23.9,46.6,23.7
E02001590,9,25.7,59,6.3
E02001591,13.5,28.5,50.5,7.5
E02001592,5.9,26,57.3,10.8
E02001593,11.4,48.5,31.1,9
E02001594,23.6,38.7,25.8,11.9
E02001595,4.9,19.4,53.1,22.6
E02001596,6.4,25.6,54.4,13.6
E02001597,8.1,26.5,56.5,9
E02001598,6.9,21.1,57.1,14.9
E02001600,6.3,17.8,46.2,29.8
E02001602,6.2,22.1,61.6,10.1
E02001603,4.9,22.1,57.1,15.8
E02001604,3.8,21.4,48.7,26
E02001605,5.5,26.2,42.4,25.8
E02001606,4.8,21.6,58.4,15.2
E02001607,5.5,20.3,61,13.2
E02001608,1.9,23.2,53.5,21.4
E02001609,2.9,19.7,52.7,24.7
E02001610,4.1,23.9,47,25
E02001628,11.7,29,47.8,11.5
E02001642,5,35,50.6,9.4
E02001647,10.1,18.9,59.5,11.6
E02001654,6.7,14.5,63.7,15.1
