areacd,occupancy_rating_bedrooms_6a-001,occupancy_rating_bedrooms_6a-002,occupancy_rating_bedrooms_6a-003,occupancy_rating_bedrooms_6a-004,occupancy_rating_bedrooms_6a-005
E02001514,36.2,41,19.7,2.8,0.3
E02001522,33.8,40.8,22.9,2.1,0.5
E02001528,37,40.1,20.5,2.1,0.3
E02001530,33.4,41.5,22.6,2.2,0.3
E02001533,36,40.1,21.9,1.9,0.1
E02001534,37.8,40,20.4,1.6,0.2
E02001539,37.1,37.8,21.9,2.9,0.2
E02001540,38.9,38.9,20,2,0.2
E02001541,38.5,40.9,18.6,1.7,0.2
E02001542,36.1,36.8,24.2,2.7,0.2
E02001543,36.9,39.8,21.6,1.5,0.2
E02001544,40.5,39.8,17.8,1.7,0.3
E02001545,48.1,38.2,12.9,0.7,0.1
E02001546,52.7,34.1,11.8,1.3,0.2
E02001547,42.6,33.6,21.2,2.3,0.2
E02001548,28.2,38.2,30.2,3,0.3
E02001549,47.7,34.5,16.4,1.2,0.2
E02001550,39.7,36.3,21.9,1.9,0.1
E02001551,36.2,38.1,23.3,2.3,0.1
E02001552,34.6,38.2,24.5,2.5,0.2
E02001553,37.5,36.7,23.2,2.3,0.3
E02001554,48.2,35.2,15.6,0.9,0.2
E02001555,44.2,42.4,12.3,1,0.1
E02001556,34.8,35.9,25.3,3.6,0.4
E02001557,41,26.1,28.7,3.6,0.6
E02001558,51.8,31.3,16,0.9,0.1
E02001559,56.1,32.9,10,1,0.1
E02001560,18.8,33.5,39.5,6.7,1.5
E02001561,21.8,43,30.6,3.9,0.6
E02001562,34.2,33.2,29.7,2.5,0.3
E02001563,50.7,34.7,13.1,1.4,0.1
E02001564,59.3,31,8.8,0.8,0
E02001565,58.3,31.7,9,0.9,0.1
E02001566,34.3,36.3,26.1,3.1,0.3
E02001567,37.1,35.7,24,2.8,0.4
E02001568,32.3,39.9,25.9,1.7,0.3
E02001569,26.9,42.9,27.2,2.8,0.2
E02001570,30.7,38.8,28,2.3,0.2
E02001571,47.9,34.9,15.3,1.7,0.2
E02001572,33.2,40.1,24,2.2,0.4
E02001573,40.1,35.7,22,1.9,0.3
E02001574,53.1,35.5,10.8,0.5,0.2
E02001575,37.5,34.7,25.2,2.4,0.3
E02001576,49.4,33.7,15.7,1,0.2
E02001577,54.1,32.6,12.4,0.8,0
E02001578,39.5,37.8,20.4,1.9,0.3
E02001579,37.4,37,23.5,1.9,0.3
E02001580,39.9,38.5,19.8,1.6,0.2
E02001581,41.4,41.3,15.8,1.3,0.3
E02001582,44.1,32.8,21.3,1.5,0.2
E02001583,38.1,37.3,22.2,2.2,0.1
E02001585,24.7,36.7,36.1,2,0.4
E02001586,29.6,38.9,29.5,1.8,0.3
E02001587,30.7,41.7,24.4,2.7,0.6
E02001588,31.1,35.5,29.8,3.3,0.3
