areacd,national_identity_all_4a-001,national_identity_all_4a-002,national_identity_all_4a-003
E02001514,94.3,0.5,5.2
E02001522,94.9,0.7,4.4
E02001528,95.5,0.5,4
E02001530,95.2,0.5,4.2
E02001533,97.3,0.6,2.1
E02001534,95.4,0.8,3.8
E02001539,92.5,0.8,6.7
E02001540,97.6,0.3,2.1
E02001541,93.8,0.6,5.5
E02001542,96.6,0.5,2.9
E02001543,97,0.5,2.5
E02001544,96.8,0.3,2.9
E02001545,97.5,0.4,2.1
E02001546,97.5,0.8,1.8
E02001547,94.4,0.8,4.8
E02001548,91.9,0.9,7.2
E02001549,95.7,0.7,3.7
E02001550,95.9,0.8,3.4
E02001551,91.9,0.9,7.2
E02001552,90.9,1,8.1
E02001553,85.3,1.8,12.8
E02001554,97.5,0.5,2
E02001555,95.1,0.9,4
E02001556,83.6,1.8,14.6
E02001557,76.7,1.9,21.4
E02001558,98.4,0.3,1.3
E02001559,97.4,0.5,2.1
E02001560,66.6,2.1,31.3
E02001561,77.1,1.1,21.8
E02001562,92,1.3,6.8
E02001563,93.1,1.5,5.4
E02001564,97.3,0.6,2
E02001565,91.7,1.8,6.5
E02001566,81.9,1.5,16.6
E02001567,90.9,0.8,8.3
E02001568,95.9,0.6,3.5
E02001569,94.9,0.5,4.5
E02001570,97.6,0.4,2
E02001571,95.7,0.6,3.7
E02001572,91.3,1.1,7.6
E02001573,98.4,0.2,1.3
E02001574,96.4,0.6,3
E02001575,94.9,0.4,4.6
E02001576,97.1,0.6,2.3
E02001577,97.8,0.6,1.6
E02001578,97.4,0.4,2.2
E02001579,97.6,0.5,1.9
E02001580,98,0.5,1.5
E02001581,98.5,0.2,1.3
E02001582,98.5,0.2,1.3
E02001583,97.1,0.2,2.6
E02001585,95.2,0.6,4.2
E02001586,97.3,0.4,2.4
E02001587,96.7,0.4,2.9
E02001588,96,0.5,3.5
E02001589,98.5,0.3,1.2
E02001590,93.9,0.8,5.3
E02001591,84,2.1,14
E02001592,96.1,0.7,3.2
E02001593,81.4,1.8,16.8
E02001594,74.7,2.1,23.2
E02001595,98.5,0.2,1.3
E02001596,98.1,0.2,1.6
E02001597,97.2,0.3,2.4
E02001598,96,0.9,3.1
E02001600,88.3,2.1,9.6
E02001602,96,0.8,3.3
E02001603,97.3,0.4,2.3
E02001604,95,1.3,3.8
E02001605,97.5,0.6,1.9
E02001606,97.6,0.5,1.9
E02001607,97.8,0.4,1.8
E02001608,97.4,0.4,2.3
E02001609,98.4,0.4,1.3
E02001610,97.8,0.8,1.5
E02001628,75.9,2.9,21.2
E02001642,90.9,2.1,7
E02001647,95.8,0.7,3.5
E02001654,96.2,1.1,2.8
E02001655,94.4,0.8,4.9
E02001659,95.4,0.7,3.9
