areacd,accommodation_type_3a-001,accommodation_type_3a-002,accommodation_type_3a-003
E02001514,96.8,3.1,0.1
E02001522,93.4,6.6,0
E02001528,96.5,3.5,0
E02001530,94.3,5.6,0
E02001533,95,4.9,0.1
E02001534,92.4,7.4,0.2
E02001539,95.5,3.6,1
E02001540,94.4,4.7,0.9
E02001541,88.1,9.9,2
E02001542,92.2,5.6,2.1
E02001543,93.6,6.4,0
E02001544,96.6,2.1,1.3
E02001545,95.7,4.3,0
E02001546,93.5,3.2,3.3
E02001547,93.1,5.9,1
E02001548,88.7,10.5,0.8
E02001549,94.7,4.7,0.6
E02001550,93.8,6.1,0.1
E02001551,90.6,5.4,4
E02001552,87.6,12,0.5
E02001553,93.2,6.5,0.3
E02001554,96.5,3.5,0
E02001555,96.4,2.9,0.6
E02001556,90.1,9.3,0.7
E02001557,70,29.8,0.2
E02001558,96.3,3.6,0.1
E02001559,97.2,2.7,0.1
E02001560,73.3,26.2,0.4
E02001561,67.9,32.1,0.1
E02001562,92.6,7.4,0
E02001563,90.8,9.2,0
E02001564,97.7,2,0.3
E02001565,89.7,10.2,0.1
E02001566,84.5,14.7,0.8
E02001567,94,6,0
E02001568,89.6,9.3,1.1
E02001569,90.8,9.2,0
E02001570,86.8,12.9,0.3
E02001571,96.2,3.7,0.1
E02001572,92.3,6.9,0.8
E02001573,95.7,4.2,0.1
E02001574,98.1,1.9,0
E02001575,94.6,5.4,0
E02001576,91.9,8,0
E02001577,94.5,4.4,1.2
E02001578,94.3,5.7,0
E02001579,91.1,8.9,0
E02001580,89.5,10.5,0.1
E02001581,91.5,8.5,0.1
E02001582,90.7,9.2,0.1
E02001583,95.7,4.3,0
E02001585,83.5,16.5,0
E02001586,65.4,34.6,0
E02001587,90.8,9.1,0.1
E02001588,88.8,11.2,0
E02001589,93.4,6.6,0.1
E02001590,83.4,16.6,0
E02001591,83.2,16.8,0
E02001592,91.2,8.8,0.1
E02001593,78.4,21.5,0.1
E02001594,60.7,39.2,0.2
E02001595,95.9,4,0
E02001596,88.8,11.1,0.1
E02001597,90.7,9.3,0
E02001598,94.4,5.6,0
E02001600,85.8,14.2,0
E02001602,94.5,5.5,0
E02001603,92.1,7.9,0.1
E02001604,92.8,7.2,0
E02001605,93.1,6.9,0
E02001606,94.5,5.5,0
E02001607,94.3,5.6,0.1
E02001608,95.4,4.5,0.1
E02001609,96.6,3.4,0
