areacd,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E02001514,22.6,42.2,27.3,7.9
E02001522,28.3,42.9,22.4,6.4
E02001528,21.1,43.3,26.7,8.9
E02001530,29.8,39.1,24.1,6.9
E02001533,21.3,43.2,27.5,8.1
E02001534,21.7,41.3,28.1,9
E02001539,22.4,42.9,27.2,7.5
E02001540,20.3,40.3,28.8,10.6
E02001541,24,44.5,23.7,7.7
E02001542,27.8,42,21,9.2
E02001543,27,42.2,23.5,7.2
E02001544,20.6,43.6,27.3,8.5
E02001545,15.6,42.9,31.2,10.3
E02001546,13,40.4,33.9,12.8
E02001547,24.3,43.6,24.8,7.4
E02001548,35.2,42.3,16.7,5.8
E02001549,17.8,41.8,30.5,9.9
E02001550,21.5,44.7,27.2,6.6
E02001551,27.4,47,20.1,5.6
E02001552,22.4,44.6,24.8,8.2
E02001553,26.1,44.9,22.6,6.4
E02001554,17,42.4,30.6,9.9
E02001555,17.1,46.6,28.2,8
E02001556,30.9,42.3,20.9,5.9
E02001557,35.6,40.3,18.1,6
E02001558,13.9,39.2,33.3,13.6
E02001559,12.8,39.3,35.2,12.8
E02001560,49.8,36.4,10.9,2.8
E02001561,43.6,39,13.9,3.4
E02001562,27.1,41.9,23.3,7.7
E02001563,15.7,41.7,31.5,11.1
E02001564,9.4,37.9,39.1,13.6
E02001565,11,40.5,37.5,11
E02001566,28,39.9,26,6
E02001567,30.3,42,21.3,6.4
E02001568,27.5,40.2,26.3,6.1
E02001569,32.3,42.8,20.1,4.8
E02001570,36.3,40.8,17.5,5.4
E02001571,18.6,37.6,32.1,11.7
E02001572,29,43.4,22.3,5.3
E02001573,25.6,41.4,24.3,8.7
E02001574,14.2,41.3,34.7,9.9
E02001575,28.6,42.5,22.9,6
E02001576,12.2,39.3,36.6,11.9
E02001577,13.2,41.6,34,11.3
E02001578,18.2,38.2,34.1,9.5
E02001579,24.5,41.6,25.9,8
E02001580,23.4,40.9,27.2,8.5
E02001581,17.4,41.5,31.1,10
E02001582,22.8,40.2,28.1,8.9
E02001583,23.8,43.9,25.1,7.1
E02001585,35.8,38.6,19.2,6.4
E02001586,36.2,41.2,17.6,5
E02001587,32.1,39.2,21.8,6.9
E02001588,31.8,39.8,22.2,6.3
E02001589,13.8,38.4,36.9,11
E02001590,38.4,39.6,16.3,5.7
E02001591,35.4,42.6,16.2,5.8
E02001592,20.5,44.8,26.4,8.4
E02001593,41.8,38.3,15.4,4.5
E02001594,49.3,35.8,10.5,4.4
E02001595,15.4,39.4,33.3,11.9
E02001596,21.8,41.3,28.4,8.5
E02001597,31.2,40.6,21.7,6.6
E02001598,22,37,30.4,10.6
E02001600,18.1,38.9,31.2,11.9
E02001602,20.7,42.1,27.9,9.3
E02001603,21.1,38.5,30.6,9.7
E02001604,13.4,39.9,37.2,9.4
E02001605,15.3,39.4,33,12.3
E02001606,20,42.1,28.3,9.7
E02001607,20.1,42.1,28.4,9.4
E02001608,14.3,38.8,35.2,11.7
E02001609,14,38,34.9,13.2
E02001610,13,38.6,34.8,13.7
E02001628,37.6,40.6,16.5,5.3
E02001642,23.3,46,24.6,6.1
E02001647,23.7,42.7,25.8,7.8
E02001654,23.4,42.8,26.2,7.6
E02001655,28.6,42.7,22.8,5.9
E02001659,36.6,41.3,17.7,4.5
