areacd,heating_type_3a-001,heating_type_3a-002
E02002794,0.9,99.1
E02002795,0.7,99.3
E02005424,1,99
E02005427,1.3,98.7
E02005492,1.1,98.9
E02005493,0.6,99.4
E02005494,1.1,98.9
E02005495,1.7,98.3
E02005496,1.3,98.7
E02005497,0.7,99.3
E02005759,1.1,98.9
E02005760,1.2,98.8
E02005765,0.9,99.1
E02005776,1,99
E02005791,2.1,97.9
E02005794,1.3,98.7
E02005809,1.2,98.8
E02005810,1.2,98.8
E02005811,0.7,99.3
E02005812,0.6,99.4
E02005813,1.4,98.6
E02005814,0.8,99.2
E02005815,0.6,99.4
E02005816,0.6,99.4
E02005817,0.6,99.4
E02005818,0.5,99.5
E02005835,0.5,99.5
E02005836,0.7,99.3
E02005837,0.5,99.5
E02005838,0.5,99.5
E02006813,1.5,98.5
E02006814,1.1,98.9
E02006869,1.1,98.9
E02006891,0.8,99.2
E02006892,2.2,97.8
E02007002,0.7,99.3
E02007044,1.7,98.3
E02007045,1.1,98.9
E02007079,0.7,99.3
E02007080,0.6,99.4
E02007081,1.7,98.3
