areacd,hh_deprivation-001,hh_deprivation-002,hh_deprivation-003,hh_deprivation-004,hh_deprivation-005
E02001514,38.3,33.5,20.6,7.4,0.3
E02001522,32.6,35,23.4,8.7,0.2
E02001528,37.8,36.5,20.2,5.3,0.2
E02001530,36.8,35.1,20,7.7,0.3
E02001533,39.4,34.1,20.6,5.8,0.1
E02001534,44.3,32.7,17.1,5.5,0.5
E02001539,36.4,37.7,20.1,5.7,0.1
E02001540,42.9,35.1,16.7,5.1,0.1
E02001541,39.5,35.5,19.2,5.6,0.2
E02001542,35.6,35,22.1,6.8,0.4
E02001543,37.1,36.6,20.5,5.7,0.1
E02001544,40.6,36.5,18.4,4.4,0.1
E02001545,51.7,32.7,13.3,2.3,0
E02001546,49.1,34.4,14.3,2.1,0.1
E02001547,42.1,33.9,17.8,6,0.1
E02001548,36.1,35.5,21.3,6.9,0.2
E02001549,49,33.7,14,3,0.2
E02001550,44.9,34.6,16,4.5,0
E02001551,45.1,34.9,15.3,4.6,0.1
E02001552,45,33.9,16.4,4.6,0.1
E02001553,41.7,35.7,17.1,5.1,0.4
E02001554,51.5,33.6,12.5,2.3,0.2
E02001555,45.5,37.6,14.7,2.2,0
E02001556,37.6,35.8,20,6.4,0.3
E02001557,42.1,36.9,16.8,3.8,0.4
E02001558,48.2,34.4,14.9,2.6,0
E02001559,55.3,33.2,10,1.5,0
E02001560,33.3,40.6,19.1,6.2,0.7
E02001561,35.4,38.2,19.5,6.4,0.5
E02001562,39.4,35.2,19.6,5.6,0.2
E02001563,53.9,32.3,11.4,2.4,0.1
E02001564,57.1,31.6,9.9,1.4,0
E02001565,60.2,29.9,8.3,1.6,0
E02001566,47,34,13.6,5,0.4
E02001567,40.8,35,18.5,5.4,0.3
E02001568,40.5,34.7,18,6.6,0.1
E02001569,36,34.8,21.8,7.2,0.2
E02001570,34.3,33.1,22.6,9.4,0.6
E02001571,48.6,34.7,13.9,2.8,0.1
E02001572,37.3,35.9,20.6,6.1,0.1
E02001573,38.6,34.2,20.6,6.4,0.2
E02001574,51.1,31.9,14.9,2.1,0
E02001575,40,34.2,19.7,5.9,0.2
E02001576,57.5,29.9,10.3,2.2,0.1
E02001577,53.6,32.1,12.6,1.5,0.1
E02001578,47.9,31.8,15.9,4.3,0.1
E02001579,40,34,19.2,6.4,0.4
E02001580,43.4,34.8,17.3,4.4,0.1
E02001581,46,33,16.5,4.4,0.1
E02001582,42,35,18.1,4.9,0.1
E02001583,40.4,36.5,18.9,4.1,0.1
E02001585,35.8,33.6,22.4,7.9,0.3
E02001586,34.8,35.9,21.9,7.2,0.3
E02001587,35.3,32.5,22.7,9.5,0.1
E02001588,34.3,35.2,22.7,7.6,0.2
E02001589,52.4,31.8,13.7,2,0.1
E02001590,27.9,33.4,27.2,10.9,0.6
E02001591,30.1,36.5,24.5,8.3,0.6
E02001592,45.7,35.1,15.6,3.5,0
E02001593,31.4,37.9,21.2,8.8,0.7
E02001594,31.6,36,21.9,9.3,1.2
E02001595,48.8,34.1,14.7,2.3,0.1
E02001596,45.5,34.2,17.3,2.9,0.2
E02001597,36.5,34.6,22.1,6.7,0.1
E02001598,44.3,33.4,17.2,4.9,0.1
E02001600,47.7,35,13.4,3.8,0.2
E02001602,44.6,35.6,15.9,3.8,0.1
E02001603,42.1,33.6,19.2,5,0.1
E02001604,54.5,28.8,12.9,3.7,0.1
E02001605,48.6,33.4,14.7,3.2,0.1
E02001606,42.8,35.3,17,4.8,0.1
E02001607,45.7,33.5,16.9,3.7,0.2
E02001608,51.9,32.6,13.3,2.1,0
E02001609,51.1,34.1,12.6,2.1,0.1
E02001610,50.8,33.1,13.8,2.1,0.2
E02001628,27.7,37.9,24.4,9.4,0.5
E02001642,45.8,34.3,15.9,3.8,0.1
E02001647,44.3,35.1,16.4,4.1,0.1
E02001654,42.9,34.3,19.1,3.6,0.1
E02001655,37.1,36.3,19.1,6.9,0.6
E02001659,34.1,36,21.9,7.6,0.4
E02001666,42.1,32.8,19.9,5,0.2
E02001671,44,35.6,16.5,3.8,0.2
E02001673,55.6,32.3,10.3,1.8,0
E02001675,36.8,37.3,19.9,5.7,0.3
E02002330,61.4,30.2,7.3,1,0
E02002331,50.4,32.7,12.5,4.1,0.2
E02002334,58,31,9.2,1.7,0.1
E02002359,55.2,33.7,9,1.9,0.1
E02002403,51.5,32.9,12.5,2.9,0.1
E02002406,57.2,31.6,9.8,1.3,0
E02002417,51.7,32,13.4,2.8,0.2
E02002418,49.8,32.3,14.6,3.2,0.2
E02002432,51.7,32.3,13.2,2.7,0.1
E02002438,33.6,34,22.4,9.6,0.3
E02002439,41.2,35,18.2,5.4,0.1
E02002440,39.6,33.7,20,6.5,0.3
E02002441,40.7,33.6,18.7,6.6,0.3
E02002442,49.9,34.3,13,2.9,0
E02002447,39.7,35.3,19.3,5.2,0.4
E02002448,38.3,35.7,19.8,5.8,0.4
E02002449,51.7,31.8,13.9,2.5,0.1
E02002450,48.4,34.5,13.1,3.9,0.1
E02002452,41.7,33,18.1,7,0.3
E02002455,37.1,33.2,22.1,7.5,0.2
E02002460,50.5,33.8,13.3,2.2,0.1
E02002461,48.3,32.4,15.8,3.3,0.1
E02002464,39.2,35.1,18.8,6.7,0.2
E02002471,54.7,31.3,11.6,2.4,0
E02002476,35.5,32.7,23.4,8.3,0.1
E02002478,44.1,32.1,19,4.6,0.1
E02002479,36.9,34.6,21.8,6.5,0.2
E02002480,33.3,36.8,22.9,6.8,0.2
E02002481,41.7,34.6,17.7,5.9,0.2
E02002482,35.4,35.5,21.5,7.6,0.1
E02002653,26.6,35.7,26.9,10.1,0.7
E02002654,27.8,36.1,25.9,10,0.3
E02002655,33.1,35.5,23,8.1,0.3
E02002656,44.8,36.8,15.7,2.7,0.1
E02002657,43.3,36,17.3,3.3,0.1
E02002658,48.5,32,14.9,4.4,0.1
E02002659,30.5,35.5,25,8.7,0.4
E02002660,34.8,35.7,22.8,6.3,0.5
E02002661,39.3,33.6,20.6,6.4,0.1
E02002662,39.7,33.1,21.4,5.5,0.3
E02002663,48.8,35.3,13.6,2.2,0.2
E02002664,53.5,33.9,11.1,1.5,0
E02002665,52.3,33.6,12.3,1.8,0.1
E02002666,39.9,36.1,18.3,5.4,0.3
E02002667,46.9,34.3,15.2,3.5,0.1
E02002668,28.6,35.2,27,8.9,0.3
E02002669,50.2,32.2,14.3,3,0.3
E02002670,39.6,33.8,21.1,5.4,0.1
E02002671,45.3,32.5,17,4.9,0.3
E02002672,30.6,36.5,24.1,8.4,0.4
E02002673,44.6,34.9,16.2,4.1,0.2
E02002674,50.7,33.3,13.2,2.7,0.1
E02002675,29,37,25,8.3,0.7
E02002676,46.5,34.6,14.8,4,0.2
E02002677,41.6,32.5,19.6,6.2,0.2
E02002678,47.2,33.5,15.6,3.5,0.1
E02002679,48.6,33.2,15.2,2.9,0.1
E02002680,37.6,34.4,19.4,8.2,0.4
E02002681,32.2,35.5,23.5,8.4,0.4
E02002682,37.5,33.6,20.7,7.7,0.4
E02002684,40.8,39.8,16.2,3,0.1
E02002685,43.6,40.2,14.4,1.8,0.1
E02002686,31.4,34.4,25.4,8.3,0.6
E02002687,35.9,36.7,20.5,6.3,0.6
E02002688,33.4,33.1,24.7,8.2,0.7
E02002689,49.7,37,11.1,2.1,0
E02002691,51.7,36.2,10.7,1.3,0.1
E02002692,59.1,32,7.9,0.9,0
E02002693,49.1,36.1,12.6,2,0.2
E02002694,55.5,32.8,10.1,1.5,0.1
E02002695,42.4,38.8,15.8,2.9,0.1
E02002696,59,31.4,8.8,0.8,0
E02002697,53.7,34.9,10.6,0.8,0
E02002698,54,33.3,10.9,1.8,0
E02002699,61.1,30.3,7.8,0.8,0
E02002700,41,35.8,18,4.9,0.3
E02002701,56.1,32.8,9.8,1.2,0
E02002702,54.1,33.1,10.8,1.9,0.1
E02002703,60.8,30.2,7.9,1,0
E02002704,49,35.8,13.3,1.8,0.1
E02002705,55.4,33.5,9.5,1.6,0.1
E02002706,55.3,31.8,10.8,2,0
E02002707,61,30.6,7.6,0.8,0
E02002708,47.6,34.9,14.5,2.8,0.2
E02002709,49.8,36.1,12.1,1.8,0.1
