areacd,ethnic_group_tb_6a-001,ethnic_group_tb_6a-002,ethnic_group_tb_6a-003,ethnic_group_tb_6a-004,ethnic_group_tb_6a-005
E02001514,0.8,0.5,1,97.2,0.5
E02001522,0.7,0.9,1,97,0.4
E02001528,0.7,0.4,0.9,97.6,0.3
E02001530,1.2,1.2,0.9,96.3,0.4
E02001533,0.4,0.7,0.6,97.9,0.3
E02001534,0.7,0.5,0.9,97.4,0.4
E02001539,0.8,0.4,0.7,97.3,0.8
E02001540,0.7,0.3,1.1,97.6,0.2
E02001541,0.6,0.3,0.8,97.8,0.5
E02001542,0.8,0.7,0.9,97.1,0.4
E02001543,1.1,0.9,0.8,97,0.3
E02001544,1.2,0.2,0.9,97.2,0.5
E02001545,0.7,0.5,1,97.7,0.2
E02001546,3.8,1.4,1.6,92.7,0.5
E02001547,1.2,1.1,1.4,95.9,0.3
E02001548,2.1,0.9,1.6,94.9,0.5
E02001549,1.8,0.4,0.9,96.4,0.4
E02001550,0.8,0.6,1,97.1,0.4
E02001551,1.8,1.6,1.5,94.4,0.7
E02001552,2.2,0.8,1.7,94.6,0.7
E02001553,5.4,1.9,2.4,87.4,2.9
E02001554,1.6,0.3,1.3,96.6,0.3
E02001555,0.6,0.4,1.7,96.9,0.3
E02001556,8.7,1.6,1.8,84.3,3.6
E02001557,12.1,3.5,2.3,78.9,3.2
E02001558,0.5,0.2,1,98.1,0.3
E02001559,1.4,0.3,1.3,96.8,0.2
E02001560,11.1,4.1,3.7,74.1,7
E02001561,5.8,5.6,2.8,80.5,5.4
E02001562,4,1.1,1.9,91.3,1.7
E02001563,8.1,1.4,2,86.6,1.9
E02001564,1.7,0.4,1.8,95.8,0.3
E02001565,9.3,1.5,1.7,85.4,2
E02001566,4,3.5,2.5,87.5,2.5
E02001567,2.5,2.4,2,91.9,1.2
E02001568,0.5,0.6,1.3,97.1,0.5
E02001569,0.7,0.8,0.7,97.4,0.3
E02001570,0.9,0.6,1,97.4,0.2
E02001571,1.3,0.7,1.2,96.2,0.6
E02001572,0.9,1.2,0.9,96.3,0.7
E02001573,0.6,0.2,0.7,98.2,0.4
E02001574,1.1,0.5,1.2,96.9,0.3
E02001575,0.6,0.8,0.9,97.3,0.3
E02001576,2.3,0.6,2,94.7,0.3
E02001577,0.7,0.3,1,97.7,0.3
E02001578,1,0.9,1.1,96.7,0.4
E02001579,0.9,0.6,1.5,96.6,0.4
E02001580,0.7,0.5,0.9,97.4,0.4
E02001581,1.2,0.8,1.1,96.8,0.2
E02001582,1.1,0.3,0.9,97.4,0.2
E02001583,1.3,0.6,1.7,96,0.4
E02001585,2.2,1.6,1.7,93.6,0.8
E02001586,0.8,1.1,1.7,95.9,0.5
E02001587,1.3,1,1.6,95.5,0.7
E02001588,1.3,2.6,2,93.8,0.3
E02001589,1.2,0.4,1,97.3,0.2
E02001590,7.9,2.2,2.1,86.5,1.3
E02001591,22.2,3.6,2.7,66.5,5
E02001592,2,1.1,1.5,95.2,0.3
E02001593,25.1,2.8,2.3,64,5.8
E02001594,21.5,4.1,2.7,64.4,7.4
E02001595,0.9,0.2,0.6,97.9,0.3
E02001596,1.2,0.3,1,97.3,0.2
E02001597,0.9,0.4,1,97.3,0.4
E02001598,8.2,0.9,1.6,88.5,0.8
E02001600,36.6,1.3,1.8,57,3.3
E02001602,4.5,1.4,1.5,91.7,1
E02001603,1.1,0.9,1.1,96.7,0.2
E02001604,4.9,2.1,2.4,89.9,0.7
E02001605,0.5,0.8,1.8,96.8,0.1
E02001606,1,0.6,0.8,97.3,0.3
E02001607,1.5,0.8,1.2,96.2,0.3
E02001608,1.5,0.8,1.4,95.8,0.5
E02001609,0.7,0.4,0.8,97.8,0.3
E02001610,1.1,0.6,1.1,97.1,0.2
E02001628,52,6.8,3.4,30.3,7.4
E02001642,20.2,2.8,3.3,71.4,2.3
E02001647,7.6,1.6,3.2,86.4,1.2
E02001654,2,3.5,2.3,91.4,0.8
E02001655,3,4.1,3.8,88.3,0.8
E02001659,2.3,2.7,3.6,90.8,0.5
E02001666,1.7,0.8,3,94.1,0.3
E02001671,2.3,1.1,1.4,94.6,0.6
E02001673,1.3,0.7,1.1,96.7,0.1
E02001675,1.7,1.9,2.4,93.5,0.5
E02002330,1,0.4,1.2,97.2,0.2
E02002331,2.1,1,1.9,94.8,0.2
E02002334,0.7,0.6,1.4,96.9,0.3
E02002359,1.6,0.5,1.6,96.1,0.2
E02002403,1.2,1.2,2,95.5,0.2
E02002406,0.8,0.3,1.2,97.5,0.2
E02002417,0.5,1,1.2,97,0.2
E02002418,0.8,0.5,1,97.5,0.2
E02002432,1,0.6,1.7,96.5,0.2
E02002438,0.8,1.3,1.1,96.4,0.3
E02002439,1.7,0.6,1.3,96,0.5
E02002440,0.6,1.1,0.8,97.4,0.1
E02002441,1.4,0.7,1.1,96.3,0.4
E02002442,1.8,0.6,1.2,96.1,0.3
E02002447,1,0.4,0.7,97.4,0.4
E02002448,0.6,0.9,1,97.2,0.2
E02002449,1.4,0.6,1.3,96.4,0.2
E02002450,2.4,1.1,0.9,95.2,0.3
E02002452,2.9,1,1.4,94.3,0.5
E02002455,0.9,0.6,0.8,97.4,0.3
E02002460,0.9,0.3,1,97.6,0.2
E02002461,1.6,0.8,1.2,96.2,0.4
E02002464,1.1,0.6,1.1,96.9,0.3
E02002471,1.1,0.3,1.3,97.1,0.3
E02002476,1.3,1.3,1.9,95.2,0.2
E02002478,0.4,0.5,1,97.8,0.3
E02002479,0.6,0.4,0.9,97.8,0.2
E02002480,0.5,0.7,0.9,97.6,0.2
E02002481,0.5,1.2,1.1,96.6,0.6
E02002482,0.3,0.3,0.9,98.3,0.2
E02002653,0.4,0.8,1.7,96.7,0.4
E02002654,1.3,2.8,1.4,92.4,2.1
E02002655,0.4,0.9,0.9,97.5,0.4
E02002656,1.4,0.5,1,95.9,1.1
E02002657,0.9,0.4,0.9,97.3,0.4
E02002658,0.4,0.3,0.7,98.5,0.2
E02002659,2,3.2,2.2,89.2,3.4
E02002660,0.5,0.9,0.9,97.4,0.4
E02002661,0.7,0.4,1.3,97.2,0.4
E02002662,0.7,0.5,1.3,97.4,0.1
E02002663,7.1,4.5,2.9,83.1,2.4
E02002664,0.4,0.3,0.7,98.5,0.2
E02002665,3.3,1.4,1.6,92.3,1.3
E02002666,6.2,7,2.8,78.9,5.2
E02002667,1.5,0.7,1.3,95.6,0.8
E02002668,0.7,1.5,1.1,96,0.7
E02002669,5.7,2.6,3.1,86.2,2.4
E02002670,1.6,0.4,1.4,95.4,1.2
E02002671,1.9,1,1.4,95.2,0.5
E02002672,0.7,0.8,1.1,96.9,0.5
E02002673,3,0.7,0.9,94.7,0.7
E02002674,0.7,0.4,0.9,97.6,0.3
E02002675,10.6,4.4,3.3,75,6.7
E02002676,5,1.3,2.5,88.3,2.9
E02002677,5.4,1.6,1.7,89.2,2.1
E02002678,3.3,2.1,1.8,91,1.7
E02002679,1.6,0.7,1,95.7,1
E02002680,7.9,6.5,2.9,73.8,9
E02002681,7.3,5.4,3,80.1,4.2
E02002682,2.5,1.6,2,92,1.9
E02002684,0.5,0.1,0.6,98.7,0.1
E02002685,0.5,0.1,0.5,98.7,0.2
E02002686,1,0.1,1.2,97.5,0.2
E02002687,0.9,0.2,0.9,97.4,0.6
E02002688,1.5,0.3,1,96.4,0.9
E02002689,0.9,0.1,0.4,98.3,0.2
E02002691,0.3,0.1,0.7,98.7,0.1
E02002692,1.5,0.7,1.2,96.2,0.4
E02002693,0.4,0.1,0.4,99.1,0.1
E02002694,0.9,0.3,0.9,97.6,0.3
E02002695,0.4,0.2,1.1,98.1,0.2
E02002696,1.7,1.2,1.2,95.5,0.4
