areacd,legal_partnership_status_3a-001,legal_partnership_status_3a-002
E02001514,40.2,59.8
E02001522,38.6,61.4
E02001528,44.3,55.7
E02001530,38.7,61.3
E02001533,42.4,57.6
E02001534,42.1,57.9
E02001539,43.5,56.5
E02001540,45.8,54.2
E02001541,44.3,55.7
E02001542,40.4,59.6
E02001543,42.7,57.3
E02001544,44.5,55.5
E02001545,51.9,48.1
E02001546,41.8,58.2
E02001547,39.1,60.9
E02001548,33.2,66.8
E02001549,49.5,50.5
E02001550,42.2,57.8
E02001551,38.7,61.3
E02001552,40.4,59.6
E02001553,42.8,57.2
E02001554,49.5,50.5
E02001555,53.5,46.5
E02001556,40.8,59.2
E02001557,37.6,62.4
E02001558,53.9,46.1
E02001559,53.1,46.9
E02001560,28.4,71.6
E02001561,34.1,65.9
E02001562,41.2,58.8
E02001563,52,48
E02001564,57.7,42.3
E02001565,57.9,42.1
E02001566,38,62
E02001567,39.8,60.2
E02001568,40.6,59.4
E02001569,36,64
E02001570,35.7,64.3
E02001571,50.9,49.1
E02001572,39.7,60.3
E02001573,42.6,57.4
E02001574,53.2,46.8
E02001575,36,64
E02001576,47.4,52.6
E02001577,54.7,45.3
E02001578,43.4,56.6
E02001579,43.8,56.2
E02001580,44.7,55.3
E02001581,46.3,53.7
E02001582,43.6,56.4
E02001583,41.9,58.1
E02001585,35.9,64.1
E02001586,35.8,64.2
E02001587,37.4,62.6
E02001588,37.6,62.4
E02001589,51.5,48.5
E02001590,33.3,66.7
E02001591,39.4,60.6
E02001592,46.8,53.2
E02001593,35.8,64.2
E02001594,35,65
E02001595,50.7,49.3
E02001596,48.9,51.1
E02001597,37,63
E02001598,48.8,51.2
E02001600,52.9,47.1
E02001602,48,52
E02001603,45.2,54.8
E02001604,46.4,53.6
E02001605,47.5,52.5
E02001606,43.6,56.4
E02001607,47.1,52.9
E02001608,51.7,48.3
E02001609,54,46
E02001610,52.8,47.2
E02001628,49.3,50.7
E02001642,45.2,54.8
E02001647,46.3,53.7
E02001654,45.9,54.1
E02001655,40,60
E02001659,35.1,64.9
E02001666,42.1,57.9
E02001671,52.3,47.7
E02001673,54.8,45.2
E02001675,43.5,56.5
E02002330,61.9,38.1
E02002331,41.1,58.9
E02002334,55.9,44.1
E02002359,55.5,44.5
E02002403,44.4,55.6
E02002406,56.8,43.2
E02002417,46.7,53.3
E02002418,49.1,50.9
E02002432,47.1,52.9
E02002438,38.3,61.7
E02002439,34.8,65.2
E02002440,46.1,53.9
E02002441,39.8,60.2
E02002442,46.6,53.4
E02002447,41.8,58.2
E02002448,38.1,61.9
E02002449,48.1,51.9
E02002450,45.8,54.2
E02002452,37.3,62.7
E02002455,39.8,60.2
E02002460,53.4,46.6
E02002461,44.8,55.2
