geography_code,hh_tenure_5a-000,hh_tenure_5a-001,hh_tenure_5a-002,hh_tenure_5a-003
E00039619,30.5,36.4,0.6,32.5
E00039620,34.5,35.8,0.7,29.1
E00039622,42.7,38.2,1.8,17.3
E00039624,27,38.4,4.4,30.2
E00039625,48.4,19.5,25.2,6.9
E00039626,35,38.9,2.5,23.6
E00039627,40.2,26.8,21.3,11.8
E00039628,58.3,26,0,15.6
E00039629,31.2,29.2,13,26.6
E00039630,44.9,47.1,0.7,7.4
E00039631,30.2,43.4,0.9,25.5
E00039632,36.9,50.8,1.6,10.7
E00039633,31.7,45.5,3.3,19.5
E00039634,41,36,11.8,11.2
E00039635,50,38.6,3,8.4
E00039636,24.5,24.5,0.7,50.4
E00039637,50,29.4,11.8,8.8
E00039638,58.9,38.4,0.7,2
E00039639,41.4,41.4,3.9,13.3
E00039640,31.4,28,33.9,6.8
E00039645,19.6,15.9,60.9,3.6
E00039646,50,45.2,0,4.8
E00039648,36.8,30.8,24.1,8.3
E00039649,46,31,21.2,1.8
E00039650,57.7,37.6,1.3,3.4
E00039651,44.7,51.3,0.7,3.3
E00039652,62.8,34.9,0,2.3
E00039666,24.5,32.5,5.3,37.7
E00039667,43.7,23.2,24.6,8.5
E00039668,51.8,44.6,0,3.6
E00039669,46.6,37.2,6.8,9.5
E00039670,35.2,32.7,5.7,26.4
E00039671,43.5,42.7,4,9.7
E00039672,45.3,34,9.3,11.3
E00039673,32.4,30.8,10.3,26.5
E00039674,19.8,34.7,38,7.4
E00039675,45.2,41.2,7.7,5.9
E00039676,30.7,41.2,20.2,7.9
E00039677,31.3,37.5,17.2,14.1
E00039678,41.6,39,5.2,14.3
E00039679,20.2,38.4,17.2,24.2
E00039680,45,49.2,0.8,5
E00039681,36.2,41.4,10.3,12.1
E00039682,52.6,38.9,1.1,7.4
E00039691,52.5,32.8,5.7,9
E00039695,53,41.7,0,5.2
E00039697,43.7,38.5,6.7,11.1
E00039698,25.4,34.2,33.3,7
E00039700,45.7,36.2,7.2,10.9
E00039703,44.4,41.9,0,13.7
E00039705,28.4,24.1,29.1,18.4
E00039707,49.6,36.5,7.8,6.1
E00039708,40.4,46.8,3.7,9.2
E00039710,42.4,36.8,2.1,18.8
E00039713,32.3,30.8,26.2,10.8
E00039714,42.9,45,1.4,10.7
E00039716,47.4,41.6,2.9,8
E00039717,34.5,45.1,15.9,4.4
E00039718,20.3,28.9,42.2,8.6
E00039719,64.7,27.1,0.8,7.5
E00039720,49.2,46.7,0.8,3.3
E00039721,45.9,31.8,12.2,10.1
