areacd,economic_activity_status_4a-001,economic_activity_status_4a-002,economic_activity_status_4a-003
E02002985,59.5,2.6,37.9
E02002986,62.5,2.1,35.4
E02002987,56.8,1.7,41.5
E02002988,58.9,2.4,38.7
E02002989,58,2,40
E02002990,63.3,3.3,33.4
E02002991,54.1,3.5,42.4
E02002992,57.9,2.8,39.3
E02002993,50.9,5.3,43.8
E02002994,55.9,1.9,42.2
E02002995,54.9,4.6,40.6
E02002996,37,3.6,59.4
E02002997,44.2,4.8,50.9
E02002998,44.9,3.2,51.9
E02002999,56.3,3.1,40.7
E02003000,55,1.7,43.4
E02003001,58.4,2.4,39.2
E02003002,54.2,2.9,42.9
E02003003,57.7,3,39.2
E02003004,64.3,1.9,33.8
E02003005,58.7,2,39.3
E02003006,54.5,3.9,41.6
E02003007,61.2,2.1,36.8
E02003008,62.7,2.8,34.5
E02003009,61.4,2.3,36.3
E02003010,64.4,2.3,33.3
E02003011,56.8,2.3,40.9
E02003012,60.1,2.7,37.1
E02003013,58.6,4.1,37.2
E02003014,57.8,3.8,38.5
E02003015,63.3,3.5,33.1
E02003016,60,4.5,35.6
E02003017,57.8,1.8,40.4
E02003018,58.6,2.6,38.8
E02003019,62.2,2.9,35
E02003020,54.1,1.8,44.1
E02003021,63.7,3.7,32.6
E02003022,58.2,1.6,40.2
E02003023,51.4,3.8,44.8
E02003024,57.5,3.6,38.8
E02003025,60.5,3.5,36
E02003026,41.8,3.6,54.6
E02003027,67.8,3.6,28.6
E02003028,64.7,3,32.3
E02003029,58.8,4.3,37
E02003030,64.3,4.2,31.5
E02003031,66.2,3.7,30.1
E02003032,64.1,3.3,32.6
E02003033,54.8,4.4,40.8
E02003036,58.3,5,36.7
E02003037,61.1,3.7,35.3
E02003038,66.2,2.7,31.1
E02003039,64.2,3.3,32.5
E02003040,73.3,3.1,23.6
E02003041,60.8,3.2,36
E02003044,66.8,2.5,30.7
E02003045,54.3,5.2,40.6
E02003046,71,2.8,26.2
E02003047,73.7,2.9,23.4
E02003048,75.5,2.9,21.6
E02003049,64.3,2.9,32.8
E02003050,72.3,2.9,24.8
E02003051,71,3.6,25.3
E02003052,70,2.2,27.9
E02003053,65.9,2.9,31.2
E02003054,65.6,2.6,31.8
E02003055,59.8,3.9,36.3
E02003056,56.1,3.7,40.2
E02003057,64.1,1.7,34.2
E02003058,60.5,2.2,37.2
E02003059,62.5,2.7,34.9
E02003060,58,2.3,39.7
E02003061,56.7,3.8,39.5
E02003062,54.9,4.2,41
E02003063,57.9,1.5,40.6
E02003064,50.9,4.8,44.3
E02003065,59.8,2.3,37.9
E02003066,53.6,1.9,44.6
E02003067,62,1.8,36.2
E02003068,58.6,1.8,39.6
E02003070,60.5,1.9,37.6
E02003072,53.1,1.6,45.3
E02003073,55.1,1.4,43.5
E02003075,58.6,2.2,39.2
E02003077,59.5,1.9,38.6
E02003088,52.1,1.5,46.4
E02003090,58.1,1.9,40
E02003091,57.1,2,41
E02003092,62.6,2,35.4
E02003093,53.4,1.8,44.8
E02003094,62,2.2,35.7
E02003095,65.3,2,32.8
E02003096,62.8,2.4,34.8
E02003097,54.7,1.9,43.4
E02003098,75.2,2.7,22.1
E02003099,60.4,1.8,37.8
E02003101,72.7,2.2,25.1
E02003102,59.3,1.7,39.1
E02003103,68.9,2,29.1
E02003104,63.5,2.5,34
E02003105,56.4,2.1,41.5
E02003107,58.6,4.1,37.3
E02003108,63.4,2.2,34.4
