areacd,hh_language-001,hh_language-002,hh_language-003,hh_language-004
E02002985,96.9,1.8,0.3,1
E02002986,96,1.9,0.5,1.6
E02002987,96.9,1.4,0.5,1.2
E02002988,94.2,2.7,0.8,2.3
E02002989,90.9,4.1,1.2,3.8
E02002990,88.7,4.8,1,5.4
E02002991,88.2,4.9,0.8,6.1
E02002992,92.1,3.7,0.9,3.3
E02002993,87.6,4.9,0.5,6.9
E02002994,96.6,2.3,0.4,0.7
E02002995,91.1,3.1,0.9,5
E02002996,89.1,6.5,0.4,4
E02002997,87.6,5.6,0.9,5.9
E02002998,90.8,6,0.8,2.5
E02002999,93.3,2.7,0.9,3.1
E02003000,97.9,1.2,0.2,0.6
E02003001,94.3,3.6,0.4,1.8
E02003002,92.3,3.7,1.1,2.8
E02003003,89.5,5.2,1,4.4
E02003004,97.3,1.6,0.4,0.7
E02003005,98.7,0.8,0.1,0.4
E02003006,96.1,1.9,0.7,1.3
E02003007,97.8,1.2,0.3,0.7
E02003008,96.7,1.7,0.5,1.1
E02003009,97.9,1,0.3,0.8
E02003010,97.2,1.4,0.4,1.1
E02003011,98.1,0.8,0.4,0.7
E02003012,85.9,4.3,2.4,7.4
E02003013,82.1,6.3,3,8.7
E02003014,85.6,3.6,3.5,7.4
E02003015,85.4,6.5,2,6
E02003016,82.1,8.8,2.2,6.9
E02003017,93.9,3.4,0.7,2.1
E02003018,92.7,3.5,1.2,2.6
E02003019,87.5,3.8,1.4,7.2
E02003020,93.5,3.5,0.9,2.2
E02003021,89.4,5.8,1,3.8
E02003022,94.4,3,0.5,2.1
E02003023,87.4,6.9,1.4,4.3
E02003024,85.5,7,1.5,6
E02003025,83.9,8.4,2.1,5.6
E02003026,92.9,4.1,0.8,2.2
E02003027,91.2,4.9,0.7,3.3
E02003028,91.5,4.8,0.7,3.1
E02003029,85.6,6.8,2.4,5.2
E02003030,82.8,8.2,1.2,7.7
E02003031,90.4,5.1,0.2,4.2
E02003032,83.9,6.6,2.3,7.2
E02003033,89.1,5.8,0.6,4.5
E02003036,83.8,6.4,1.1,8.8
E02003037,87.5,6.3,0.7,5.5
E02003038,87.5,4.4,1.3,6.8
E02003039,86.6,5.8,1.6,6
E02003040,85.3,5.5,1.5,7.7
E02003041,90.4,4.6,0.5,4.6
E02003044,92.8,2.5,1,3.8
E02003045,89.1,5.8,0.6,4.5
E02003046,90.3,3.9,1.3,4.5
E02003047,91.4,5,0.6,3
E02003048,88.7,6,0.6,4.7
E02003049,92.1,3.2,0.8,3.9
E02003050,86.3,5.2,1.1,7.5
E02003051,88.1,6,1.7,4.2
E02003052,94.6,2.8,0.4,2.2
E02003053,92.4,3.7,0.8,3.1
E02003054,92.1,3.5,0.9,3.5
E02003055,88.7,5.1,1.8,4.3
E02003056,89.6,3.8,1.5,5.2
E02003057,95,2.2,0.5,2.4
E02003058,93.4,2.6,0.8,3.2
E02003059,94.1,2,1,2.8
E02003060,95,2,1,2
E02003061,93.8,2.4,1,2.8
E02003062,93.1,2.5,1.4,3
E02003063,96.9,1.2,0.2,1.7
E02003064,92.6,2,1.4,4
E02003065,95,2.1,0.7,2.2
E02003066,97.7,1.3,0.4,0.6
E02003067,95.6,2.2,0.5,1.7
E02003068,96.1,2.3,0.5,1.1
E02003070,97,1.8,0.4,0.9
E02003072,98,0.7,0.2,1.1
E02003073,97.3,1.5,0.5,0.8
E02003075,96.9,1.8,0.3,1.1
E02003077,98.2,1.3,0.1,0.4
E02003088,97.9,1.4,0.2,0.6
E02003090,96.1,1.9,0.5,1.5
E02003091,97.2,1.3,0.5,1
E02003092,98.2,1.2,0.2,0.4
E02003093,97.9,1.2,0.3,0.5
E02003094,94.2,2.4,0.6,2.7
E02003095,96.7,1.2,0.4,1.6
E02003096,95.7,1.8,0.5,2
E02003097,98,1.3,0.1,0.6
E02003098,84.9,4.4,2.2,8.4
E02003099,96.4,1.2,0.7,1.7
E02003101,84.7,4.6,2.6,8.1
E02003102,97.1,1.6,0.4,0.8
E02003103,95.4,1.8,0.8,2
E02003104,92.8,2.8,1.1,3.3
E02003105,97.2,1.7,0.3,0.8
E02003107,86.4,5.8,1.3,6.5
E02003108,94.9,2.3,0.8,2
E02003109,96.2,2.3,0.3,1.3
E02003110,93.3,2.8,1.3,2.7
E02003111,95.4,2.6,0.2,1.8
E02003112,95.4,2.1,0.8,1.7
E02003113,98.2,1.2,0.1,0.5
E02003114,95.1,2.1,0.5,2.3
E02003115,92.2,2.7,0.9,4.2
E02003116,93.5,2.3,0.9,3.3
E02003117,93.3,2.4,0.9,3.4
E02003118,95.9,1.6,0.5,2.1
E02003119,97.4,1,0.3,1.3
E02003120,96.6,1.8,0.4,1.2
E02003121,97.9,0.9,0.2,1
E02003172,95.8,2.1,0.7,1.4
E02003173,95.1,2.2,1,1.7
E02003174,94.3,2.7,0.8,2.2
E02003175,90.9,4.4,2.3,2.4
E02003176,93,2.7,1.3,3
E02003177,92.1,3.6,1.6,2.7
E02003178,92.7,3.5,1,2.8
E02003179,89.3,4.7,2.2,3.9
E02003180,85.3,6.8,1.7,6.2
E02003181,88.5,5.5,1.9,4.1
E02003182,90.9,4.2,1.2,3.6
E02003183,88.9,5.6,1.2,4.3
E02003194,97.9,1.5,0.2,0.4
E02003195,95.2,2.4,1,1.4
E02003196,97.4,1.7,0.2,0.8
E02003197,95.4,2.5,0.8,1.4
E02003198,94.5,2.4,0.9,2.2
E02003199,96.3,1.8,0.8,1
E02003200,91.3,3.1,1.8,3.8
E02003201,90.8,3.7,1.4,4.1
E02003214,93.5,2.3,1.3,3
E02003215,95.3,1.7,0.7,2.3
E02003216,93.6,2.3,0.7,3.4
E02003217,91.5,2.8,1.4,4.3
E02003218,92,3.1,1.2,3.7
E02003219,94,2.2,1.3,2.5
E02003220,94,2.4,0.9,2.6
E02003221,81.9,6.6,2.8,8.8
E02003222,92,2.3,1.5,4.3
E02003223,82.8,4.7,2.3,10.1
E02003224,95,1.6,0.9,2.4
E02003225,86.4,4,1.9,7.7
E02003226,68.8,11.2,3.8,16.2
E02003227,85,5.2,2.6,7.2
E02003228,81.4,7.5,3.2,7.9
E02003229,90.1,3.5,1.5,5
E02003230,76.6,6.2,2.1,15.2
E02003231,85,4.4,2.7,7.9
E02003232,86.7,4.8,1.4,7
E02003233,87.6,3.8,2.5,6.1
E02003234,91.3,3.3,1.4,3.9
E02003235,91,3.3,1.3,4.4
E02003236,94.9,2.3,0.8,2
E02003368,96,1.8,0.4,1.8
E02003376,96.7,1.6,0.3,1.4
E02003384,96.9,1.7,0.2,1.2
E02003550,88.5,3.6,2.4,5.5
E02003552,88.7,4,2.2,5.1
E02003554,83.2,6.4,2,8.4
E02003555,87.6,3.6,2.2,6.5
E02003558,75.7,6.6,4.3,13.4
E02003559,85.3,5.9,2.2,6.5
E02003560,89.8,3.5,1.9,4.8
E02003563,84.2,4.5,2.2,9.1
E02003567,85.2,5,2.5,7.3
E02003568,74.5,6.8,2.4,16.3
E02003569,75.1,6.8,3,15
E02003571,72.6,9.6,2.1,15.8
E02004236,97.5,1.7,0.3,0.5
E02004237,97.1,2,0.4,0.5
E02004238,97.2,1.4,0.3,1.2
E02004239,97.5,1.6,0.1,0.8
E02004240,96.5,1.6,0.8,1
E02004241,96.5,1.9,0.2,1.4
E02004243,98.9,0.7,0.1,0.3
E02004244,98.8,0.9,0.1,0.2
E02004245,98.4,1.1,0.1,0.4
E02004246,97.4,1.6,0.3,0.8
E02004247,98.6,1.1,0.1,0.2
E02004248,98.3,1.1,0.2,0.4
E02004249,98.1,1.5,0.2,0.2
E02004250,96.9,1.6,0.5,1
E02004251,98.9,0.7,0.3,0.2
E02004252,97.9,1.5,0.2,0.4
E02004253,98.2,1.3,0.2,0.3
