areacd,accommodation_type_3a-001,accommodation_type_3a-002,accommodation_type_3a-003
E02002985,74.8,25,0.3
E02002986,74,25.9,0.1
E02002987,80.6,16.9,2.5
E02002988,79.6,20.4,0
E02002989,79.9,20,0.1
E02002990,52.4,47.5,0.1
E02002991,31.7,68.1,0.2
E02002992,78,21.4,0.5
E02002993,36.4,63.6,0
E02002994,92,6.9,1
E02002995,72,27.9,0.2
E02002996,70.3,27.5,2.2
E02002997,65.6,34.4,0
E02002998,77.9,22.1,0
E02002999,94.8,5.1,0.1
E02003000,94.6,4.7,0.7
E02003001,82.2,17.8,0
E02003002,83.2,16.7,0.1
E02003003,94.1,5.9,0
E02003004,93.7,5.5,0.7
E02003005,96.2,3.6,0.2
E02003006,94.3,5.2,0.4
E02003007,91.5,8.4,0.1
E02003008,82.3,17.7,0
E02003009,88.8,11.2,0
E02003010,91,9,0
E02003011,88.9,11.1,0
E02003012,65.3,34.6,0.1
E02003013,81.6,18.4,0
E02003014,59,40.6,0.4
E02003015,76.4,23.5,0.1
E02003016,78.2,21.8,0
E02003017,73.4,26.6,0
E02003018,87.6,12.3,0
E02003019,78.9,21,0
E02003020,81.9,18.1,0
E02003021,84.5,15.5,0
E02003022,92.5,7.5,0
E02003023,78.4,20.7,0.8
E02003024,69.4,30.5,0.1
E02003025,79.8,20.2,0
E02003026,70.3,29.6,0.1
E02003027,70.6,29.4,0
E02003028,55.6,44.4,0
E02003029,86.1,13.9,0
E02003030,68.7,31,0.3
E02003031,51,49,0
E02003032,77.4,22.6,0
E02003033,32.9,67.1,0.1
E02003036,23.7,76.3,0.1
E02003037,20.7,79.3,0
E02003038,77.6,22.4,0
E02003039,72.5,27.3,0.2
E02003040,65.6,34.3,0.1
E02003041,21.2,78.8,0
E02003044,82.8,17.2,0
E02003045,33.6,66.4,0
E02003046,77,23,0
E02003047,61.3,38.7,0
E02003048,66.2,33.7,0
E02003049,77,23,0
E02003050,46.5,53.3,0.2
E02003051,74,25.9,0.1
E02003052,88.2,11.6,0.2
E02003053,80.6,19.4,0
E02003054,77.1,22.8,0
E02003055,89.9,10,0
E02003056,91.1,8.9,0
E02003057,84.6,15,0.4
E02003058,80.5,19.5,0
E02003059,68.7,31.3,0
E02003060,81.3,18.7,0
E02003061,75.1,24.9,0
E02003062,75.6,24.4,0
E02003063,97.1,2.8,0
E02003064,62.1,37.9,0
E02003065,57.1,42.3,0.5
E02003066,89.8,8.4,1.8
E02003067,80.3,19.6,0.1
E02003068,84.1,15.8,0.1
E02003070,86.4,10.5,3
E02003072,86.8,13.1,0.1
E02003073,96.5,3.4,0
E02003075,95.3,3.6,1.1
E02003077,94.4,4.5,1.1
E02003088,90.8,9,0.2
E02003090,91.6,8.1,0.3
E02003091,85,14.9,0.1
E02003092,94.8,4.5,0.7
E02003093,95.4,3.9,0.7
E02003094,88.6,7.1,4.3
E02003095,88.2,11.2,0.6
E02003096,89.5,10.5,0
E02003097,91.4,8.6,0
E02003098,86.2,10.3,3.5
E02003099,89.9,10.1,0
E02003101,87.4,12.6,0
E02003102,95.9,3.9,0.2
E02003103,91.2,8.7,0.1
E02003104,91.3,8.7,0
E02003105,92.4,7.1,0.4
E02003107,76.9,20.9,2.2
E02003108,84.3,13.6,2
E02003109,96.2,3.1,0.7
E02003110,90.7,9.2,0.1
E02003111,78.3,21.3,0.4
E02003112,83.3,16.5,0.1
E02003113,93.7,5.2,1.1
E02003114,76.5,23.3,0.2
E02003115,79,20.9,0.1
E02003116,78.8,21.2,0
E02003117,79.6,20.3,0.1
E02003118,90.4,8,1.6
E02003119,87.1,12.8,0
E02003120,88.4,11.5,0.1
E02003121,93.4,6.3,0.2
E02003172,83.9,13.1,3
E02003173,84.1,15.9,0.1
E02003174,79.5,15.4,5.1
E02003175,88.3,11.1,0.5
E02003176,70.9,29.1,0
E02003177,82.8,17.1,0.1
E02003178,79.8,20.2,0
E02003179,77.5,22.5,0
E02003180,63.7,36.2,0.1
E02003181,69.6,30.4,0.1
E02003182,80,20,0
E02003183,61.5,38.5,0
E02003194,93.7,5.2,1.1
E02003195,93.3,6.7,0
E02003196,90.6,9.4,0
E02003197,80.5,19.4,0
E02003198,86.5,13.5,0
E02003199,92.6,7.4,0
E02003200,85.7,14.2,0.1
E02003201,73.1,26.7,0.3
E02003214,72.8,27.2,0.1
E02003215,88.1,11.9,0
E02003216,91.6,7.4,1
E02003217,82.5,17.5,0
E02003218,90.3,9.6,0
E02003219,93.6,6.3,0.1
E02003220,84.7,15.2,0
E02003221,81.2,18.6,0.2
E02003222,91.5,8.5,0
E02003223,72.5,27.5,0.1
E02003224,90.5,9.5,0
E02003225,84.7,15.3,0
E02003226,60.3,39.6,0.1
E02003227,68.3,31.6,0
E02003228,87.3,12.7,0
E02003229,94.7,5.3,0
E02003230,61.6,38.4,0.1
E02003231,82.5,17.5,0
E02003232,72.3,27.7,0
E02003233,81.6,18.4,0
E02003234,84.7,15.3,0
E02003235,77,22.9,0
E02003236,90.5,7.9,1.6
E02003368,89.4,9.9,0.6
E02003376,80.2,19.6,0.2
E02003384,91.3,8.5,0.3
E02003550,81.7,18.3,0
E02003552,75.2,24.8,0
E02003554,64.5,35.4,0
E02003555,71.5,28.5,0
E02003558,54.7,45.3,0
E02003559,80,20,0
E02003560,50.7,49.3,0
E02003563,55.7,44.3,0
E02003567,70.4,29.6,0
E02003568,37.1,62.9,0
E02003569,45.8,54.2,0
E02003571,27.6,72.3,0.1
E02004236,86.4,8.8,4.8
E02004237,87.8,12.2,0.1
E02004238,67.6,32.4,0
E02004239,87.8,10.8,1.3
E02004240,72.5,27.1,0.4
E02004241,60.7,38.9,0.4
E02004243,91.7,4.5,3.9
E02004244,95.9,4,0.1
E02004245,84.4,13.5,2.2
E02004246,89.7,3.7,6.7
E02004247,95.4,3.1,1.5
E02004248,80.8,12.5,6.7
E02004249,91.9,7.8,0.2
E02004250,70.6,26.9,2.5
E02004251,96.6,3.3,0.1
E02004252,65.9,34.1,0
E02004253,83.5,14.5,2
E02004254,90.2,9.1,0.6
E02004255,84.7,15.2,0.1
E02004256,95.8,3.4,0.7
E02004257,83,16.9,0.1
E02004258,90.7,9.1,0.2
E02004259,95.9,3.8,0.3
E02004260,93.4,5.4,1.3
E02004261,77,23,0
E02004262,94.1,3,2.9
E02004263,89.6,10.1,0.2
E02004264,84.3,11.2,4.5
E02004269,83.3,15.3,1.4
E02004270,97.3,2.6,0.2
E02004271,91,8.4,0.6
E02004272,90.1,9.4,0.5
E02004274,79,20.9,0.2
E02004779,86.9,11.3,1.8
E02004780,91.7,8.1,0.2
E02004781,90.5,9.2,0.3
E02004782,78.4,21,0.6
E02004783,93.1,6.9,0
E02004784,93.9,3.2,2.9
E02004785,84.1,13.5,2.4
E02004786,82.4,13.2,4.4
E02004787,78.8,21.2,0.1
E02004788,92.6,4.3,3.1
E02004790,73.9,23.9,2.1
E02004793,90.4,8.7,0.9
E02004794,95.6,4.1,0.3
E02004795,76.8,22.7,0.6
E02004796,90,3.5,6.5
E02004797,85.1,14.8,0
E02004798,78.3,21.5,0.2
E02004799,66.7,33,0.3
E02004800,81.6,15.2,3.2
E02004814,93.6,6.2,0.2
E02004815,89.4,10.6,0
E02004817,77.6,22.3,0.2
E02004818,91.4,8.1,0.5
E02004819,79.4,20.6,0
E02004820,93.2,4.6,2.1
E02004821,92.9,5.6,1.5
E02004822,93.1,6.8,0.2
E02004823,90.3,9.7,0
E02004824,65.9,34.1,0.1
E02004825,89.7,8.3,2
E02004826,88.5,9.7,1.9
E02004828,87.2,11.1,1.8
E02005988,89.9,8.4,1.7
E02005991,80.8,19.1,0.1
E02006047,93.5,5.2,1.3
E02006048,94.2,5.7,0.1
E02006049,96.4,3.5,0.1
E02006050,71.5,28.4,0.1
E02006051,93.6,5.3,1.1
E02006052,91.9,8,0.2
E02006053,84.3,15.7,0
E02006054,82,17.8,0.1
E02006055,83,16.8,0.2
E02006056,95.3,4.4,0.3
E02006057,80.4,18.6,0.9
E02006058,95.2,4.4,0.3
E02006059,96.6,2.1,1.3
E02006060,80.8,19.1,0.1
E02006061,86.5,13.1,0.4
E02006075,90.5,9.4,0.2
E02006076,92.2,6.5,1.4
E02006077,92.6,7.2,0.2
E02006079,86.4,13.5,0.1
E02006080,92.4,6.5,1.1
E02006082,93,6.9,0.1
E02006083,89.5,8.8,1.7
E02006085,91.6,8.4,0
E02006086,89.1,9.1,1.8
E02006087,84.7,15.3,0
E02006088,79.7,20.2,0.1
E02006089,54.5,45.4,0.1
E02006090,86.4,13.5,0.1
E02006091,96.1,3.5,0.4
E02006092,88,8.1,3.9
E02006094,94.7,5,0.2
E02006095,88.4,11.5,0.1
E02006634,95.1,3.9,1
E02006635,82.1,17.8,0.1
E02006636,91.1,7.6,1.3
E02006637,86,13.8,0.1
E02006638,66.3,33.3,0.5
E02006639,94.6,4.2,1.3
E02006640,96,3.8,0.1
E02006641,94.1,5,0.9
E02006642,95,3.5,1.5
E02006645,89.8,10,0.1
E02006646,93,6.8,0.2
E02006647,96.7,2,1.3
E02006648,91.1,8.1,0.8
E02006649,82.9,16.6,0.5
E02006650,88.1,6.7,5.3
E02006651,96.8,1.9,1.4
E02006652,89.5,10.4,0.1
E02006653,91.8,8.2,0
E02006654,67.8,32.2,0
E02006655,95.9,3.8,0.3
E02006656,96.1,3.8,0.1
E02006657,87.1,12.9,0
E02006658,89,11,0
E02006659,90,9.1,0.8
E02006660,86.1,12.6,1.3
E02006661,93.5,5.3,1.2
E02006662,93.9,5.3,0.8
E02006663,86.4,10.3,3.4
E02006664,96.2,2.8,1
E02006665,93.2,6.5,0.3
E02006666,88.3,11.6,0
E02006667,83.5,16.5,0.1
E02006668,85.9,14,0
E02006669,86.7,11.8,1.4
E02006670,70.3,29.7,0.1
E02006671,63.3,36.6,0.2
E02006672,87.6,11.9,0.5
E02006673,67.9,32.1,0.1
E02006674,77.2,22.8,0
E02006675,97.3,2.1,0.6
E02006676,94,5.6,0.4
E02006677,94.5,5,0.5
E02006678,92.9,7,0.1
E02006679,93.9,5,1.1
E02006680,81,18.9,0.1
E02006681,94.6,4.8,0.6
E02006682,84.5,14.9,0.5
E02006683,91.5,7.5,1
E02006684,65.3,34.6,0.1
E02006685,82.4,15.3,2.2
E02006686,90.4,9.6,0
E02006687,88.2,11.8,0.1
E02006688,86.5,13.5,0
E02006689,96.2,3.4,0.4
E02006690,95.8,3.4,0.8
E02006692,87.7,9.6,2.6
E02006693,92.2,7.8,0
E02006694,79.9,20.1,0
E02006695,95.3,4.6,0.1
E02006847,86.4,13.6,0
E02006848,62.8,37.1,0
E02006849,91.2,7.3,1.5
E02006886,92.9,6.9,0.2
E02006887,5.2,94.8,0.1
E02006888,58.1,41.8,0.1
E02006889,39.4,60.5,0.1
E02006890,75.5,24.4,0.2
E02006949,67.5,32.5,0
E02006950,22,78,0.1
E02006951,13.5,86.5,0
E02006952,10.2,88.3,1.5
E02007023,93.7,6.1,0.2
E02007024,82.5,17.4,0.1
E02007025,87.5,12.4,0
E02007026,75.9,24.1,0.1
E02007064,81.2,18.7,0.1
E02007065,73.3,26.7,0.1
E02007066,70.9,29,0.1
E02007067,86.4,13.4,0.1
E02007076,83.5,16.4,0
E02007077,86.3,12.5,1.2
E02007078,58.4,41.5,0.1
W02000344,93.8,5.3,0.9
W02000345,88.3,11.6,0.1
