areacd,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E02002985,82.6,12.4,5
E02002986,81.2,13.4,5.4
E02002987,84.6,11.6,3.8
E02002988,84.9,11,4.2
E02002989,84,11.3,4.6
E02002990,87.2,9.4,3.4
E02002991,86.3,10.1,3.6
E02002992,85.7,10.8,3.5
E02002993,86,9.8,4.1
E02002994,87.4,9.3,3.3
E02002995,77.5,15.9,6.6
E02002996,90.1,7.8,2
E02002997,87.3,9.5,3.2
E02002998,84.3,10.9,4.8
E02002999,81.2,13.6,5.2
E02003000,84.1,11.9,4
E02003001,87.9,9.1,2.9
E02003002,84.4,11.2,4.3
E02003003,82.2,13,4.8
E02003004,84.8,11.1,4.1
E02003005,86.9,10.1,3
E02003006,83.8,12.1,4.1
E02003007,83.3,12.6,4.1
E02003008,81.8,13,5.3
E02003009,83,12.8,4.2
E02003010,83.5,12.2,4.4
E02003011,81.5,13.6,4.9
E02003012,80.3,13.4,6.3
E02003013,78.1,14.6,7.3
E02003014,77.9,15,7.1
E02003015,82.6,11.8,5.6
E02003016,81.5,12.4,6
E02003017,83.4,11,5.6
E02003018,80.8,13.3,5.9
E02003019,79.3,14.4,6.3
E02003020,85.3,10.8,3.9
E02003021,88,9.1,2.9
E02003022,88,9.3,2.6
E02003023,80.1,13.5,6.5
E02003024,80.5,14,5.6
E02003025,80.7,12.7,6.7
E02003026,88.9,8.3,2.8
E02003027,89.7,7.9,2.4
E02003028,89.6,7.7,2.7
E02003029,79.9,13.5,6.6
E02003030,84.1,11.6,4.3
E02003031,90.8,7,2.1
E02003032,83.5,11.7,4.8
E02003033,90.3,7.7,2
E02003036,89.3,7.7,3
E02003037,91.1,7,1.8
E02003038,82.3,12.3,5.3
E02003039,80.2,13.4,6.4
E02003040,82.2,12.5,5.3
E02003041,90,7.7,2.2
E02003044,84.1,12.3,3.7
E02003045,88.9,8.6,2.5
E02003046,83.4,12,4.6
E02003047,87.3,8.8,3.8
E02003048,86.2,10.1,3.7
E02003049,81.5,13,5.5
E02003050,82.4,11.9,5.6
E02003051,84.8,10.6,4.6
E02003052,85,10.4,4.6
E02003053,83.7,11.5,4.9
E02003054,82.7,11.8,5.6
E02003055,79.3,13.7,7
E02003056,74.6,16.1,9.3
E02003057,81.7,13.4,4.9
E02003058,79.5,13.6,6.8
E02003059,81.2,13.4,5.4
E02003060,79.1,13.9,7
E02003061,77.3,14.9,7.9
E02003062,73.5,17.2,9.3
E02003063,82,13.1,4.9
E02003064,75.1,16,8.9
E02003065,83.5,12.3,4.1
E02003066,85.5,11.3,3.2
E02003067,85.7,10.3,4
E02003068,83.7,12.2,4.1
E02003070,86.8,10.3,2.9
E02003072,79.6,15.2,5.1
E02003073,85.7,10.7,3.6
