areacd,occupancy_rating_bedrooms_6a-001,occupancy_rating_bedrooms_6a-002,occupancy_rating_bedrooms_6a-003,occupancy_rating_bedrooms_6a-004,occupancy_rating_bedrooms_6a-005
E02002985,39.8,35.5,22.5,2.1,0.1
E02002986,35.1,34.4,27.9,2.6,0.1
E02002987,51.2,32.6,15.2,1,0
E02002988,39.4,34.7,24.6,1,0.3
E02002989,41.3,31,25.4,2,0.3
E02002990,29.4,30.8,37.2,2.4,0.2
E02002991,25.7,28.7,43.2,2.3,0.1
E02002992,43.8,28.5,26.5,1.2,0.1
E02002993,23.5,27.4,45.7,3.2,0.2
E02002994,55.2,28.1,15.4,1.2,0.1
E02002995,20.4,29.4,44.6,5.1,0.5
E02002996,44.7,29.4,24.2,1.5,0.1
E02002997,22,35.7,39.5,2.5,0.2
E02002998,30.5,34.6,31.5,2.9,0.5
E02002999,36.9,34.4,25.3,3,0.4
E02003000,55.3,29,14.6,1,0.1
E02003001,55.6,26.3,16.9,1,0.1
E02003002,40,28.5,28.4,2.9,0.2
E02003003,37,36.8,23.5,2.4,0.3
E02003004,51.4,29.9,17.2,1.4,0.1
E02003005,61.6,25,12.3,0.9,0.1
E02003006,43.6,34.4,19.8,2,0.2
E02003007,42.9,36.6,19.1,1.2,0.3
E02003008,34,37.3,26.1,2.5,0.1
E02003009,43.7,35.8,19,1.2,0.3
E02003010,38.1,38.9,20.8,2,0.2
E02003011,46.7,33,18,2.2,0.2
E02003012,27.1,34.4,32.6,5.2,0.8
E02003013,27.5,31.8,33.8,5.7,1.3
E02003014,23.5,28.7,37.3,9.4,1.1
E02003015,33.7,34.9,27,3.8,0.6
E02003016,26.3,32.8,34.3,5.5,1
E02003017,42.7,32.2,23.7,1.3,0.2
E02003018,42.5,29.2,24.7,3.2,0.4
E02003019,31.2,36,28.7,3.4,0.7
E02003020,60.1,25.4,13.5,1.1,0
E02003021,35.6,35.3,25.8,2.9,0.3
E02003022,65.3,24.5,9.4,0.7,0
E02003023,35.2,33.5,27.4,3.2,0.7
E02003024,28,33,33.9,4.1,1
E02003025,29.6,29.8,32.9,6.4,1.2
E02003026,59.4,26.3,13,1,0.3
E02003027,36.1,33.6,27.9,2,0.5
E02003028,42,30.9,25.6,1.4,0.1
E02003029,30,33.9,29.2,5.4,1.5
E02003030,26.2,32.7,35.4,4.7,1
E02003031,36.5,25.1,36.3,1.7,0.4
E02003032,28.9,35.1,29.8,5,1.2
E02003033,25.2,29.6,42.7,2.2,0.4
E02003036,16.6,27.6,51.7,3.4,0.6
E02003037,18.4,33.2,46.2,1.8,0.4
E02003038,27.7,35.1,32.2,4.5,0.4
E02003039,25,34.3,35.4,4.4,1
E02003040,13.5,41.2,40.1,4.5,0.7
E02003041,21.3,37.4,39.1,1.8,0.3
E02003044,37.2,37.3,22.2,2.8,0.4
E02003045,21.5,33.9,41.8,2.3,0.4
E02003046,29.3,38.6,28.1,3.6,0.4
E02003047,26.9,34.8,35.5,2.3,0.5
E02003048,19.4,37.3,39.7,3.2,0.5
E02003049,33.2,36.1,26.8,3.1,0.8
E02003050,16.3,34.4,44.9,3.9,0.6
E02003051,25.4,36.4,32.7,4.5,0.9
E02003052,32.5,39,26.2,2.1,0.2
E02003053,41.2,31.1,24.8,2.3,0.6
E02003054,39.4,28.9,28.2,3.1,0.4
E02003055,32.8,29.9,29.6,6.3,1.4
E02003056,27.8,30.9,33.4,6.9,1
E02003057,41.5,33.4,23,1.7,0.4
E02003058,31.1,34.6,29.6,4.1,0.5
E02003059,32,31.7,32,3.8,0.5
E02003060,39.4,30.6,26.8,2.9,0.4
E02003061,26.2,33.1,33.8,6.1,0.9
E02003062,26,27.2,40.5,5.5,0.8
E02003063,48.1,34.4,16.1,1.3,0.1
E02003064,19.5,27.8,44,7.9,0.8
E02003065,35.2,39.6,23.2,1.9,0.1
E02003066,62.6,26.9,10,0.5,0
E02003067,45.7,31.6,21.3,1.3,0.1
E02003068,51.8,31.6,15.1,1.4,0.2
E02003070,57,30.2,11.9,0.9,0
E02003072,47.7,32.5,18.6,1.1,0.1
E02003073,67.2,24.3,8,0.5,0
E02003075,61.5,26.9,10.8,0.8,0
E02003077,55.4,31.4,12.1,1,0.1
E02003088,57.8,26.3,14.7,1.1,0.1
E02003090,53.9,28,16.8,1.1,0.2
E02003091,52.7,26.5,19.3,1.4,0.1
E02003092,59.9,24.9,13.9,1.1,0.1
E02003093,61.3,26.8,11.1,0.8,0.1
E02003094,50.7,31.7,15.8,1.7,0.2
E02003095,51.1,30.5,16.5,1.7,0.2
E02003096,37.9,34.4,25,2.4,0.4
E02003097,55.3,27.5,16,1.2,0.1
E02003098,34.1,37.8,26,1.9,0.2
E02003099,40.9,36.2,20.5,2.2,0.2
E02003101,34.8,36.8,25.6,2.5,0.4
E02003102,55.9,29.3,13.4,1.3,0.1
E02003103,38.8,37.9,20.8,2.3,0.2
E02003104,44.9,33,20,2,0.3
E02003105,53.7,28.8,16.2,1.1,0.2
E02003107,35.4,30.6,30.3,3.2,0.6
E02003108,42.5,34.7,20.7,1.7,0.3
E02003109,58.5,29.9,10.6,0.9,0.2
E02003110,48.2,33,17.2,1.5,0.2
E02003111,43.8,32.7,21.9,1.4,0.1
E02003112,35.8,31.9,29,3,0.3
E02003113,54.3,29,14.8,1.7,0.2
E02003114,38.1,32.5,26.5,2.4,0.5
E02003115,30.7,35.5,30.7,2.9,0.3
E02003116,32.2,32.1,31.6,3.5,0.5
E02003117,32.6,34.6,29.6,3,0.2
E02003118,38.9,35.1,24,1.8,0.1
E02003119,38.6,34.8,23.7,2.6,0.2
E02003120,47.7,31.5,19.1,1.4,0.2
E02003121,47.3,34.6,16.9,1.2,0
E02003172,28.5,41.5,26.3,3.1,0.6
E02003173,23.4,45.2,27.6,3.6,0.2
E02003174,34.5,41.2,22.1,2,0.2
E02003175,31.8,37.6,28,2.5,0.2
E02003176,16.2,34.2,42,6.6,1
E02003177,38.1,36.9,22.5,2.1,0.4
E02003178,27.3,38.2,30.5,3.6,0.3
E02003179,24.9,35.4,35.3,4.2,0.2
E02003180,23.4,31.9,39.3,4.7,0.6
E02003181,39.6,31.9,25,2.9,0.5
E02003182,54.2,27.6,16.5,1.5,0.2
E02003183,46.2,24.6,26.3,2.5,0.4
E02003194,57.3,30.3,11.9,0.5,0
E02003195,43.5,30.8,22.6,2.6,0.5
E02003196,59.5,29.2,10.8,0.4,0.1
E02003197,39.6,30.1,27.5,2.5,0.2
