areacd,residence_length_6b-001,residence_length_6b-002,residence_length_6b-003,residence_length_6b-004,residence_length_6b-005
E02002985,93.4,3.5,1.6,0.9,0.5
E02002986,92.1,4.8,1.6,1.1,0.5
E02002987,93.8,3.8,1.1,0.8,0.5
E02002988,86.2,7.9,2.6,2,1.3
E02002989,82,10.4,2.5,2.7,2.4
E02002990,78.8,10.6,4.4,3.2,3.1
E02002991,74.3,10.1,4.7,4.7,6.2
E02002992,85.9,8.1,2,1.2,2.8
E02002993,75.8,9.5,3.9,3.9,6.8
E02002994,89.4,7.1,1.5,1.1,0.9
E02002995,86.6,6.4,2.9,2.1,2.1
E02002996,77.7,7.6,2.6,3.5,8.6
E02002997,82.2,6.4,3.5,3.6,4.4
E02002998,85.5,7.2,2.4,2,2.9
E02002999,88.1,6.5,2.5,1.5,1.4
E02003000,93.9,4.1,0.8,0.6,0.6
E02003001,87.1,7.6,1.8,1.8,1.7
E02003002,85.8,7.9,2.5,2,1.8
E02003003,83.9,8.1,3.3,2.2,2.5
E02003004,94.5,3.5,1,0.4,0.6
E02003005,95.1,3.3,0.6,0.5,0.5
E02003006,91.7,4.3,2.1,0.8,1.1
E02003007,95.3,2.9,0.9,0.4,0.4
E02003008,94.4,3.3,1.2,0.7,0.4
E02003009,95.8,2.7,0.6,0.5,0.4
E02003010,95.5,2.7,1,0.5,0.3
E02003011,96,2.6,0.6,0.6,0.3
E02003012,79.8,10.8,4.5,2.9,2.1
E02003013,74.9,13.2,5.4,3.4,3.1
E02003014,81.7,10.7,4.3,2.3,1.1
E02003015,79.7,11.3,3.9,2.9,2.2
E02003016,76.9,13.7,3.1,3.3,3
E02003017,86.4,9,1.8,1.3,1.5
E02003018,88,7.9,2,1.2,0.9
E02003019,83.8,7,4,3.6,1.6
E02003020,87.2,7.6,1.8,1.2,2.1
E02003021,84.8,8,2.9,2.7,1.6
E02003022,89.1,7.4,1.6,1.1,0.8
E02003023,81.6,10.6,2.9,2.1,2.7
E02003024,79,12.2,4,2.6,2.3
E02003025,78,14.6,3.4,2.5,1.5
E02003026,85.1,9.4,1.8,1.4,2.3
E02003027,86,8.1,2.6,1.7,1.6
E02003028,84.5,9,2.2,2.1,2.2
E02003029,80.2,12.6,3.5,2.2,1.5
E02003030,75,13.6,4.8,3.8,2.8
E02003031,84.8,8.3,2.5,2.6,1.8
E02003032,76.1,12.8,4.7,4,2.3
E02003033,82.4,8.1,3,3.1,3.3
E02003036,73.5,9.3,4.4,4.8,8
E02003037,78.4,8.5,3.8,4.4,5
E02003038,82.4,8.5,4.4,2.9,1.8
E02003039,80.6,10.9,3.7,2.9,1.9
E02003040,77.6,10.8,5.8,3.7,2.1
E02003041,79.5,8.3,3.5,4.2,4.6
E02003044,88.3,5.9,2.8,2.1,1
E02003045,79.9,7.7,3.8,3.5,5.1
E02003046,84.5,8.6,3.6,2.2,1.2
E02003047,85.7,6.8,3,2.8,1.6
E02003048,83.2,8.2,3.6,3,2
E02003049,87.1,6.8,3,1.8,1.2
E02003050,78.2,8.2,5.8,4.5,3.3
E02003051,82.9,9.5,3.7,2.4,1.5
E02003052,91.2,4.5,1.8,1.5,0.9
E02003053,87.5,7,2.1,1.9,1.5
E02003054,88.3,6.9,2.3,1.3,1.2
E02003055,84.5,8.2,3.8,2.2,1.2
E02003056,85.2,8.8,3,2.1,0.9
E02003057,92.1,4.6,1.7,1.2,0.4
E02003058,89.7,5.6,2.3,1.6,0.8
E02003059,90.2,4.9,2.3,1.5,1.1
E02003060,91.6,5,1.6,1.2,0.6
E02003061,91.2,4.5,2.3,1.3,0.7
E02003062,90.9,5.1,2.3,1.2,0.5
E02003063,94,3.5,1.1,0.8,0.5
E02003064,90.5,5,2.3,1.3,1
E02003065,89.9,5.8,1.8,1.3,1.1
E02003066,93.6,4.2,0.9,0.8,0.5
E02003067,92.4,4.4,1.2,1.4,0.6
E02003068,92.1,4.9,1.2,1.1,0.6
E02003070,92.3,5.4,0.9,0.8,0.5
E02003072,94.1,3.7,0.9,0.7,0.7
